VALEUR,#la-comtesse,#potemkin,#le-major,#mouravieff,#mouravleff,#catherine,#le-prince-de-ligne,#la-comtesse-branitzka,#le-prlnge-de-ligne,#momonoff,#l-ambassadeur-d-angleterre,#l-ambassadeur-de-prusse,#le-comte-momonoff
#le-prince-de-ligne,0.3333333333333333,0.0,0.16666666666666666,0.3333333333333333,0.16666666666666666,1.3333333333333337,4.166666666666668,4.166666666666668,4.166666666666668,4.166666666666668,4.166666666666668,4.166666666666668,4.166666666666668
Successions,#la-comtesse,#potemkin,#le-major,#mouravieff,#mouravleff,#catherine,#le-prince-de-ligne,#la-comtesse-branitzka,#le-prlnge-de-ligne,#momonoff,#l-ambassadeur-d-angleterre,#l-ambassadeur-de-prusse,#le-comte-momonoff
#la-comtesse,0.014285714285714285,0.8285714285714286,0.014285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#potemkin,0.423841059602649,0.006622516556291391,0.0,0.19205298013245034,0.006622516556291391,0.3509933774834437,0.0,0.006622516556291391,0.006622516556291391,0.0,0.0,0.0,0.006622516556291391
#le-major,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#mouravieff,0.14634146341463414,0.8292682926829268,0.0,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-major,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#catherine,0.0,0.9298245614035088,0.0,0.017543859649122806,0.0,0.0,0.017543859649122806,0.017543859649122806,0.0,0.017543859649122806,0.0,0.0,0.0
#le-prince-de-ligne,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.25,0.0,0.0,0.0
#la-comtesse-branitzka,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
#le-prlnge-de-ligne,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#momonoff,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
#l-ambassadeur-d-angleterre,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#l-ambassadeur-d-angleterre,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-comte-momonoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
