VALEUR,#goulemer,#frelingue,#marille,#badzin,#pacole,#l-hote,#la-hollande,#beline,#la-flamande,#premier-bourguemestre,#second-bourguemestre,#le-français,#l-anglais,#l-espagnol,#l-allemand
#l-hote,0.9333333333333333,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-hollande,0.0,0.0,0.08928571428571429,0.0,0.07142857142857142,0.017857142857142856,0.0,0.125,0.125,0.017857142857142856,0.03571428571428571,0.26785714285714285,0.16071428571428573,0.08928571428571429,0.0
#beline,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.06666666666666667
#la-flamande,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#premier-bourguemestre,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0
#second-bourguemestre,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.4,0.0,0.2,0.2,0.0,0.0
#le-français,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.5862068965517241,0.034482758620689655,0.0,0.06896551724137931,0.0,0.0,0.1724137931034483,0.10344827586206896,0.0
#l-anglais,0.0,0.0,0.0,0.0,0.0,0.0,0.42105263157894735,0.05263157894736842,0.0,0.0,0.15789473684210525,0.2631578947368421,0.0,0.10526315789473684,0.0
#l-espagnol,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.23529411764705882,0.17647058823529413,0.0,0.0,0.0,0.23529411764705882,0.17647058823529413,0.0,0.11764705882352941
#l-allemand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0
