VALEUR,#don-lope,#lazarille,#le-comte,#le-roi,#don-sanche,#le-secretaire,#leonor,#don-bernard,#dorothee,#l-infante,#un-garde,#gardes
#l-infante,0.3286264441591785,0.8287755604828779,1.7560975609756098,0.08468834688346873,0.21951219512195122,0.18737901664730935,2.0743751881963264,0.007504690431519714,0.43902439024390244,24.975609756097562,0.21951219512195122,2.7750677506775068
#un-garde,0.4634146341463415,0.2682926829268293,0.1951219512195122,0.5378048780487805,0.024390243902439025,4.027874564459929,0.21951219512195122,0.3170731707317073,0.04878048780487805,0.21951219512195122,39.02439024390243,0.024390243902439025
#gardes,0.6213093709884469,0.2682926829268293,0.1951219512195122,0.5378048780487805,0.024390243902439025,0.17073170731707318,0.21951219512195122,0.3170731707317073,0.04878048780487805,2.7750677506775068,0.024390243902439025,39.02439024390243
Successions,#don-lope,#lazarille,#le-comte,#le-roi,#don-sanche,#le-secretaire,#leonor,#don-bernard,#dorothee,#l-infante,#un-garde,#gardes
#don-lope,0.0,0.27419354838709675,0.06451612903225806,0.11290322580645161,0.0,0.0,0.03225806451612903,0.24193548387096775,0.11290322580645161,0.14516129032258066,0.0,0.016129032258064516
#lazarille,0.7407407407407407,0.0,0.0,0.18518518518518517,0.0,0.037037037037037035,0.0,0.0,0.037037037037037035,0.0,0.0,0.0
#le-comte,0.16666666666666666,0.08333333333333333,0.0,0.4166666666666667,0.0,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0
#le-roi,0.13095238095238096,0.023809523809523808,0.09523809523809523,0.047619047619047616,0.011904761904761904,0.16666666666666666,0.16666666666666666,0.30952380952380953,0.0,0.03571428571428571,0.011904761904761904,0.0
#don-sanche,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-secretaire,0.0,0.045454545454545456,0.0,0.5909090909090909,0.0,0.09090909090909091,0.2727272727272727,0.0,0.0,0.0,0.0,0.0
#leonor,0.03571428571428571,0.0,0.0,0.5357142857142857,0.0,0.14285714285714285,0.03571428571428571,0.03571428571428571,0.0,0.21428571428571427,0.0,0.0
#don-bernard,0.3,0.08,0.0,0.5,0.0,0.0,0.0,0.02,0.0,0.1,0.0,0.0
#dorothee,0.875,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#l-infante,0.2608695652173913,0.043478260869565216,0.0,0.30434782608695654,0.0,0.0,0.17391304347826086,0.21739130434782608,0.0,0.0,0.0,0.0
#un-garde,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#un-garde,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
