VALEUR,#choeur-des-romains,#choeur-des-romaines,#valerius,#horace,#le-choeur,#mutius,#horace #mutius,#le-peuple,#choeur-general,#le-soldat,#un-romain,#le-jeune-horace,#le-depute,#un-soldat
#choeur-general,0.2222222222222222,0.2222222222222222,1.388888888888889,0.0,0.013888888888888902,0.6944444444444445,2.7222222222222223,2.7222222222222223,5.444444444444445,0.2222222222222222,0.6666666666666666,0.2222222222222222,0.2222222222222222,0.2222222222222222
#le-soldat,0.1111111111111111,0.1111111111111111,0.4444444444444444,0.0,0.4444444444444444,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.2222222222222222,7.111111111111111,1.3333333333333337,0.1111111111111111,0.1111111111111111,0.1111111111111111
#un-romain,0.3333333333333333,0.3333333333333333,1.3333333333333333,0.0,0.0833333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.3333333333333337,4.0,1.3333333333333337,1.3333333333333337,1.3333333333333337
#le-jeune-horace,0.1111111111111111,0.1111111111111111,0.4444444444444444,0.0,0.4444444444444444,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111,1.3333333333333337,7.111111111111111,7.111111111111111,0.1111111111111111
#le-jeune-horace,0.1111111111111111,0.1111111111111111,0.4444444444444444,0.0,0.4444444444444444,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111,1.3333333333333337,7.111111111111111,7.111111111111111,0.1111111111111111
#un-soldat,0.1111111111111111,0.1111111111111111,0.4444444444444444,0.0,0.6944444444444445,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111,1.3333333333333337,0.1111111111111111,0.1111111111111111,7.111111111111111
Successions,#choeur-des-romains,#choeur-des-romaines,#valerius,#horace,#le-choeur,#mutius,#horace #mutius,#le-peuple,#choeur-general,#le-soldat,#un-romain,#le-jeune-horace,#le-depute,#un-soldat
#choeur-des-romains,,,,,,,,,,,,,,
#choeur-des-romaines,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#valerius,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0
#horace,0.0,0.0,0.09375,0.0625,0.0,0.34375,0.03125,0.0,0.0,0.0,0.0625,0.125,0.1875,0.09375
#le-choeur,0.0,0.0,0.16666666666666666,0.5,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0
#mutius,0.0,0.0,0.0625,0.6875,0.1875,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0
#horace #mutius,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-peuple,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#choeur-general,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-soldat,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#un-romain,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.16666666666666666,0.0
#le-jeune-horace,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0
#le-depute,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.25,0.0,0.0
#le-soldat,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
