VALEUR,#sganarelle,#gusman,#don-juan,#elvire,#charlotte,#pierrot,#maturine,#la-ramee,#leonor,#therese,#don-carlos,#alonse,#la-violette,#don-louis,#monsieur-dimanche,#la-statue,#pascale
#alonse,0.8571428571428571,0.02857142857142857,0.023809523809523826,0.05714285714285714,0.17142857142857143,0.05714285714285714,0.08571428571428572,0.02857142857142857,0.11428571428571428,0.02857142857142857,15.557142857142857,33.02857142857143,0.05714285714285714,0.05714285714285714,0.02857142857142857,0.05714285714285714,0.02857142857142857
#la-violette,0.04761904761904765,0.05714285714285714,0.04761904761904765,0.11428571428571428,0.34285714285714286,0.11428571428571428,0.17142857142857143,0.05714285714285714,0.22857142857142856,0.05714285714285714,0.11428571428571428,0.05714285714285714,31.114285714285714,6.864285714285714,0.05714285714285714,0.11428571428571428,0.05714285714285714
#don-louis,0.29761904761904756,0.05714285714285714,0.04761904761904765,0.11428571428571428,0.34285714285714286,0.11428571428571428,0.17142857142857143,0.05714285714285714,0.22857142857142856,0.05714285714285714,0.11428571428571428,0.05714285714285714,6.864285714285714,31.114285714285714,0.05714285714285714,0.11428571428571428,0.05714285714285714
#monsieur-dimanche,0.023809523809523826,0.02857142857142857,0.023809523809523826,0.05714285714285714,0.17142857142857143,0.05714285714285714,0.08571428571428572,0.02857142857142857,0.11428571428571428,0.02857142857142857,0.05714285714285714,0.02857142857142857,0.05714285714285714,0.05714285714285714,33.02857142857143,0.05714285714285714,0.02857142857142857
#la-statue,0.04761904761904765,0.05714285714285714,0.04761904761904765,0.11428571428571428,0.34285714285714286,0.11428571428571428,0.17142857142857143,0.05714285714285714,2.6035714285714286,0.05714285714285714,0.11428571428571428,0.05714285714285714,0.11428571428571428,0.11428571428571428,0.05714285714285714,31.114285714285714,0.05714285714285714
#pascale,0.023809523809523826,0.02857142857142857,0.023809523809523826,0.05714285714285714,0.17142857142857143,0.05714285714285714,0.08571428571428572,0.02857142857142857,6.864285714285714,0.02857142857142857,0.05714285714285714,0.02857142857142857,0.05714285714285714,0.05714285714285714,0.02857142857142857,0.05714285714285714,33.02857142857143
Successions,#sganarelle,#gusman,#don-juan,#elvire,#charlotte,#pierrot,#maturine,#la-ramee,#leonor,#therese,#don-carlos,#alonse,#la-violette,#don-louis,#monsieur-dimanche,#la-statue,#pascale
#sganarelle,0.008695652173913044,0.043478260869565216,0.7347826086956522,0.0391304347826087,0.0,0.0,0.004347826086956522,0.008695652173913044,0.04782608695652174,0.034782608695652174,0.0,0.0,0.008695652173913044,0.004347826086956522,0.043478260869565216,0.008695652173913044,0.013043478260869565
#gusman,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#don-juan,0.5331125827814569,0.0033112582781456954,0.006622516556291391,0.023178807947019868,0.0728476821192053,0.03642384105960265,0.016556291390728478,0.0,0.09271523178807947,0.0,0.03642384105960265,0.0,0.006622516556291391,0.016556291390728478,0.11589403973509933,0.019867549668874173,0.019867549668874173
#elvire,0.625,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#charlotte,0.01694915254237288,0.0,0.3728813559322034,0.0,0.0,0.4745762711864407,0.13559322033898305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#pierrot,0.02564102564102564,0.0,0.23076923076923078,0.0,0.7435897435897436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#maturine,0.07142857142857142,0.0,0.35714285714285715,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-ramee,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#leonor,0.325,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.025,0.0
#therese,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#don-carlos,0.06666666666666667,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
#alonse,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
#la-ramee,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#don-louis,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#monsieur-dimanche,0.2222222222222222,0.0,0.7777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-statue,0.4444444444444444,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#monsieur-dimanche,0.2222222222222222,0.0,0.7777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
