VALEUR,#guillaume,#perrette,#le-petit-poucet,#pierrot,#javotte,#janette,#pierrot #javotte #janette,#la-mere-bonnette,#javotte #janette,#le-petit-poucet #pierrot #javotte #janette,#l-ogre,#le-petit-poucet #javotte,#la-rentree,#la-brisee,#beauvais,#bourguignon,#guillaume #perrette
#la-rentree,1.7999999999999998,1.7999999999999998,0.06666666666666678,0.022222222222222265,0.11428571428571424,0.11428571428571424,0.20000000000000004,0.03333333333333339,0.20000000000000004,0.6000000000000001,0.6000000000000001,0.20000000000000004,9.599999999999998,6.400000000000001,3.2000000000000006,3.2000000000000006,3.2000000000000006
#la-brisee,0.4083333333333334,0.4083333333333334,0.09999999999999995,0.5333333333333334,0.00476190476190476,0.00476190476190476,0.13333333333333333,0.049999999999999975,0.13333333333333333,0.4000000000000001,0.4000000000000001,0.13333333333333333,6.400000000000001,11.266666666666667,0.13333333333333333,0.13333333333333333,0.13333333333333333
#beauvais,2.016666666666667,2.016666666666667,0.8000000000000002,0.6,0.4666666666666667,0.4666666666666667,0.06666666666666667,0.4000000000000001,0.06666666666666667,0.20000000000000004,0.20000000000000004,0.06666666666666667,3.2000000000000006,0.13333333333333333,13.066666666666668,13.066666666666668,13.066666666666668
#beauvais,2.016666666666667,2.016666666666667,0.8000000000000002,0.6,0.4666666666666667,0.4666666666666667,0.06666666666666667,0.4000000000000001,0.06666666666666667,0.20000000000000004,0.20000000000000004,0.06666666666666667,3.2000000000000006,0.13333333333333333,13.066666666666668,13.066666666666668,13.066666666666668
#beauvais,2.016666666666667,2.016666666666667,0.8000000000000002,0.6,0.4666666666666667,0.4666666666666667,0.06666666666666667,0.4000000000000001,0.06666666666666667,0.20000000000000004,0.20000000000000004,0.06666666666666667,3.2000000000000006,0.13333333333333333,13.066666666666668,13.066666666666668,13.066666666666668
Successions,#guillaume,#perrette,#le-petit-poucet,#pierrot,#javotte,#janette,#pierrot #javotte #janette,#la-mere-bonnette,#javotte #janette,#le-petit-poucet #pierrot #javotte #janette,#l-ogre,#le-petit-poucet #javotte,#la-rentree,#la-brisee,#beauvais,#bourguignon,#guillaume #perrette
#guillaume,0.0,0.782608695652174,0.08695652173913043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.08695652173913043,0.0,0.0
#perrette,0.76,0.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04,0.04,0.04,0.0
#le-petit-poucet,0.019230769230769232,0.019230769230769232,0.0,0.3076923076923077,0.15384615384615385,0.15384615384615385,0.019230769230769232,0.19230769230769232,0.0,0.038461538461538464,0.038461538461538464,0.0,0.0,0.057692307692307696,0.0,0.0,0.0
#pierrot,0.02564102564102564,0.0,0.5128205128205128,0.0,0.07692307692307693,0.15384615384615385,0.0,0.1282051282051282,0.02564102564102564,0.0,0.0,0.02564102564102564,0.05128205128205128,0.0,0.0,0.0,0.0
#javotte,0.0,0.0,0.2692307692307692,0.4230769230769231,0.0,0.19230769230769232,0.0,0.07692307692307693,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0
#janette,0.0,0.0,0.18181818181818182,0.22727272727272727,0.5,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#pierrot #javotte #janette,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-mere-bonnette,0.0,0.0,0.22448979591836735,0.08163265306122448,0.08163265306122448,0.04081632653061224,0.0,0.0,0.0,0.0,0.5102040816326531,0.0,0.04081632653061224,0.02040816326530612,0.0,0.0,0.0
#javotte #janette,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-petit-poucet #pierrot #javotte #janette,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
#l-ogre,0.0,0.0,0.06896551724137931,0.034482758620689655,0.0,0.0,0.0,0.896551724137931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-petit-poucet #javotte,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-rentree,0.0,0.25,0.375,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.125
#la-brisee,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0
#beauvais,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
#bourguignon,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#guillaume #perrette,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
