VALEUR,#madame-dubuisson,#monsieur-dubuisson,#la-montagne,#mathurine,#lucas,#leandre,#marthon,#lucile,#monsieur-caton,#le-rotisseur,#monsieur-bavardin,#la-paysanne,#la-bohemienne,#monsieur-orgon
#monsieur-caton,0.2226613965744401,0.7930547713156405,0.021519543258673758,0.5426312817617166,0.43577075098814233,0.26350461133069825,0.2226613965744401,0.0019762845849802344,6.260869565217391,0.5691699604743082,1.5816864295125168,0.5691699604743082,0.5691699604743082,0.5691699604743082
#le-rotisseur,0.13043478260869565,0.2515527950310558,0.391304347826087,0.30434782608695654,0.17391304347826086,0.2608695652173913,0.13043478260869565,0.08695652173913043,0.5691699604743082,21.043478260869566,0.2608695652173913,0.043478260869565216,0.043478260869565216,0.043478260869565216
#monsieur-bavardin,0.060386473429951744,0.03312629399585917,0.0515297906602255,0.016563146997929584,0.0018115942028985484,0.20410628019323662,0.060386473429951744,0.5217391304347826,1.5816864295125157,0.2608695652173913,12.56521739130435,0.2608695652173913,0.2608695652173913,2.094202898550724
#la-paysanne,5.797101449275362,0.2515527950310558,0.9468599033816426,0.30434782608695654,0.17391304347826086,0.2608695652173913,5.797101449275362,9.58695652173913,0.5691699604743082,0.043478260869565216,0.2608695652173913,21.043478260869566,21.043478260869566,0.043478260869565216
#la-paysanne,5.797101449275362,0.2515527950310558,0.9468599033816426,0.30434782608695654,0.17391304347826086,0.2608695652173913,5.797101449275362,9.58695652173913,0.5691699604743082,0.043478260869565216,0.2608695652173913,21.043478260869566,21.043478260869566,0.043478260869565216
#monsieur-orgon,5.797101449275362,0.2515527950310558,0.9468599033816426,1.590062111801242,3.9239130434782608,2.094202898550724,0.13043478260869565,0.08695652173913043,0.5691699604743082,0.043478260869565216,2.094202898550724,0.043478260869565216,0.043478260869565216,21.043478260869566
Successions,#madame-dubuisson,#monsieur-dubuisson,#la-montagne,#mathurine,#lucas,#leandre,#marthon,#lucile,#monsieur-caton,#le-rotisseur,#monsieur-bavardin,#la-paysanne,#la-bohemienne,#monsieur-orgon
#madame-dubuisson,0.0,0.8947368421052632,0.0,0.0,0.05263157894736842,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#monsieur-dubuisson,0.2191780821917808,0.0,0.2602739726027397,0.1506849315068493,0.0136986301369863,0.0684931506849315,0.0273972602739726,0.0,0.136986301369863,0.0,0.0958904109589041,0.0136986301369863,0.0,0.0136986301369863
#la-montagne,0.0,0.22340425531914893,0.0,0.0425531914893617,0.3191489361702128,0.3191489361702128,0.02127659574468085,0.0,0.02127659574468085,0.0,0.031914893617021274,0.010638297872340425,0.010638297872340425,0.0
#mathurine,0.0,0.2727272727272727,0.15151515151515152,0.030303030303030304,0.48484848484848486,0.0,0.0,0.0,0.030303030303030304,0.0,0.030303030303030304,0.0,0.0,0.0
#lucas,0.018518518518518517,0.0,0.6296296296296297,0.3148148148148148,0.0,0.0,0.018518518518518517,0.0,0.018518518518518517,0.0,0.0,0.0,0.0,0.0
#leandre,0.0,0.07692307692307693,0.6923076923076923,0.0,0.10256410256410256,0.0,0.05128205128205128,0.05128205128205128,0.02564102564102564,0.0,0.0,0.0,0.0,0.0
#marthon,0.018867924528301886,0.018867924528301886,0.03773584905660377,0.0,0.0,0.03773584905660377,0.0,0.7924528301886793,0.03773584905660377,0.0,0.03773584905660377,0.0,0.018867924528301886,0.0
#lucile,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.9318181818181818,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0
#monsieur-caton,0.034482758620689655,0.4482758620689655,0.06896551724137931,0.0,0.0,0.0,0.10344827586206896,0.0,0.0,0.06896551724137931,0.27586206896551724,0.0,0.0,0.0
#le-rotisseur,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
#monsieur-bavardin,0.047619047619047616,0.38095238095238093,0.09523809523809523,0.0,0.047619047619047616,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0
#la-paysanne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#la-bohemienne,0.0,0.0,0.75,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#monsieur-orgon,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
