VALEUR,#valcour,#ali,#zisine,#fatme,#fatme #zisine,#selim,#zeila,#valcour #selim,#valcour #zeila,#tous-trois,#valcour #zeila #ali,#zisine #fatme,#fatime,#tous
#valcour #zeila #ali,0.8999999999999999,0.09696969696969701,3.2000000000000006,3.2000000000000006,5.633333333333334,0.4083333333333334,0.8999999999999999,0.06666666666666667,3.2000000000000006,0.06666666666666667,13.066666666666668,13.066666666666668,13.066666666666668,13.066666666666668
Successions,#valcour,#ali,#zisine,#fatme,#fatme #zisine,#selim,#zeila,#valcour #selim,#valcour #zeila,#tous-trois,#valcour #zeila #ali,#zisine #fatme,#fatime,#tous
#valcour,0.023809523809523808,0.5952380952380952,0.0,0.0,0.0,0.2619047619047619,0.09523809523809523,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0
#ali,0.32051282051282054,0.0641025641025641,0.15384615384615385,0.02564102564102564,0.038461538461538464,0.3333333333333333,0.038461538461538464,0.0,0.01282051282051282,0.01282051282051282,0.0,0.0,0.0,0.0
#zisine,0.0,0.17391304347826086,0.0,0.8260869565217391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#fatme,0.0,0.36363636363636365,0.45454545454545453,0.0,0.045454545454545456,0.09090909090909091,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0
#fatme #zisine,0.0,0.8,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#selim,0.23076923076923078,0.5384615384615384,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.057692307692307696,0.0,0.019230769230769232,0.0,0.019230769230769232,0.019230769230769232,0.038461538461538464,0.0
#zeila,0.3076923076923077,0.15384615384615385,0.0,0.0,0.0,0.5384615384615384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#valcour #selim,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#valcour #zeila,0.2,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#tous-trois,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#tous-trois,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#zisine #fatme,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#fatime,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#zisine #fatme,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
