VALEUR,#jocaste,#ismene,#antigone,#eteocle,#creon,#hemon,#page,#polynice,#adraste,#argie,#adraste-,#capitaine-1er,#capitaine-2nd,#menette,#cleodamas,#ephise,#capitaine,#tyresie
#cleodamas,0.6451612903225806,0.014746543778801819,0.573697270471464,0.4838709677419355,4.852150537634409,0.3378299120234605,0.16129032258064516,0.8064516129032258,0.16129032258064516,0.1951612903225807,0.16129032258064516,0.3225806451612903,0.16129032258064516,0.550537634408602,21.806451612903224,7.112903225806453,0.3225806451612903,4.361290322580646
#ephise,1.2903225806451613,0.029493087557603638,1.147394540942928,0.967741935483871,6.795967741935483,0.08475073313783002,0.3225806451612903,1.6129032258064515,0.3225806451612903,0.06532258064516128,0.3225806451612903,0.6451612903225806,0.3225806451612903,0.0010752688172042991,7.112903225806453,14.225806451612906,0.1951612903225807,1.4225806451612906
#capitaine,0.25806451612903225,0.45161290322580644,0.8387096774193549,0.1935483870967742,1.9408602150537635,0.7096774193548389,0.06451612903225806,0.3225806451612903,0.06451612903225806,0.25806451612903225,0.06451612903225806,0.12903225806451613,0.06451612903225806,0.1935483870967742,0.3225806451612903,0.1951612903225807,27.12903225806452,0.06451612903225806
#tyresie,0.12903225806451613,0.22580645161290322,0.41935483870967744,0.0967741935483871,0.9704301075268817,0.35483870967741943,0.03225806451612903,0.16129032258064516,0.03225806451612903,0.12903225806451613,0.03225806451612903,0.06451612903225806,0.03225806451612903,0.0967741935483871,4.361290322580646,1.4225806451612906,0.06451612903225806,29.03225806451613
Successions,#jocaste,#ismene,#antigone,#eteocle,#creon,#hemon,#page,#polynice,#adraste,#argie,#adraste-,#capitaine-1er,#capitaine-2nd,#menette,#cleodamas,#ephise,#capitaine,#tyresie
#jocaste,0.0,0.0625,0.125,0.1875,0.0625,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0
#ismene,0.047619047619047616,0.0,0.7619047619047619,0.0,0.11904761904761904,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.0,0.0,0.0
#antigone,0.02857142857142857,0.44285714285714284,0.02857142857142857,0.02857142857142857,0.15714285714285714,0.18571428571428572,0.0,0.02857142857142857,0.0,0.05714285714285714,0.0,0.0,0.0,0.04285714285714286,0.0,0.0,0.0,0.0
#eteocle,0.16666666666666666,0.0,0.08333333333333333,0.0,0.16666666666666666,0.0,0.0,0.5833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#creon,0.0,0.07792207792207792,0.07792207792207792,0.025974025974025976,0.012987012987012988,0.24675324675324675,0.0,0.012987012987012988,0.0,0.06493506493506493,0.0,0.0,0.0,0.05194805194805195,0.05194805194805195,0.18181818181818182,0.06493506493506493,0.12987012987012986
#hemon,0.0,0.047619047619047616,0.23809523809523808,0.0,0.5238095238095238,0.0,0.023809523809523808,0.023809523809523808,0.0,0.0,0.0,0.023809523809523808,0.0,0.0,0.0,0.11904761904761904,0.0,0.0
#page,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#polynice,0.43478260869565216,0.0,0.17391304347826086,0.21739130434782608,0.0,0.0,0.0,0.0,0.0,0.08695652173913043,0.043478260869565216,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0
#adraste,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#argie,0.0,0.0,0.5,0.0,0.2222222222222222,0.0,0.0,0.05555555555555555,0.05555555555555555,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0
#adraste,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#capitaine-1er,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#capitaine-2nd,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#menette,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#cleodamas,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.125
#ephise,0.0,0.0,0.043478260869565216,0.0,0.4782608695652174,0.30434782608695654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08695652173913043,0.0,0.043478260869565216,0.043478260869565216
#capitaine,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#tyresie,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0
