VALEUR,#moliere,#lesbin,#chapelle,#laforet,#le-garçon,#la-moliere,#isabelle,#baron,#le-semainier,#isabelle #angelique,#baron #cleante,#le-docteur,#le-domestique,#montausier,#pirlon,#mignard,#apollon,#thalie,#melpomene
#pirlon,0.46153846153846156,0.07692307692307693,0.41025641025641024,0.07692307692307693,0.02564102564102564,0.1282051282051282,0.358974358974359,1.8275058275058276,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.05128205128205128,0.02564102564102564,7.852564102564103,37.02564102564103,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564
#mignard,0.46153846153846156,0.07692307692307693,0.8477564102564104,0.07692307692307693,0.02564102564102564,0.1282051282051282,0.358974358974359,1.8275058275058276,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.05128205128205128,0.02564102564102564,7.852564102564103,0.02564102564102564,37.02564102564103,37.02564102564103,37.02564102564103,37.02564102564103
#mignard,0.46153846153846156,0.07692307692307693,0.8477564102564104,0.07692307692307693,0.02564102564102564,0.1282051282051282,0.358974358974359,1.8275058275058276,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.05128205128205128,0.02564102564102564,7.852564102564103,0.02564102564102564,37.02564102564103,37.02564102564103,37.02564102564103,37.02564102564103
#mignard,0.46153846153846156,0.07692307692307693,0.8477564102564104,0.07692307692307693,0.02564102564102564,0.1282051282051282,0.358974358974359,1.8275058275058276,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.05128205128205128,0.02564102564102564,7.852564102564103,0.02564102564102564,37.02564102564103,37.02564102564103,37.02564102564103,37.02564102564103
#mignard,0.46153846153846156,0.07692307692307693,0.8477564102564104,0.07692307692307693,0.02564102564102564,0.1282051282051282,0.358974358974359,1.8275058275058276,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.05128205128205128,0.02564102564102564,7.852564102564103,0.02564102564102564,37.02564102564103,37.02564102564103,37.02564102564103,37.02564102564103
Successions,#moliere,#lesbin,#chapelle,#laforet,#le-garçon,#la-moliere,#isabelle,#baron,#le-semainier,#isabelle #angelique,#baron #cleante,#le-docteur,#le-domestique,#montausier,#pirlon,#mignard,#apollon,#thalie,#melpomene
#moliere,0.047058823529411764,0.023529411764705882,0.2235294117647059,0.08235294117647059,0.023529411764705882,0.16470588235294117,0.11764705882352941,0.17647058823529413,0.011764705882352941,0.0,0.011764705882352941,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#lesbin,0.25,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#chapelle,0.4489795918367347,0.0,0.061224489795918366,0.12244897959183673,0.0,0.10204081632653061,0.061224489795918366,0.061224489795918366,0.0,0.0,0.0,0.0,0.0,0.061224489795918366,0.0,0.061224489795918366,0.0,0.0,0.02040816326530612
#laforet,0.38461538461538464,0.0,0.6153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-garçon,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-moliere,0.3939393939393939,0.0,0.18181818181818182,0.0,0.0,0.030303030303030304,0.3939393939393939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#isabelle,0.3142857142857143,0.05714285714285714,0.05714285714285714,0.0,0.0,0.37142857142857144,0.0,0.11428571428571428,0.0,0.0,0.0,0.08571428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#baron,0.47058823529411764,0.0,0.08823529411764706,0.0,0.0,0.0,0.08823529411764706,0.0,0.0,0.029411764705882353,0.0,0.0,0.029411764705882353,0.23529411764705882,0.058823529411764705,0.0,0.0,0.0,0.0
#le-garçon,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#isabelle #angelique,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#baron #cleante,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-docteur,0.7692307692307693,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-domestique,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#montausier,0.0,0.0,0.19047619047619047,0.0,0.0,0.0,0.0,0.38095238095238093,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.0
#pirlon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,0.0,0.0,0.0,0.0,0.0
#mignard,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
#apollon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0
#thalie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#thalie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
