VALEUR,#valere,#gripaut,#la-branche,#cartouche,#harpin,#bel-humeur,#la-ramee,#la-pince,#tous-ensemble,#le-petit-frere,#madame-gribiche,#la-mouche,#l-exempt,#la-valeur,#pataut,#oronte,#isabelle,#jasmin,#rodomont,#un-musicien,#deuxieme-musicien,#premier-musicien,#troisieme-musicien
#la-pince,0.07317073170731707,0.2926829268292683,3.320121951219513,0.9527439024390244,4.979674796747967,18.548780487804876,18.548780487804876,39.02439024390243,39.02439024390243,18.548780487804876,39.02439024390243,0.04878048780487805,0.14634146341463414,0.04878048780487805,0.36585365853658536,0.2926829268292683,0.12195121951219512,0.024390243902439025,0.024390243902439025,0.0,0.0,0.0,0.0
#la-pince,0.07317073170731707,0.2926829268292683,3.320121951219513,0.9527439024390244,4.979674796747967,18.548780487804876,18.548780487804876,39.02439024390243,39.02439024390243,18.548780487804876,39.02439024390243,0.04878048780487805,0.14634146341463414,0.04878048780487805,0.36585365853658536,0.2926829268292683,0.12195121951219512,0.024390243902439025,0.024390243902439025,0.0,0.0,0.0,0.0
#le-petit-frere,0.14634146341463414,0.5853658536585366,0.9527439024390244,0.061737804878048766,1.709349593495935,8.347560975609756,8.347560975609756,18.548780487804876,18.548780487804876,37.09756097560975,18.548780487804876,0.0975609756097561,1.709349593495935,0.0975609756097561,0.09837398373983741,0.29369918699187,0.24390243902439024,0.04878048780487805,18.548780487804876,0.0,0.0,0.0,0.0
#la-pince,0.07317073170731707,0.2926829268292683,3.320121951219513,0.9527439024390244,4.979674796747967,18.548780487804876,18.548780487804876,39.02439024390243,39.02439024390243,18.548780487804876,39.02439024390243,0.04878048780487805,0.14634146341463414,0.04878048780487805,0.36585365853658536,0.2926829268292683,0.12195121951219512,0.024390243902439025,0.024390243902439025,0.0,0.0,0.0,0.0
#la-mouche,0.14634146341463414,0.29369918699187,0.3902439024390244,1.9054878048780488,0.2926829268292683,0.0975609756097561,0.0975609756097561,0.04878048780487805,0.04878048780487805,0.0975609756097561,0.04878048780487805,37.09756097560975,0.2926829268292683,0.0975609756097561,0.7317073170731707,0.5853658536585366,0.24390243902439024,0.04878048780487805,0.04878048780487805,0.0,0.0,0.0,0.0
#l-exempt,0.7168021680216804,1.7560975609756095,1.1707317073170733,2.3414634146341466,0.8780487804878048,0.29268292682926833,0.29268292682926833,0.14634146341463417,0.14634146341463417,1.7093495934959346,0.14634146341463417,0.29268292682926833,29.878048780487813,9.959349593495933,0.295121951219512,0.8810975609756102,0.09837398373983741,0.14634146341463417,4.979674796747966,0.0,0.0,0.0,0.0
#la-valeur,0.14634146341463414,0.5853658536585366,0.3902439024390244,0.7804878048780488,0.2926829268292683,0.0975609756097561,0.0975609756097561,0.04878048780487805,0.04878048780487805,0.0975609756097561,0.04878048780487805,0.0975609756097561,9.959349593495935,37.09756097560975,0.7317073170731707,0.5853658536585366,0.24390243902439024,0.04878048780487805,0.04878048780487805,0.0,0.0,0.0,0.0
#pataut,0.7420054200542009,1.301355013550135,0.29349593495934956,2.5369918699186993,0.017344173441734372,0.09837398373983741,0.7317073170731707,0.36585365853658536,0.36585365853658536,0.09837398373983741,0.36585365853658536,0.7317073170731707,0.29512195121951246,0.7317073170731707,16.48780487804878,0.5902439024390249,0.37593495934959337,0.36585365853658536,1.0991869918699186,0.0,0.0,0.0,0.0
#oronte,1.4336043360433608,3.512195121951219,2.3414634146341466,2.89646849593496,1.7560975609756095,0.5853658536585367,0.5853658536585367,0.29268292682926833,0.29268292682926833,0.29369918699186975,0.29268292682926833,0.5853658536585367,0.8810975609756102,0.5853658536585367,0.590243902439024,20.512195121951223,4.396747967479675,1.7093495934959346,1.7093495934959346,0.0,0.0,0.0,0.0
#isabelle,0.36585365853658536,1.4634146341463414,0.975609756097561,0.4637195121951219,0.7317073170731707,0.24390243902439024,0.24390243902439024,0.12195121951219512,0.12195121951219512,0.24390243902439024,0.12195121951219512,0.24390243902439024,0.09837398373983741,0.24390243902439024,0.37593495934959337,4.396747967479675,31.60975609756098,0.12195121951219512,0.12195121951219512,0.0,0.0,0.0,0.0
