VALEUR,#alphrede,#cleandre,#rodolphe,#premier-arabe,#deuxieme-arabe,#ferrande,#amyntas,#acaste,#olenie,#eraste,#eurylas,#premier-soldat,#deuxieme-soldat,#isabelle,#premier-valet,#orante,#le-page,#le-pere,#l-oncle
#amyntas,0.0015873015873015758,1.1666666666666665,0.9233821733821733,0.2976190476190477,0.3888888888888888,0.009018759018759068,23.361111111111114,0.028344671201814036,3.337301587301588,0.3888888888888888,0.7777777777777776,0.1944444444444444,0.1944444444444444,1.75,0.3888888888888888,1.3611111111111112,0.1944444444444444,0.1944444444444444,0.1944444444444444
#acaste,2.4888888888888876,0.04761904761904754,0.8357753357753356,0.02380952380952377,0.7777777777777776,0.018037518037518137,0.028344671201814036,13.444444444444445,0.9603174603174606,0.06349206349206356,1.3412698412698416,0.9603174603174606,0.9603174603174606,3.5,0.06349206349206356,0.19160997732426308,0.9603174603174606,0.9603174603174606,0.9603174603174606
#olenie,1.8777777777777775,0.16666666666666666,0.3611111111111111,0.08333333333333333,0.05555555555555555,0.3055555555555556,3.3373015873015874,0.9603174603174605,34.02777777777778,0.05555555555555555,0.1111111111111111,0.027777777777777776,0.027777777777777776,0.25,0.05555555555555555,0.19444444444444445,0.027777777777777776,0.027777777777777776,0.027777777777777776
#eraste,0.3555555555555555,0.3333333333333333,0.7222222222222222,0.16666666666666666,0.1111111111111111,0.6111111111111112,0.3888888888888889,0.06349206349206349,0.05555555555555555,32.111111111111114,14.222222222222221,16.055555555555557,16.055555555555557,0.5,0.1111111111111111,0.3888888888888889,0.05555555555555555,0.05555555555555555,0.05555555555555555
#eurylas,3.211111111111111,0.6666666666666666,1.4444444444444444,0.3333333333333333,0.2222222222222222,1.2222222222222223,0.7777777777777778,1.3412698412698412,0.1111111111111111,14.222222222222221,28.444444444444443,7.111111111111111,7.111111111111111,1.0,2.7222222222222223,1.920634920634921,0.1111111111111111,0.1111111111111111,0.1111111111111111
#premier-soldat,1.8777777777777775,0.16666666666666666,0.3611111111111111,0.08333333333333333,0.05555555555555555,0.3055555555555556,0.19444444444444445,0.9603174603174605,0.027777777777777776,16.055555555555557,7.111111111111111,34.02777777777778,34.02777777777778,0.25,0.05555555555555555,0.19444444444444445,0.027777777777777776,0.027777777777777776,0.027777777777777776
#premier-soldat,1.8777777777777775,0.16666666666666666,0.3611111111111111,0.08333333333333333,0.05555555555555555,0.3055555555555556,0.19444444444444445,0.9603174603174605,0.027777777777777776,16.055555555555557,7.111111111111111,34.02777777777778,34.02777777777778,0.25,0.05555555555555555,0.19444444444444445,0.027777777777777776,0.027777777777777776,0.027777777777777776
#isabelle,0.1,0.16666666666666666,0.4807692307692308,0.75,0.5,0.20454545454545456,1.75,3.5,0.25,0.5,1.0,0.25,0.25,20.25,4.5,2.892857142857143,2.25,0.25,0.25
#premier-valet,0.3555555555555555,0.3333333333333333,0.7222222222222222,0.16666666666666666,0.1111111111111111,0.6111111111111112,0.3888888888888889,0.06349206349206349,0.05555555555555555,0.1111111111111111,2.7222222222222223,0.05555555555555555,0.05555555555555555,4.5,32.111111111111114,6.674603174603175,0.05555555555555555,0.05555555555555555,0.05555555555555555
#orante,0.5730158730158728,1.1666666666666665,2.5277777777777777,0.5833333333333333,0.3888888888888888,2.1388888888888893,1.3611111111111112,0.19160997732426308,0.1944444444444444,0.3888888888888888,1.9206349206349211,0.1944444444444444,0.1944444444444444,2.892857142857143,6.674603174603176,23.361111111111114,0.1944444444444444,0.1944444444444444,0.1944444444444444
#le-page,0.2777777777777778,0.16666666666666666,0.3611111111111111,0.08333333333333333,0.05555555555555555,0.3055555555555556,0.19444444444444445,0.9603174603174605,0.027777777777777776,0.05555555555555555,0.1111111111111111,0.027777777777777776,0.027777777777777776,2.25,0.05555555555555555,0.19444444444444445,34.02777777777778,0.027777777777777776,0.027777777777777776
#le-pere,0.2777777777777778,0.16666666666666666,0.3611111111111111,0.08333333333333333,0.05555555555555555,1.578282828282828,0.19444444444444445,0.9603174603174605,0.027777777777777776,0.05555555555555555,0.1111111111111111,0.027777777777777776,0.027777777777777776,0.25,0.05555555555555555,0.19444444444444445,0.027777777777777776,34.02777777777778,34.02777777777778
#le-pere,0.2777777777777778,0.16666666666666666,0.3611111111111111,0.08333333333333333,0.05555555555555555,1.578282828282828,0.19444444444444445,0.9603174603174605,0.027777777777777776,0.05555555555555555,0.1111111111111111,0.027777777777777776,0.027777777777777776,0.25,0.05555555555555555,0.19444444444444445,0.027777777777777776,34.02777777777778,34.02777777777778
Successions,#alphrede,#cleandre,#rodolphe,#premier-arabe,#deuxieme-arabe,#ferrande,#amyntas,#acaste,#olenie,#eraste,#eurylas,#premier-soldat,#deuxieme-soldat,#isabelle,#premier-valet,#orante,#le-page,#le-pere,#l-oncle
#alphrede,0.0,0.05,0.11666666666666667,0.0,0.0,0.0,0.23333333333333334,0.25,0.016666666666666666,0.03333333333333333,0.03333333333333333,0.0,0.0,0.016666666666666666,0.0,0.25,0.0,0.0,0.0
#cleandre,0.21428571428571427,0.0,0.5,0.0,0.0,0.14285714285714285,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0
#rodolphe,0.16666666666666666,0.08333333333333333,0.041666666666666664,0.0,0.041666666666666664,0.3541666666666667,0.08333333333333333,0.20833333333333334,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0
#premier-arabe,0.25,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#deuxieme-arabe,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#ferrande,0.0,0.18181818181818182,0.42424242424242425,0.030303030303030304,0.030303030303030304,0.0,0.2727272727272727,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0
#amyntas,0.45454545454545453,0.0,0.12121212121212122,0.06060606060606061,0.0,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#acaste,0.22033898305084745,0.01694915254237288,0.15254237288135594,0.0,0.0,0.06779661016949153,0.05084745762711865,0.01694915254237288,0.0,0.03389830508474576,0.06779661016949153,0.0,0.0,0.288135593220339,0.0,0.03389830508474576,0.0,0.05084745762711865,0.0
#olenie,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#eraste,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
#eurylas,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.08333333333333333,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0
#olenie,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#deuxieme-soldat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#isabelle,0.03571428571428571,0.0,0.03571428571428571,0.0,0.0,0.03571428571428571,0.0,0.5,0.0,0.0,0.17857142857142858,0.0,0.0,0.0,0.03571428571428571,0.14285714285714285,0.03571428571428571,0.0,0.0
#premier-valet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
#orante,0.6818181818181818,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22727272727272727,0.045454545454545456,0.0,0.0,0.0,0.0
#le-page,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-pere,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
#l-oncle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
