VALEUR,#armande,#henriette,#clitandre,#belise,#ariste,#chrysale,#martine,#philaminte,#trissotin,#l-epine,#armande #belise,#philaminte #armande #belise,#vadius,#julien,#le-notaire
#julien,0.7619047619047619,0.4642857142857143,0.9383116883116885,0.35714285714285715,0.2857142857142857,0.4642857142857143,0.14285714285714285,0.618131868131868,0.25,0.07142857142857142,0.03571428571428571,0.03571428571428571,0.03571428571428571,26.03571428571429,0.03571428571428571
#le-notaire,0.42857142857142855,0.618131868131868,0.9383116883116885,1.1571428571428568,0.2857142857142857,0.618131868131868,5.142857142857144,0.618131868131868,0.25,0.07142857142857142,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,26.03571428571429
Successions,#armande,#henriette,#clitandre,#belise,#ariste,#chrysale,#martine,#philaminte,#trissotin,#l-epine,#armande #belise,#philaminte #armande #belise,#vadius,#julien,#le-notaire
#armande,0.0,0.2753623188405797,0.13043478260869565,0.10144927536231885,0.0,0.057971014492753624,0.0,0.3333333333333333,0.10144927536231885,0.0,0.0,0.0,0.0,0.0,0.0
#henriette,0.3181818181818182,0.030303030303030304,0.15151515151515152,0.015151515151515152,0.015151515151515152,0.22727272727272727,0.0,0.10606060606060606,0.13636363636363635,0.0,0.0,0.0,0.0,0.0,0.0
#clitandre,0.17857142857142858,0.21428571428571427,0.03571428571428571,0.125,0.05357142857142857,0.07142857142857142,0.0,0.08928571428571429,0.23214285714285715,0.0,0.0,0.0,0.0,0.0,0.0
#belise,0.18181818181818182,0.015151515151515152,0.12121212121212122,0.0,0.22727272727272727,0.045454545454545456,0.015151515151515152,0.30303030303030304,0.07575757575757576,0.0,0.0,0.0,0.0,0.0,0.015151515151515152
#ariste,0.0,0.05,0.016666666666666666,0.26666666666666666,0.03333333333333333,0.5833333333333334,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#chrysale,0.02608695652173913,0.11304347826086956,0.06086956521739131,0.043478260869565216,0.3130434782608696,0.008695652173913044,0.10434782608695652,0.3130434782608696,0.008695652173913044,0.0,0.0,0.0,0.0,0.0,0.008695652173913044
#martine,0.0,0.0,0.0,0.2857142857142857,0.0,0.6190476190476191,0.0,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#philaminte,0.14634146341463414,0.06504065040650407,0.04878048780487805,0.13008130081300814,0.024390243902439025,0.2764227642276423,0.06504065040650407,0.0,0.14634146341463414,0.008130081300813009,0.008130081300813009,0.0,0.016260162601626018,0.016260162601626018,0.04878048780487805
