VALEUR,#saint-castin,#ouzaby,#duo,#azakia,#ouzaby #saint-castin,#ouzabys,#azakia #saint-castin,#zika,#zika #azakia,#azakia #zika,#premier-huron,#deuxieme-huron,#huron-3e,#quatuor
#quatuor,0.12857142857142861,1.633333333333333,0.10000000000000002,0.049999999999999975,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.5,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,8.1
Successions,#saint-castin,#ouzaby,#duo,#azakia,#ouzaby #saint-castin,#ouzabys,#azakia #saint-castin,#zika,#zika #azakia,#azakia #zika,#premier-huron,#deuxieme-huron,#huron-3e,#quatuor
#saint-castin,0.03278688524590164,0.3442622950819672,0.01639344262295082,0.36065573770491804,0.01639344262295082,0.0,0.0,0.13114754098360656,0.01639344262295082,0.08196721311475409,0.0,0.0,0.0,0.0
#ouzaby,0.6470588235294118,0.0,0.0,0.2647058823529412,0.0,0.0,0.0,0.08823529411764706,0.0,0.0,0.0,0.0,0.0,0.0
#duo,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#azakia,0.42857142857142855,0.14285714285714285,0.0,0.07142857142857142,0.0,0.023809523809523808,0.023809523809523808,0.2619047619047619,0.0,0.0,0.023809523809523808,0.023809523809523808,0.0,0.0
#duo,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#ouzabys,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#azakia #saint-castin,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#zika,0.4166666666666667,0.16666666666666666,0.0,0.2916666666666667,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.041666666666666664,0.0
#ouzabys,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#ouzabys,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#ouzabys,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#ouzabys,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#ouzabys,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#duo,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
