VALEUR,#aristandre,#adraste,#camille,#roseline,#cloriande,#coryleon,#mironte,#vachles,#le-page,#le-turc,#gylas,#le-soldat,#citoyen-i,#citoyen-ii,#citoyen,#autre-citoyen
Successions,#aristandre,#adraste,#camille,#roseline,#cloriande,#coryleon,#mironte,#vachles,#le-page,#le-turc,#gylas,#le-soldat,#citoyen-i,#citoyen-ii,#citoyen,#autre-citoyen
#aristandre,0.0,0.2564102564102564,0.1623931623931624,0.26495726495726496,0.09401709401709402,0.02564102564102564,0.0,0.03418803418803419,0.017094017094017096,0.02564102564102564,0.06837606837606838,0.008547008547008548,0.017094017094017096,0.017094017094017096,0.0,0.008547008547008548
#adraste,0.8888888888888888,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#camille,0.5833333333333334,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.027777777777777776,0.0,0.05555555555555555,0.0,0.0,0.0
#roseline,0.9375,0.0,0.03125,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#cloriande,0.23404255319148937,0.0,0.02127659574468085,0.02127659574468085,0.0,0.5319148936170213,0.0,0.19148936170212766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#coryleon,0.10344827586206896,0.0,0.0,0.0,0.8620689655172413,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#mironte,0.16666666666666666,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#vachles,0.2,0.0,0.0,0.0,0.6666666666666666,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0
#le-page,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-turc,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0
#gylas,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
#le-soldat,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#citoyen-i,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#citoyen-ii,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
#le-page,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#autre-citoyen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
