VALEUR,#clearque,#lisandre,#argenie,#armile,#theotime,#archane,#rosemonde,#philise,#melanire,#rutile,#florestor,#anthenor,#ariste
#philise,0.3333333333333333,1.7647058823529411,8.486631016042779,0.1764705882352941,0.3529411764705882,0.1764705882352941,0.04481792717086836,23.058823529411764,0.12009803921568622,0.5294117647058824,0.8823529411764706,1.0588235294117647,0.1764705882352941
#melanire,1.0,2.3529411764705883,0.9745989304812834,0.23529411764705882,0.47058823529411764,0.23529411764705882,0.07563025210084037,0.12009803921568632,19.88235294117647,0.1225490196078431,1.1764705882352942,0.12009803921568632,0.23529411764705882
#rutile,0.16666666666666666,0.8823529411764706,0.9705882352941178,0.08823529411764705,0.1764705882352941,0.08823529411764705,0.6176470588235294,0.5294117647058824,0.1225490196078432,28.264705882352942,0.4411764705882353,0.5294117647058824,0.08823529411764705
#florestor,0.9,8.470588235294116,0.2358288770053476,0.14705882352941177,0.29411764705882354,0.14705882352941177,0.0008403361344537756,0.8823529411764707,1.1764705882352942,0.44117647058823534,24.735294117647058,1.4156862745098038,0.14705882352941177
#anthenor,0.3333333333333333,0.03137254901960786,0.5775401069518714,0.1764705882352941,0.3529411764705882,0.1764705882352941,11.473389355742297,1.0588235294117647,0.12009803921568622,0.5294117647058824,1.415686274509804,23.058823529411764,0.1764705882352941
#ariste,0.5,0.29411764705882354,0.3235294117647059,0.029411764705882353,0.058823529411764705,0.029411764705882353,0.20588235294117646,0.17647058823529413,0.23529411764705882,0.08823529411764706,0.14705882352941177,0.17647058823529413,32.029411764705884
Successions,#clearque,#lisandre,#argenie,#armile,#theotime,#archane,#rosemonde,#philise,#melanire,#rutile,#florestor,#anthenor,#ariste
#clearque,0.011764705882352941,0.23529411764705882,0.3764705882352941,0.0,0.0,0.0,0.11764705882352941,0.011764705882352941,0.08235294117647059,0.08235294117647059,0.0,0.023529411764705882,0.058823529411764705
#lisandre,0.5405405405405406,0.0,0.0,0.0,0.02702702702702703,0.0,0.02702702702702703,0.05405405405405406,0.02702702702702703,0.0,0.32432432432432434,0.0,0.0
#argenie,0.5964912280701754,0.0,0.03508771929824561,0.03508771929824561,0.0,0.0,0.05263157894736842,0.17543859649122806,0.0,0.0,0.017543859649122806,0.08771929824561403,0.0
#armile,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#theotime,0.0,0.0,0.2,0.0,0.0,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0
#archane,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#rosemonde,0.3793103448275862,0.034482758620689655,0.1724137931034483,0.0,0.10344827586206896,0.0,0.0,0.0,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.20689655172413793,0.0
#philise,0.07692307692307693,0.0,0.8461538461538461,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0
#melanire,0.5384615384615384,0.07692307692307693,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0
#rutile,0.6666666666666666,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0
#florestor,0.058823529411764705,0.7647058823529411,0.058823529411764705,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.058823529411764705,0.0
#anthenor,0.0,0.07142857142857142,0.21428571428571427,0.0,0.0,0.0,0.5,0.0,0.07142857142857142,0.0,0.14285714285714285,0.0,0.0
#ariste,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
