VALEUR,#choeur,#kerkabon,#mademoiselle-des-guerets,#madame-plougoulin,#mademoiselle-kerkabon,#tous,#mademoiselle-saint-yves,#dumenil,#le-garde,#le-huron,#kebkabon,#le-petit-paysan,#toutes-les-femmes,#kerkabon #mademoiselle-kerkabon
#le-petit-paysan,0.15789473684210525,0.029605263157894756,0.15789473684210525,0.3684210526315789,0.47368421052631576,0.3157894736842105,0.30622009569377984,0.42105263157894735,0.05263157894736842,0.42631578947368426,0.05263157894736842,17.05263157894737,0.10526315789473684,0.05263157894736842
#toutes-les-femmes,1.4824561403508774,0.2779605263157894,1.4824561403508774,0.09398496240601507,1.1695906432748542,0.21491228070175444,0.6124401913875597,0.029605263157894756,0.10526315789473684,0.8526315789473685,0.10526315789473684,0.10526315789473684,15.210526315789474,7.605263157894737
#kerkabon #mademoiselle-kerkabon,4.491228070175438,0.029605263157894756,4.491228070175438,1.0827067669172932,0.5847953216374271,1.4824561403508774,0.30622009569377984,0.7960526315789475,0.05263157894736842,0.42631578947368426,0.05263157894736842,0.05263157894736842,7.605263157894737,17.05263157894737
Successions,#choeur,#kerkabon,#mademoiselle-des-guerets,#madame-plougoulin,#mademoiselle-kerkabon,#tous,#mademoiselle-saint-yves,#dumenil,#le-garde,#le-huron,#kebkabon,#le-petit-paysan,#toutes-les-femmes,#kerkabon #mademoiselle-kerkabon
#choeur,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0
#kerkabon,0.007874015748031496,0.031496062992125984,0.015748031496062992,0.05511811023622047,0.10236220472440945,0.047244094488188976,0.06299212598425197,0.03937007874015748,0.0,0.6220472440944882,0.0,0.007874015748031496,0.007874015748031496,0.0
#mademoiselle-des-guerets,0.0,0.6,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
#madame-plougoulin,0.0,0.3157894736842105,0.05263157894736842,0.0,0.3157894736842105,0.05263157894736842,0.05263157894736842,0.0,0.05263157894736842,0.15789473684210525,0.0,0.0,0.0,0.0
#mademoiselle-kerkabon,0.0,0.3793103448275862,0.0,0.20689655172413793,0.0,0.0,0.1724137931034483,0.034482758620689655,0.034482758620689655,0.1724137931034483,0.0,0.0,0.0,0.0
#tous,0.0,0.18181818181818182,0.0,0.0,0.09090909090909091,0.0,0.09090909090909091,0.18181818181818182,0.0,0.45454545454545453,0.0,0.0,0.0,0.0
#mademoiselle-saint-yves,0.0,0.3548387096774194,0.03225806451612903,0.03225806451612903,0.12903225806451613,0.0,0.0,0.0967741935483871,0.0,0.3548387096774194,0.0,0.0,0.0,0.0
#dumenil,0.0,0.4,0.0,0.0,0.0,0.06666666666666667,0.2,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
#le-garde,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
#le-huron,0.01694915254237288,0.6949152542372882,0.00847457627118644,0.03389830508474576,0.0423728813559322,0.01694915254237288,0.11016949152542373,0.03389830508474576,0.00847457627118644,0.00847457627118644,0.00847457627118644,0.0,0.00847457627118644,0.00847457627118644
#kebkabon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#kebkabon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#kebkabon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#kebkabon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
