VALEUR,#don-salluste,#gudiel,#ruy-blas,#don-cesar,#le-marquis-del-basto,#le-marquis-de-santa-cruz,#le-comte-d-albe,#un-huissier-de-cour,#l-huissier,#la-reine,#casilda,#don-guritan,#la-duchesse,#voix-du-dehors,#don-manuel-arias,#le-comte-de-camporeal,#ubilla,#le-marquis-de-priego,#montazgo,#covadenga,#le-page,#le-laquais,#la-duegne,#l-alcade,#un-alguazil,#les-alguazils,#l-homme-masque
#l-huissier,0.01111111111111112,0.1111111111111111,0.06666666666666664,0.8888888888888888,7.111111111111111,7.111111111111111,7.111111111111111,7.111111111111111,21.333333333333332,0.013888888888888902,0.3333333333333333,0.5555555555555556,0.2222222222222222,0.1111111111111111,2.7222222222222223,2.7222222222222223,2.7222222222222223,0.1111111111111111,0.1111111111111111,2.7222222222222223,2.7222222222222223,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
#la-reine,1.3004629629629627,0.2962962962962963,0.06944444444444439,2.3703703703703702,0.2962962962962963,0.2962962962962963,0.2962962962962963,0.2962962962962963,0.013888888888888902,13.370370370370372,1.388888888888889,1.5564814814814816,3.342592592592593,1.6712962962962965,0.5925925925925926,0.5925925925925926,0.5925925925925926,0.2962962962962963,0.2962962962962963,0.5925925925925926,0.5925925925925926,0.2962962962962963,0.2962962962962963,0.2962962962962963,0.2962962962962963,0.2962962962962963,1.6712962962962965
#casilda,1.1111111111111112,0.1111111111111111,0.06666666666666664,0.8888888888888888,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.3333333333333333,1.388888888888889,21.333333333333332,10.755555555555556,14.222222222222221,7.111111111111111,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
#don-guritan,1.8518518518518516,0.18518518518518517,0.2177777777777777,0.15648148148148142,0.18518518518518517,0.18518518518518517,0.18518518518518517,0.18518518518518517,0.5555555555555556,1.5564814814814816,10.755555555555556,17.92592592592593,7.170370370370373,3.5851851851851864,0.37037037037037035,0.37037037037037035,0.37037037037037035,0.18518518518518517,0.18518518518518517,0.37037037037037035,0.37037037037037035,0.18518518518518517,0.18518518518518517,0.18518518518518517,0.18518518518518517,0.18518518518518517,0.18518518518518517
#la-duchesse,0.7407407407407407,0.07407407407407407,0.01111111111111112,0.5925925925925926,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.2222222222222222,3.342592592592593,14.222222222222221,7.170370370370373,23.148148148148152,11.574074074074076,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.07407407407407407,0.07407407407407407,0.14814814814814814,0.14814814814814814,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407
#voix-du-dehors,0.37037037037037035,0.037037037037037035,0.5555555555555556,0.2962962962962963,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.1111111111111111,1.6712962962962965,7.111111111111111,3.5851851851851864,11.574074074074076,25.03703703703704,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.037037037037037035,0.037037037037037035,0.07407407407407407,0.07407407407407407,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035
#don-manuel-arias,0.7407407407407407,0.07407407407407407,0.01111111111111112,0.5925925925925926,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,2.7222222222222223,0.5925925925925926,0.2222222222222222,0.37037037037037035,0.14814814814814814,0.07407407407407407,23.148148148148152,23.148148148148152,23.148148148148152,11.574074074074076,11.574074074074076,23.148148148148152,4.898148148148148,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407
#don-manuel-arias,0.7407407407407407,0.07407407407407407,0.01111111111111112,0.5925925925925926,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,2.7222222222222223,0.5925925925925926,0.2222222222222222,0.37037037037037035,0.14814814814814814,0.07407407407407407,23.148148148148152,23.148148148148152,23.148148148148152,11.574074074074076,11.574074074074076,23.148148148148152,4.898148148148148,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407
#don-manuel-arias,0.7407407407407407,0.07407407407407407,0.01111111111111112,0.5925925925925926,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,2.7222222222222223,0.5925925925925926,0.2222222222222222,0.37037037037037035,0.14814814814814814,0.07407407407407407,23.148148148148152,23.148148148148152,23.148148148148152,11.574074074074076,11.574074074074076,23.148148148148152,4.898148148148148,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407
#le-marquis-de-priego,0.37037037037037035,0.037037037037037035,0.5555555555555556,0.2962962962962963,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.1111111111111111,0.2962962962962963,0.1111111111111111,0.18518518518518517,0.07407407407407407,0.037037037037037035,11.574074074074076,11.574074074074076,11.574074074074076,25.03703703703704,25.03703703703704,11.574074074074076,0.07407407407407407,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035
