VALEUR,#lisette,#angelique,#dorante,#merlin,#dorimene,#topase,#la-comtesse,#clitandre,#un-laquais,#l-intendante,#le-caissier,#eraste,#le-marquis,#le-chevalier
#la-comtesse,0.08928571428571433,0.5401785714285713,0.7232142857142856,0.29761904761904756,0.46753246753246763,0.5714285714285714,2.571428571428572,2.25,0.3214285714285715,0.7202380952380955,0.3214285714285715,0.22321428571428584,0.642857142857143,0.3214285714285715
#clitandre,0.2,1.0,0.5,0.16666666666666666,0.4090909090909091,0.5,2.25,3.5,0.5,1.3333333333333333,0.5,0.5,1.0,0.5
#un-laquais,0.7142857142857143,0.5714285714285714,0.2857142857142857,0.21428571428571427,0.058441558441558454,0.07142857142857142,0.3214285714285715,0.5,12.071428571428573,0.42857142857142855,0.07142857142857142,0.2857142857142857,0.14285714285714285,0.07142857142857142
#l-intendante,0.3857142857142856,1.7202380952380951,0.04761904761904765,0.396825396825397,0.35064935064935054,0.42857142857142855,0.7202380952380955,1.3333333333333333,0.42857142857142855,4.571428571428573,0.7619047619047619,3.0476190476190474,1.5238095238095237,0.7619047619047619
#le-caissier,0.7142857142857143,0.5714285714285714,0.2857142857142857,0.21428571428571427,0.058441558441558454,0.07142857142857142,0.3214285714285715,0.5,0.07142857142857142,0.7619047619047619,12.071428571428573,0.2857142857142857,0.14285714285714285,0.07142857142857142
#eraste,0.2571428571428572,0.7232142857142856,0.642857142857143,1.5238095238095237,0.23376623376623382,0.2857142857142857,0.22321428571428584,0.5,0.2857142857142857,3.0476190476190474,0.2857142857142857,7.142857142857143,3.5714285714285716,1.7857142857142858
#le-marquis,0.1285714285714286,0.017857142857142842,0.3214285714285715,0.7619047619047619,0.11688311688311691,0.14285714285714285,0.642857142857143,1.0,0.14285714285714285,1.5238095238095237,0.14285714285714285,3.5714285714285716,10.285714285714288,5.142857142857144
#le-chevalier,0.7142857142857143,0.3214285714285715,1.7857142857142858,2.880952380952381,0.058441558441558454,0.07142857142857142,0.3214285714285715,0.5,0.07142857142857142,0.7619047619047619,0.07142857142857142,1.7857142857142858,5.142857142857144,12.071428571428573
Successions,#lisette,#angelique,#dorante,#merlin,#dorimene,#topase,#la-comtesse,#clitandre,#un-laquais,#l-intendante,#le-caissier,#eraste,#le-marquis,#le-chevalier
#lisette,0.0,0.21568627450980393,0.2549019607843137,0.0784313725490196,0.17647058823529413,0.0,0.11764705882352941,0.0392156862745098,0.0,0.09803921568627451,0.0,0.0196078431372549,0.0,0.0
#angelique,0.38461538461538464,0.0,0.07692307692307693,0.11538461538461539,0.3076923076923077,0.038461538461538464,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#dorante,0.37142857142857144,0.14285714285714285,0.0,0.37142857142857144,0.02857142857142857,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.05714285714285714
#merlin,0.12121212121212122,0.030303030303030304,0.5454545454545454,0.0,0.06060606060606061,0.0,0.030303030303030304,0.030303030303030304,0.0,0.0,0.0,0.030303030303030304,0.0,0.15151515151515152
#dorimene,0.1509433962264151,0.1509433962264151,0.018867924528301886,0.0,0.0,0.07547169811320754,0.18867924528301888,0.07547169811320754,0.018867924528301886,0.09433962264150944,0.07547169811320754,0.03773584905660377,0.018867924528301886,0.09433962264150944
#topase,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-comtesse,0.24390243902439024,0.0,0.0,0.024390243902439025,0.17073170731707318,0.0,0.0,0.1951219512195122,0.0,0.07317073170731707,0.0975609756097561,0.12195121951219512,0.04878048780487805,0.024390243902439025
#clitandre,0.15384615384615385,0.0,0.0,0.0,0.11538461538461539,0.0,0.34615384615384615,0.0,0.0,0.07692307692307693,0.19230769230769232,0.07692307692307693,0.038461538461538464,0.0
#un-laquais,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#l-intendante,0.125,0.0,0.041666666666666664,0.041666666666666664,0.2916666666666667,0.0,0.25,0.125,0.0,0.0,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.0
#le-caissier,0.0,0.0,0.0,0.0,0.35714285714285715,0.0,0.21428571428571427,0.21428571428571427,0.0,0.21428571428571427,0.0,0.0,0.0,0.0
#eraste,0.0,0.0,0.0,0.13333333333333333,0.13333333333333333,0.0,0.06666666666666667,0.2,0.0,0.13333333333333333,0.0,0.0,0.13333333333333333,0.2
#le-marquis,0.0,0.125,0.0,0.125,0.25,0.0,0.125,0.125,0.0,0.25,0.0,0.0,0.0,0.0
#le-chevalier,0.0,0.0,0.0,0.4375,0.125,0.0,0.125,0.0,0.0,0.0625,0.0,0.1875,0.0625,0.0
