VALEUR,#don-quichotte,#la-niece,#don-lope,#le-barbier,#sanche,#therese,#le-duc,#la-duchesse,#deux-valets,#la-voix,#l-aumonier,#dame-rodrigue,#le-premier-herault,#le-second-herault,#premier-des-herauts,#la-premiere-infante,#la-seconde-infante,#le-herault,#le-diable,#lirgandee,#alquif,#archelaus,#dulcinee,#merlin
#le-premier-herault,0.09696969696969701,0.10000000000000002,0.4666666666666667,0.4666666666666667,0.049999999999999975,0.03333333333333333,0.2666666666666667,0.5333333333333333,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.06666666666666667,28.03333333333333,28.03333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.10000000000000002,0.06666666666666667
#le-premier-herault,0.09696969696969701,0.10000000000000002,0.4666666666666667,0.4666666666666667,0.049999999999999975,0.03333333333333333,0.2666666666666667,0.5333333333333333,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.06666666666666667,28.03333333333333,28.03333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.10000000000000002,0.06666666666666667
#premier-des-herauts,0.09696969696969701,0.10000000000000002,0.4666666666666667,0.4666666666666667,0.049999999999999975,0.03333333333333333,0.2666666666666667,0.4083333333333334,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.03333333333333333,28.03333333333333,28.03333333333333,28.03333333333333,28.03333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.10000000000000002,0.06666666666666667
#premier-des-herauts,0.09696969696969701,0.10000000000000002,0.4666666666666667,0.4666666666666667,0.049999999999999975,0.03333333333333333,0.2666666666666667,0.4083333333333334,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.03333333333333333,28.03333333333333,28.03333333333333,28.03333333333333,28.03333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.10000000000000002,0.06666666666666667
#premier-des-herauts,0.09696969696969701,0.10000000000000002,0.4666666666666667,0.4666666666666667,0.049999999999999975,0.03333333333333333,0.2666666666666667,0.4083333333333334,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.03333333333333333,28.03333333333333,28.03333333333333,28.03333333333333,28.03333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.10000000000000002,0.06666666666666667
#premier-des-herauts,0.09696969696969701,0.10000000000000002,0.4666666666666667,0.4666666666666667,0.049999999999999975,0.03333333333333333,0.2666666666666667,0.4083333333333334,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.03333333333333333,28.03333333333333,28.03333333333333,28.03333333333333,28.03333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.10000000000000002,0.06666666666666667
#le-diable,0.19393939393939402,0.20000000000000004,0.00476190476190476,0.00476190476190476,0.09999999999999995,0.06666666666666667,0.5333333333333334,0.8166666666666668,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,26.133333333333336,5.633333333333334,5.633333333333334,5.633333333333334,3.2000000000000006,5.633333333333334
#lirgandee,0.19393939393939402,0.20000000000000004,0.00476190476190476,0.00476190476190476,0.09999999999999995,0.06666666666666667,0.5333333333333334,0.8166666666666668,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,5.633333333333334,26.133333333333336,5.633333333333334,5.633333333333334,3.2000000000000006,5.633333333333334
#alquif,0.19393939393939402,0.20000000000000004,0.00476190476190476,0.00476190476190476,0.09999999999999995,0.06666666666666667,0.5333333333333334,0.8166666666666668,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,5.633333333333334,5.633333333333334,26.133333333333336,5.633333333333334,3.2000000000000006,5.633333333333334
#archelaus,0.19393939393939402,0.20000000000000004,1.219047619047619,1.219047619047619,0.09999999999999995,0.06666666666666667,0.5333333333333334,0.8166666666666668,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,5.633333333333334,5.633333333333334,5.633333333333334,26.133333333333336,16.2,5.633333333333334
#dulcinee,0.2909090909090912,0.30000000000000004,1.828571428571429,1.828571428571429,0.1499999999999998,0.10000000000000002,0.8000000000000003,1.2249999999999999,0.10000000000000002,0.10000000000000002,0.20000000000000004,0.20000000000000004,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,3.2000000000000006,3.2000000000000006,3.2000000000000006,16.2,24.3,16.2
#merlin,0.19393939393939402,0.20000000000000004,1.219047619047619,1.219047619047619,0.09999999999999995,0.06666666666666667,0.5333333333333334,0.8166666666666668,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,5.633333333333334,5.633333333333334,5.633333333333334,5.633333333333334,16.2,26.133333333333336
Successions,#don-quichotte,#la-niece,#don-lope,#le-barbier,#sanche,#therese,#le-duc,#la-duchesse,#deux-valets,#la-voix,#l-aumonier,#dame-rodrigue,#le-premier-herault,#le-second-herault,#premier-des-herauts,#la-premiere-infante,#la-seconde-infante,#le-herault,#le-diable,#lirgandee,#alquif,#archelaus,#dulcinee,#merlin
#don-quichotte,0.0,0.029940119760479042,0.1317365269461078,0.059880239520958084,0.5808383233532934,0.0,0.11377245508982035,0.023952095808383235,0.005988023952095809,0.0,0.017964071856287425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005988023952095809,0.005988023952095809,0.005988023952095809,0.005988023952095809,0.005988023952095809,0.005988023952095809
#la-niece,0.5,0.0,0.16666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#don-lope,0.5517241379310345,0.034482758620689655,0.0,0.22413793103448276,0.08620689655172414,0.017241379310344827,0.06896551724137931,0.017241379310344827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-barbier,0.14754098360655737,0.01639344262295082,0.22950819672131148,0.0,0.5245901639344263,0.0,0.04918032786885246,0.01639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01639344262295082
#sanche,0.40625,0.017857142857142856,0.05357142857142857,0.15625,0.0,0.049107142857142856,0.08035714285714286,0.14732142857142858,0.0,0.0,0.03125,0.026785714285714284,0.0,0.0,0.0,0.004464285714285714,0.013392857142857142,0.0,0.008928571428571428,0.0,0.0,0.0,0.0,0.004464285714285714
#therese,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-duc,0.2698412698412698,0.0,0.1111111111111111,0.031746031746031744,0.2857142857142857,0.0,0.031746031746031744,0.12698412698412698,0.0,0.015873015873015872,0.015873015873015872,0.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.015873015873015872
#la-duchesse,0.19230769230769232,0.0,0.019230769230769232,0.019230769230769232,0.5384615384615384,0.0,0.15384615384615385,0.0,0.0,0.0,0.019230769230769232,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019230769230769232,0.0
#therese,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#therese,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#l-aumonier,0.0,0.0,0.0,0.0,0.9166666666666666,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#dame-rodrigue,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-premier-herault,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-second-herault,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#premier-des-herauts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-premiere-infante,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
#la-seconde-infante,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-herault,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-diable,0.0,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#lirgandee,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#alquif,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#alquif,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#dulcinee,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#merlin,0.25,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
