VALEUR,#dame-jeanne,#crispin,#beatrix,#miris,#orphise,#alcipe,#lucille,#damis,#clidamis,#le-fripier,#le-tailleur,#le-commissaire
#le-tailleur,0.2608695652173913,0.09207161125319697,0.008281573498964814,0.5652173913043478,0.6086956521739131,0.08695652173913043,0.043478260869565216,0.043478260869565216,0.13043478260869565,9.58695652173913,21.043478260869566,0.043478260869565216
#le-commissaire,0.2608695652173913,0.09207161125319697,0.008281573498964814,0.5652173913043478,0.2515527950310558,0.08695652173913043,0.043478260869565216,0.043478260869565216,0.13043478260869565,0.08695652173913043,0.043478260869565216,21.043478260869566
Successions,#dame-jeanne,#crispin,#beatrix,#miris,#orphise,#alcipe,#lucille,#damis,#clidamis,#le-fripier,#le-tailleur,#le-commissaire
#dame-jeanne,0.0,0.4230769230769231,0.3076923076923077,0.11538461538461539,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#crispin,0.09523809523809523,0.023809523809523808,0.44047619047619047,0.19047619047619047,0.09523809523809523,0.0,0.03571428571428571,0.03571428571428571,0.011904761904761904,0.05952380952380952,0.011904761904761904,0.0
#beatrix,0.07272727272727272,0.4090909090909091,0.00909090909090909,0.24545454545454545,0.08181818181818182,0.00909090909090909,0.01818181818181818,0.00909090909090909,0.06363636363636363,0.05454545454545454,0.02727272727272727,0.0
#miris,0.07142857142857142,0.14285714285714285,0.4714285714285714,0.0,0.21428571428571427,0.04285714285714286,0.02857142857142857,0.014285714285714285,0.014285714285714285,0.0,0.0,0.0
#orphise,0.13157894736842105,0.15789473684210525,0.23684210526315788,0.34210526315789475,0.0,0.02631578947368421,0.02631578947368421,0.0,0.05263157894736842,0.0,0.0,0.02631578947368421
#alcipe,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#lucille,0.0,0.25,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#damis,0.0,0.0,0.2,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#clidamis,0.09090909090909091,0.09090909090909091,0.7272727272727273,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-fripier,0.0,0.2857142857142857,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0
#le-tailleur,0.0,0.25,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0
#le-commissaire,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
