VALEUR,#arlequin,#colombine,#bagatelle,#pierrot,#isabelle,#octave,#mezzetin,#trafiquet,#le-laquais,#nigaudin,#le-capitaine,#le-sergent,#pasquariel,#mezzetin #pasquariel,#premiere-bohemienne,#seconde-bohemienne,#madame-pindaret,#arelquin,#margot,#le-choeur
#mezzetin,0.8166666666666668,0.12950191570881234,0.17777777777777778,0.8888888888888888,2.016666666666667,9.338888888888889,37.355555555555554,0.8888888888888888,0.4444444444444444,0.35555555555555557,0.26666666666666666,0.08888888888888889,9.338888888888889,9.338888888888889,0.08888888888888889,0.08888888888888889,0.35555555555555557,0.08888888888888889,0.08888888888888889,9.338888888888889
#trafiquet,0.1666666666666666,0.9272030651340997,0.4444444444444445,10.27222222222222,0.6666666666666666,0.22222222222222224,0.888888888888889,27.222222222222218,1.1111111111111112,0.888888888888889,0.6666666666666666,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.22222222222222224,0.888888888888889,0.22222222222222224,0.22222222222222224,0.22222222222222224
#le-laquais,1.3333333333333333,1.5325670498084292,0.22222222222222224,1.1111111111111112,0.3333333333333333,0.11111111111111112,0.4444444444444445,1.1111111111111112,35.55555555555556,0.4444444444444445,0.3333333333333333,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.6944444444444445,0.11111111111111112,0.11111111111111112,0.11111111111111112
#nigaudin,1.0666666666666667,0.0691570881226053,0.17777777777777778,0.8888888888888888,0.26666666666666666,0.08888888888888889,0.35555555555555557,0.8888888888888888,0.4444444444444444,37.355555555555554,28.016666666666666,9.338888888888889,0.08888888888888889,0.08888888888888889,0.08888888888888889,0.08888888888888889,0.35555555555555557,0.08888888888888889,0.08888888888888889,0.08888888888888889
#le-capitaine,0.8000000000000002,0.002298850574712627,0.13333333333333333,0.6666666666666666,0.20000000000000004,0.06666666666666667,0.26666666666666666,0.6666666666666666,0.3333333333333333,28.016666666666666,39.199999999999996,13.066666666666668,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.06666666666666667,0.06666666666666667,0.06666666666666667
#le-sergent,0.26666666666666666,0.19616858237547888,0.044444444444444446,0.2222222222222222,0.06666666666666667,0.022222222222222223,0.08888888888888889,0.2222222222222222,0.1111111111111111,9.338888888888889,13.066666666666668,43.02222222222222,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.08888888888888889,0.022222222222222223,0.022222222222222223,0.022222222222222223
#pasquariel,0.26666666666666666,0.19616858237547888,0.044444444444444446,0.2222222222222222,0.06666666666666667,0.022222222222222223,9.338888888888889,0.2222222222222222,0.1111111111111111,0.08888888888888889,0.06666666666666667,0.022222222222222223,43.02222222222222,43.02222222222222,0.022222222222222223,0.022222222222222223,0.08888888888888889,0.022222222222222223,0.022222222222222223,0.022222222222222223
#pasquariel,0.26666666666666666,0.19616858237547888,0.044444444444444446,0.2222222222222222,0.06666666666666667,0.022222222222222223,9.338888888888889,0.2222222222222222,0.1111111111111111,0.08888888888888889,0.06666666666666667,0.022222222222222223,43.02222222222222,43.02222222222222,0.022222222222222223,0.022222222222222223,0.08888888888888889,0.022222222222222223,0.022222222222222223,0.022222222222222223
#premiere-bohemienne,2.016666666666667,0.6444444444444445,0.044444444444444446,0.2222222222222222,0.06666666666666667,0.022222222222222223,0.08888888888888889,0.2222222222222222,0.1111111111111111,0.08888888888888889,0.06666666666666667,0.022222222222222223,0.022222222222222223,0.022222222222222223,43.02222222222222,43.02222222222222,0.08888888888888889,0.022222222222222223,0.022222222222222223,0.022222222222222223
#premiere-bohemienne,2.016666666666667,0.6444444444444445,0.044444444444444446,0.2222222222222222,0.06666666666666667,0.022222222222222223,0.08888888888888889,0.2222222222222222,0.1111111111111111,0.08888888888888889,0.06666666666666667,0.022222222222222223,0.022222222222222223,0.022222222222222223,43.02222222222222,43.02222222222222,0.08888888888888889,0.022222222222222223,0.022222222222222223,0.022222222222222223
#madame-pindaret,0.004166666666666665,0.0691570881226053,0.17777777777777778,0.8888888888888888,0.26666666666666666,0.08888888888888889,0.35555555555555557,0.8888888888888888,0.6944444444444445,0.35555555555555557,0.26666666666666666,0.08888888888888889,0.08888888888888889,0.08888888888888889,0.08888888888888889,0.08888888888888889,37.355555555555554,9.338888888888889,0.08888888888888889,0.08888888888888889
#arelquin,2.016666666666667,0.19616858237547888,0.044444444444444446,0.2222222222222222,0.06666666666666667,0.022222222222222223,0.08888888888888889,0.2222222222222222,0.1111111111111111,0.08888888888888889,0.06666666666666667,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,9.338888888888889,43.02222222222222,0.022222222222222223,0.022222222222222223
#margot,2.016666666666667,0.19616858237547888,0.044444444444444446,0.2222222222222222,0.06666666666666667,0.022222222222222223,0.08888888888888889,0.2222222222222222,0.1111111111111111,0.08888888888888889,0.06666666666666667,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.08888888888888889,0.022222222222222223,43.02222222222222,0.022222222222222223
#le-choeur,2.016666666666667,0.6444444444444445,0.044444444444444446,0.2222222222222222,0.06666666666666667,0.022222222222222223,9.338888888888889,0.2222222222222222,0.1111111111111111,0.08888888888888889,0.06666666666666667,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.08888888888888889,0.022222222222222223,0.022222222222222223,43.02222222222222
Successions,#arlequin,#colombine,#bagatelle,#pierrot,#isabelle,#octave,#mezzetin,#trafiquet,#le-laquais,#nigaudin,#le-capitaine,#le-sergent,#pasquariel,#mezzetin #pasquariel,#premiere-bohemienne,#seconde-bohemienne,#madame-pindaret,#arelquin,#margot,#le-choeur
#arlequin,0.0379746835443038,0.35443037974683544,0.0,0.06329113924050633,0.0,0.0,0.0379746835443038,0.0759493670886076,0.0,0.0,0.0,0.0,0.0,0.0,0.1518987341772152,0.1518987341772152,0.02531645569620253,0.0,0.10126582278481013,0.0
#colombine,0.19607843137254902,0.013071895424836602,0.026143790849673203,0.06535947712418301,0.10457516339869281,0.006535947712418301,0.05228758169934641,0.1568627450980392,0.026143790849673203,0.09803921568627451,0.0718954248366013,0.006535947712418301,0.032679738562091505,0.0,0.0,0.006535947712418301,0.1111111111111111,0.006535947712418301,0.0196078431372549,0.0
#bagatelle,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#pierrot,0.06818181818181818,0.22727272727272727,0.0,0.022727272727272728,0.0,0.0,0.0,0.6590909090909091,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#isabelle,0.0,0.9411764705882353,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#bagatelle,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#mezzetin,0.2222222222222222,0.5,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555
#trafiquet,0.09836065573770492,0.39344262295081966,0.0,0.4426229508196721,0.01639344262295082,0.0,0.0,0.03278688524590164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01639344262295082
#le-laquais,0.14285714285714285,0.42857142857142855,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0
#nigaudin,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-capitaine,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-sergent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#pasquariel,0.0,0.375,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0
#bagatelle,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#premiere-bohemienne,0.9444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0
#seconde-bohemienne,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0
#madame-pindaret,0.08333333333333333,0.7083333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0
#arelquin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#margot,0.5454545454545454,0.45454545454545453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-choeur,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
