VALEUR,#voix-du-monologue,#aglante,#asphalte,#cleonice,#orphise,#melinde,#megate,#philene,#echo,#arbaze,#florine,#un-des-braves,#nerice,#orphise #nerice,#janot,#le-gardeur-des-lions,#toinet
#megate,0.10344827586206896,1.2413793103448276,0.01671891327063737,1.0344827586206897,1.2273307790549166,4.250574712643678,23.310344827586206,23.310344827586206,7.770114942528736,1.1379310344827585,0.5172413793103449,0.10344827586206896,0.5172413793103449,0.10344827586206896,0.20689655172413793,0.10344827586206896,0.20689655172413793
#megate,0.10344827586206896,1.2413793103448276,0.01671891327063737,1.0344827586206897,1.2273307790549166,4.250574712643678,23.310344827586206,23.310344827586206,7.770114942528736,1.1379310344827585,0.5172413793103449,0.10344827586206896,0.5172413793103449,0.10344827586206896,0.20689655172413793,0.10344827586206896,0.20689655172413793
#echo,0.034482758620689655,0.41379310344827586,0.3793103448275862,0.3448275862068966,0.3103448275862069,3.9724137931034478,7.770114942528736,7.770114942528736,27.034482758620694,0.3793103448275862,0.1724137931034483,0.034482758620689655,0.1724137931034483,0.034482758620689655,0.06896551724137931,0.034482758620689655,0.06896551724137931
#arbaze,0.3793103448275862,0.06687565308254968,0.16414933029353085,0.8476489028213167,0.5855102751654475,0.42382445141065833,1.1379310344827587,1.1379310344827587,0.3793103448275862,11.172413793103448,0.005642633228840123,1.0156739811912228,5.078369905956113,1.0156739811912228,0.07680250783699062,0.3793103448275862,2.0313479623824455
#florine,0.1724137931034483,0.41896551724137915,0.005642633228840123,0.04413793103448272,1.3517241379310347,0.02206896551724136,0.5172413793103449,0.5172413793103449,0.1724137931034483,0.005642633228840123,19.862068965517242,0.1724137931034483,0.02206896551724136,0.1724137931034483,0.3448275862068966,0.1724137931034483,0.3448275862068966
#un-des-braves,0.034482758620689655,0.41379310344827586,0.3793103448275862,0.3448275862068966,0.3103448275862069,0.1724137931034483,0.10344827586206896,0.10344827586206896,0.034482758620689655,1.0156739811912228,0.1724137931034483,27.034482758620694,0.1724137931034483,0.034482758620689655,0.06896551724137931,0.034482758620689655,0.06896551724137931
#nerice,0.1724137931034483,0.0022988505747126528,0.6420062695924764,0.04413793103448272,0.12950191570881228,0.02206896551724136,0.5172413793103449,0.5172413793103449,0.1724137931034483,5.078369905956113,0.02206896551724136,0.1724137931034483,19.862068965517242,3.9724137931034478,1.2448275862068965,0.1724137931034483,1.2448275862068965
#orphise #nerice,0.034482758620689655,0.41379310344827586,1.0156739811912228,0.3448275862068966,1.5325670498084292,0.1724137931034483,0.10344827586206896,0.10344827586206896,0.034482758620689655,1.0156739811912228,0.1724137931034483,0.034482758620689655,3.9724137931034478,27.034482758620694,0.06896551724137931,0.034482758620689655,0.06896551724137931
#janot,0.06896551724137931,0.03591954022988506,0.7586206896551724,0.13965517241379305,0.6206896551724138,0.3448275862068966,0.20689655172413793,0.20689655172413793,0.06896551724137931,0.07680250783699062,0.3448275862068966,0.06896551724137931,1.2448275862068965,0.06896551724137931,25.137931034482758,12.568965517241379,5.387931034482758
#le-gardeur-des-lions,0.034482758620689655,0.8304597701149428,0.3793103448275862,1.2448275862068965,0.3103448275862069,0.1724137931034483,0.10344827586206896,0.10344827586206896,0.034482758620689655,0.3793103448275862,0.1724137931034483,0.034482758620689655,0.1724137931034483,0.034482758620689655,12.568965517241379,27.034482758620694,0.06896551724137931
#toinet,0.06896551724137931,0.8275862068965517,0.07680250783699062,0.6896551724137931,0.6206896551724138,0.3448275862068966,0.20689655172413793,0.20689655172413793,0.06896551724137931,2.0313479623824455,0.3448275862068966,0.06896551724137931,1.2448275862068965,0.06896551724137931,5.387931034482758,0.06896551724137931,25.137931034482758
Successions,#voix-du-monologue,#aglante,#asphalte,#cleonice,#orphise,#melinde,#megate,#philene,#echo,#arbaze,#florine,#un-des-braves,#nerice,#orphise #nerice,#janot,#le-gardeur-des-lions,#toinet
#voix-du-monologue,,,,,,,,,,,,,,,,,
#aglante,0.013888888888888888,0.0,0.16666666666666666,0.4583333333333333,0.013888888888888888,0.027777777777777776,0.0,0.0,0.0,0.125,0.08333333333333333,0.0,0.027777777777777776,0.0,0.06944444444444445,0.013888888888888888,0.0
#asphalte,0.0,0.32432432432432434,0.02702702702702703,0.05405405405405406,0.10810810810810811,0.0,0.02702702702702703,0.16216216216216217,0.0,0.08108108108108109,0.13513513513513514,0.0,0.05405405405405406,0.0,0.0,0.0,0.02702702702702703
#cleonice,0.0,0.5079365079365079,0.015873015873015872,0.015873015873015872,0.031746031746031744,0.09523809523809523,0.0,0.0,0.0,0.015873015873015872,0.047619047619047616,0.0,0.14285714285714285,0.0,0.031746031746031744,0.09523809523809523,0.0
#orphise,0.0,0.05555555555555555,0.1111111111111111,0.1111111111111111,0.0,0.05555555555555555,0.2777777777777778,0.2222222222222222,0.0,0.0,0.1111111111111111,0.0,0.05555555555555555,0.0,0.0,0.0,0.0
#melinde,0.0,0.0625,0.0,0.4375,0.125,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0
#megate,0.0,0.0,0.02127659574468085,0.0,0.23404255319148937,0.0851063829787234,0.02127659574468085,0.5531914893617021,0.0851063829787234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#philene,0.0,0.0,0.11627906976744186,0.0,0.18604651162790697,0.023255813953488372,0.6511627906976745,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#echo,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#arbaze,0.0,0.34375,0.1875,0.0,0.0,0.0,0.03125,0.0,0.0,0.03125,0.0625,0.03125,0.28125,0.0,0.0,0.0,0.03125
#florine,0.0,0.19047619047619047,0.3333333333333333,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.19047619047619047,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#un-des-braves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#nerice,0.0,0.1111111111111111,0.0,0.3333333333333333,0.07407407407407407,0.037037037037037035,0.0,0.0,0.0,0.4074074074074074,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0
#un-des-braves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#janot,0.0,0.5555555555555556,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0
#le-gardeur-des-lions,0.0,0.25,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0
#toinet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0
