VALEUR,#rosimond,#isimandre,#ormin,#clindor,#eduige,#lucinde,#florange,#palinice,#orante,#lindoman,#nerine,#poliante,#leriste,#argamor
#florange,0.2391304347826087,0.12704686617730088,0.8153585544889891,0.43577075098814233,0.43577075098814233,0.05192238591448073,26.6304347826087,0.15494071146245061,0.021519543258673758,0.717391304347826,0.4782608695652174,1.673913043478261,0.5691699604743082,2.4209486166007905
#palinice,0.21739130434782608,1.372049689440994,0.3006211180124222,1.7391304347826086,0.03913043478260871,18.26403162055336,0.15494071146245061,28.17391304347826,0.9352657004830919,0.6521739130434783,0.7347826086956523,0.17888198757763982,0.43478260869565216,0.21739130434782608
#orante,0.3913043478260869,0.04175293305728094,0.39889579020013816,0.40821256038647324,0.24154589371980698,0.021519543258673758,0.021519543258673758,0.9352657004830919,17.04347826086956,0.5813204508856685,1.8937198067632854,0.024844720496894377,0.7826086956521738,0.3913043478260869
#lindoman,0.06521739130434782,0.008281573498964792,0.9130434782608696,0.43840579710144933,0.43840579710144933,0.7173913043478262,0.7173913043478262,0.6521739130434783,0.5813204508856681,40.19565217391305,0.13043478260869565,0.4565217391304348,0.13043478260869565,0.06521739130434782
#nerine,0.043478260869565216,0.6086956521739131,0.6086956521739131,0.34782608695652173,0.34782608695652173,0.5691699604743082,0.4782608695652174,0.7347826086956523,1.8937198067632852,0.13043478260869565,42.08695652173913,0.30434782608695654,0.08695652173913043,0.043478260869565216
#poliante,0.15217391304347827,0.007985803016858932,0.3549245785270629,0.5031055900621116,1.2173913043478262,0.06352343308865044,1.673913043478261,0.17888198757763968,0.024844720496894377,0.45652173913043476,0.30434782608695654,33.06521739130435,0.30434782608695654,0.15217391304347827
#leriste,0.043478260869565216,3.180124223602484,0.2515527950310558,0.34782608695652173,0.34782608695652173,0.4782608695652174,0.5691699604743082,0.43478260869565216,0.782608695652174,0.13043478260869565,0.08695652173913043,0.30434782608695654,42.08695652173913,21.043478260869566
#argamor,0.021739130434782608,1.590062111801242,1.590062111801242,0.17391304347826086,0.17391304347826086,0.2391304347826087,2.4209486166007905,0.21739130434782608,0.391304347826087,0.06521739130434782,0.043478260869565216,0.15217391304347827,21.043478260869566,44.02173913043478
Successions,#rosimond,#isimandre,#ormin,#clindor,#eduige,#lucinde,#florange,#palinice,#orante,#lindoman,#nerine,#poliante,#leriste,#argamor
#rosimond,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#isimandre,0.16393442622950818,0.0,0.04918032786885246,0.11475409836065574,0.01639344262295082,0.0,0.3442622950819672,0.01639344262295082,0.22950819672131148,0.01639344262295082,0.0,0.01639344262295082,0.03278688524590164,0.0
#ormin,0.0,0.125,0.0,0.0,0.05,0.1,0.075,0.25,0.325,0.0,0.0,0.075,0.0,0.0
#clindor,0.0,0.23809523809523808,0.047619047619047616,0.0,0.19047619047619047,0.0,0.09523809523809523,0.0,0.14285714285714285,0.047619047619047616,0.047619047619047616,0.19047619047619047,0.0,0.0
#eduige,0.0,0.0,0.05555555555555555,0.2222222222222222,0.0,0.05555555555555555,0.05555555555555555,0.0,0.6111111111111112,0.0,0.0,0.0,0.0,0.0
#lucinde,0.0,0.047619047619047616,0.14285714285714285,0.09523809523809523,0.047619047619047616,0.0,0.09523809523809523,0.47619047619047616,0.047619047619047616,0.0,0.0,0.047619047619047616,0.0,0.0
#florange,0.0,0.4857142857142857,0.2,0.02857142857142857,0.02857142857142857,0.08571428571428572,0.0,0.02857142857142857,0.11428571428571428,0.0,0.0,0.0,0.0,0.02857142857142857
#palinice,0.0,0.043478260869565216,0.391304347826087,0.0,0.0,0.391304347826087,0.08695652173913043,0.0,0.08695652173913043,0.0,0.0,0.0,0.0,0.0
#orante,0.0,0.24242424242424243,0.19696969696969696,0.045454545454545456,0.13636363636363635,0.045454545454545456,0.045454545454545456,0.0,0.0,0.06060606060606061,0.045454545454545456,0.18181818181818182,0.0,0.0
#lindoman,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0
#nerine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#poliante,0.0,0.09090909090909091,0.13636363636363635,0.18181818181818182,0.0,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.45454545454545453,0.0,0.0,0.0,0.0,0.0
#rosimond,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#rosimond,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
