VALEUR,#saint-amant,#faret,#godeau,#colletet,#serisay,#porcheres,#colomby,#chapelain,#boisrobert,#silhon,#mademoiselle-de-gournai,#monsieur-le-chancellier,#desmarets,#gombaud,#la-troupe,#l-estoile,#gomberville,#baudoin,#habert
#la-troupe,0.20000000000000004,0.20000000000000004,0.8999999999999999,1.633333333333333,0.2666666666666667,0.20000000000000004,0.10000000000000002,0.5,0.8999999999999999,1.633333333333333,0.10000000000000002,1.633333333333333,3.2000000000000006,3.2000000000000006,8.1,8.1,8.1,8.1,8.1
#la-troupe,0.20000000000000004,0.20000000000000004,0.8999999999999999,1.633333333333333,0.2666666666666667,0.20000000000000004,0.10000000000000002,0.5,0.8999999999999999,1.633333333333333,0.10000000000000002,1.633333333333333,3.2000000000000006,3.2000000000000006,8.1,8.1,8.1,8.1,8.1
#la-troupe,0.20000000000000004,0.20000000000000004,0.8999999999999999,1.633333333333333,0.2666666666666667,0.20000000000000004,0.10000000000000002,0.5,0.8999999999999999,1.633333333333333,0.10000000000000002,1.633333333333333,3.2000000000000006,3.2000000000000006,8.1,8.1,8.1,8.1,8.1
#la-troupe,0.20000000000000004,0.20000000000000004,0.8999999999999999,1.633333333333333,0.2666666666666667,0.20000000000000004,0.10000000000000002,0.5,0.8999999999999999,1.633333333333333,0.10000000000000002,1.633333333333333,3.2000000000000006,3.2000000000000006,8.1,8.1,8.1,8.1,8.1
Successions,#saint-amant,#faret,#godeau,#colletet,#serisay,#porcheres,#colomby,#chapelain,#boisrobert,#silhon,#mademoiselle-de-gournai,#monsieur-le-chancellier,#desmarets,#gombaud,#la-troupe,#l-estoile,#gomberville,#baudoin,#habert
#saint-amant,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0
#faret,0.6666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#godeau,0.03225806451612903,0.0,0.0,0.6774193548387096,0.16129032258064516,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.03225806451612903,0.06451612903225806,0.0,0.0,0.0,0.0,0.0,0.0
#colletet,0.0,0.0,0.8461538461538461,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#serisay,0.0,0.07692307692307693,0.11538461538461539,0.15384615384615385,0.0,0.038461538461538464,0.0,0.19230769230769232,0.0,0.11538461538461539,0.11538461538461539,0.038461538461538464,0.07692307692307693,0.038461538461538464,0.0,0.038461538461538464,0.0,0.0,0.0
#porcheres,0.0,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#colomby,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#chapelain,0.0,0.1,0.2,0.0,0.3,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
#boisrobert,0.0,0.0,0.0,0.0,0.38461538461538464,0.0,0.0,0.07692307692307693,0.0,0.23076923076923078,0.23076923076923078,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0
#silhon,0.0,0.0,0.09090909090909091,0.0,0.09090909090909091,0.0,0.0,0.18181818181818182,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0
#mademoiselle-de-gournai,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.5714285714285714,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#monsieur-le-chancellier,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
#desmarets,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.2,0.1,0.0,0.2,0.0,0.1
#gombaud,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.4,0.0,0.2,0.0,0.2,0.0,0.0
#la-troupe,0.0,0.0,0.16666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0
#l-estoile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.5,0.0
#gomberville,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0
#baudoin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#habert,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
