VALEUR,#madame-vigneron,#blanche,#vigneron,#marie,#auguste,#judith,#gaston,#les-enfants,#madame-de-saint-genis,#merkens,#teissier,#bourdon,#le-medecin,#lefort,#blanche #judith,#rosalie,#dupuis
#rosalie,0.21771336553945236,0.03913043478260871,0.21739130434782608,0.0019323671497584515,1.5217391304347827,1.0822134387351778,0.43478260869565216,0.21739130434782608,0.9920289855072464,0.17888198757763982,0.24147157190635432,0.0006211180124223657,0.21739130434782608,0.21739130434782608,0.21739130434782608,28.17391304347826,0.21739130434782608
#dupuis,0.5869565217391305,0.17391304347826086,0.021739130434782608,0.9468599033816426,0.15217391304347827,0.2391304347826087,0.043478260869565216,0.021739130434782608,0.2608695652173913,0.15217391304347827,1.8210702341137128,0.30434782608695654,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.21739130434782608,44.02173913043478
Successions,#madame-vigneron,#blanche,#vigneron,#marie,#auguste,#judith,#gaston,#les-enfants,#madame-de-saint-genis,#merkens,#teissier,#bourdon,#le-medecin,#lefort,#blanche #judith,#rosalie,#dupuis
#madame-vigneron,0.02,0.065,0.06,0.06,0.045,0.08,0.01,0.005,0.21,0.01,0.11,0.26,0.02,0.01,0.005,0.03,0.0
#blanche,0.14457831325301204,0.0,0.10843373493975904,0.25301204819277107,0.0,0.012048192771084338,0.0,0.0,0.37349397590361444,0.0,0.0,0.0,0.0,0.0,0.0,0.10843373493975904,0.0
#vigneron,0.21568627450980393,0.19607843137254902,0.0,0.17647058823529413,0.0784313725490196,0.21568627450980393,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#marie,0.08552631578947369,0.13157894736842105,0.06578947368421052,0.0,0.0,0.07236842105263158,0.0,0.0,0.03289473684210526,0.006578947368421052,0.3618421052631579,0.13157894736842105,0.0,0.02631578947368421,0.0,0.019736842105263157,0.06578947368421052
#auguste,0.3888888888888889,0.0,0.2222222222222222,0.0,0.0,0.0,0.05555555555555555,0.0,0.1111111111111111,0.16666666666666666,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0
#judith,0.1935483870967742,0.0,0.10752688172043011,0.12903225806451613,0.010752688172043012,0.010752688172043012,0.0,0.0,0.0,0.44086021505376344,0.07526881720430108,0.0,0.0,0.0,0.0,0.03225806451612903,0.0
#gaston,0.3,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#les-enfants,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#madame-de-saint-genis,0.43,0.3,0.0,0.05,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.15,0.0
#merkens,0.025,0.0,0.0,0.0,0.0375,0.525,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0625,0.0
#teissier,0.16666666666666666,0.0,0.0,0.475,0.0,0.058333333333333334,0.0,0.0,0.008333333333333333,0.0,0.0,0.15,0.0,0.03333333333333333,0.0,0.008333333333333333,0.1
#bourdon,0.38848920863309355,0.014388489208633094,0.0,0.12949640287769784,0.0,0.0,0.0,0.0,0.02877697841726619,0.2014388489208633,0.12949640287769784,0.0,0.007194244604316547,0.08633093525179857,0.0,0.014388489208633094,0.0
#le-medecin,0.6,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
#lefort,0.13636363636363635,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.13636363636363635,0.5454545454545454,0.0,0.0,0.0,0.0,0.0
#blanche #judith,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#rosalie,0.1590909090909091,0.18181818181818182,0.0,0.09090909090909091,0.0,0.06818181818181818,0.0,0.0,0.3181818181818182,0.11363636363636363,0.022727272727272728,0.045454545454545456,0.0,0.0,0.0,0.0,0.0
#dupuis,0.0,0.0,0.0,0.4090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.5909090909090909,0.0,0.0,0.0,0.0,0.0,0.0
