VALEUR,#laforet,#antoine,#mignard,#lulli,#madelon,#tous,#moliere,#boileau,#chapelle,#la-fontaine,#mathurin,#antoine #madelon #mathurin,#le-choeur,#les-villageois
#antoine,0.21739130434782608,0.0,0.13043478260869565,0.21739130434782608,0.043478260869565216,0.043478260869565216,0.34782608695652173,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#mignard,0.1590909090909091,0.09090909090909091,0.0,0.22727272727272727,0.045454545454545456,0.0,0.045454545454545456,0.1590909090909091,0.18181818181818182,0.09090909090909091,0.0,0.0,0.0,0.0
#lulli,0.20833333333333334,0.020833333333333332,0.20833333333333334,0.0,0.16666666666666666,0.041666666666666664,0.10416666666666667,0.08333333333333333,0.08333333333333333,0.0625,0.0,0.0,0.020833333333333332,0.0
#madelon,0.05555555555555555,0.4444444444444444,0.1111111111111111,0.16666666666666666,0.0,0.0,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.0,0.05555555555555555,0.0,0.0,0.0
#tous,0.0,0.0,0.125,0.25,0.0,0.0,0.0,0.125,0.25,0.125,0.0,0.0,0.125,0.0
#moliere,0.18032786885245902,0.03278688524590164,0.08196721311475409,0.13114754098360656,0.06557377049180328,0.06557377049180328,0.03278688524590164,0.08196721311475409,0.13114754098360656,0.08196721311475409,0.04918032786885246,0.0,0.04918032786885246,0.01639344262295082
#boileau,0.03125,0.0,0.1875,0.125,0.0,0.0,0.3125,0.0,0.3125,0.0,0.03125,0.0,0.0,0.0
#chapelle,0.04878048780487805,0.04878048780487805,0.1951219512195122,0.0975609756097561,0.0,0.0,0.2682926829268293,0.14634146341463414,0.0,0.1951219512195122,0.0,0.0,0.0,0.0
#la-fontaine,0.0,0.0,0.041666666666666664,0.16666666666666666,0.0,0.041666666666666664,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0
#mathurin,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#antoine #madelon #mathurin,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-choeur,0.0,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0
#les-villageois,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
