VALEUR,#l-aurore,#choeur-des-sylvains,#vertumne,#le-choeur,#le-tibre,#nerine,#circe,#choeurs-des-peuples,#picus,#picus #circe #nerine,#saturne,#choeur-de-l-age-de-fer,#choeur-des-peuples,#canente,#circe #canente,#un-dieu-de-la-troupe,#un-ruisseau,#choeur,#le-tibre #circe,#choeur-des-ministres,#choeur-d-amours-et-de-graces,#choeur-des-graces,#circe #le-tibre #canente,#la-nuit,#circe #la-nuit,#l-amour,#les-furies,#picus #canente,#l-hymen,#le-tibre #picus,#le-tibre #picus #canente,#tous
#circe,0.8000000000000002,0.8000000000000002,0.8000000000000002,0.06428571428571439,0.0,0.1999999999999999,1.0,0.049999999999999975,0.028571428571428494,0.049999999999999975,0.049999999999999975,0.0,0.0,0.125,0.049999999999999975,0.049999999999999975,0.049999999999999975,0.049999999999999975,0.09999999999999995,0.8000000000000002,0.8000000000000002,0.8000000000000002,0.049999999999999975,0.049999999999999975,0.049999999999999975,0.049999999999999975,0.049999999999999975,0.09999999999999995,0.049999999999999975,0.049999999999999975,0.049999999999999975,0.049999999999999975
#choeurs-des-peuples,0.04,0.04,0.04,1.8514285714285712,0.20000000000000004,0.16,0.049999999999999975,23.04,1.8514285714285712,23.04,23.04,0.0,0.0,0.4000000000000001,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04
#picus,0.28,0.28,0.28,0.000816326530612228,1.4000000000000004,1.12,0.028571428571428362,1.8514285714285712,12.959999999999992,1.8514285714285712,1.8514285714285712,0.0,0.0,0.22857142857142893,0.28,0.28,0.28,0.28,0.56,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.34571428571428564,1.8514285714285712,1.8514285714285712,1.8514285714285712,1.8514285714285712
#choeurs-des-peuples,0.04,0.04,0.04,1.8514285714285712,0.20000000000000004,0.16,0.049999999999999975,23.04,1.8514285714285712,23.04,23.04,0.0,0.0,0.4000000000000001,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04
#choeurs-des-peuples,0.04,0.04,0.04,1.8514285714285712,0.20000000000000004,0.16,0.049999999999999975,23.04,1.8514285714285712,23.04,23.04,0.0,0.0,0.4000000000000001,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04
#choeur-de-l-age-de-fer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#choeur-de-l-age-de-fer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#canente,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.014285714285714247,0.0,1.6000000000000003,0.125,0.4000000000000001,0.2285714285714287,0.4000000000000001,0.4000000000000001,0.0,0.0,9.0,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.049999999999999975,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.049999999999999975,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.8999999999999999
#circe #canente,0.04,0.04,0.04,0.28,0.20000000000000004,0.16,0.049999999999999975,0.04,0.28,0.04,0.04,0.0,0.0,0.8999999999999999,23.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04
#un-dieu-de-la-troupe,0.04,0.04,0.04,0.28,0.20000000000000004,0.16,0.049999999999999975,0.04,0.28,0.04,0.04,0.0,0.0,0.8999999999999999,0.04,23.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04
#un-ruisseau,0.04,0.04,0.04,0.28,0.20000000000000004,0.16,0.049999999999999975,0.04,0.28,0.04,0.04,0.0,0.0,0.8999999999999999,0.04,0.04,23.04,23.04,0.08,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04
#un-ruisseau,0.04,0.04,0.04,0.28,0.20000000000000004,0.16,0.049999999999999975,0.04,0.28,0.04,0.04,0.0,0.0,0.8999999999999999,0.04,0.04,23.04,23.04,0.08,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04
#le-tibre #circe,0.08,0.08,0.08,0.34571428571428564,0.8999999999999999,0.32,0.09999999999999995,0.08,0.56,0.08,0.08,0.0,0.0,0.049999999999999975,0.08,0.08,0.08,0.08,21.16,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,4.409999999999999,0.08,0.08,0.08,0.08
#choeur-des-ministres,0.04,0.04,0.04,1.8514285714285712,0.20000000000000004,0.16,0.8000000000000002,0.04,0.28,0.04,0.04,0.0,0.0,0.8999999999999999,0.04,0.04,0.04,0.04,0.08,23.04,23.04,23.04,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04
#choeur-des-ministres,0.04,0.04,0.04,1.8514285714285712,0.20000000000000004,0.16,0.8000000000000002,0.04,0.28,0.04,0.04,0.0,0.0,0.8999999999999999,0.04,0.04,0.04,0.04,0.08,23.04,23.04,23.04,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04
#choeur-des-ministres,0.04,0.04,0.04,1.8514285714285712,0.20000000000000004,0.16,0.8000000000000002,0.04,0.28,0.04,0.04,0.0,0.0,0.8999999999999999,0.04,0.04,0.04,0.04,0.08,23.04,23.04,23.04,0.04,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04
#circe #le-tibre #canente,0.04,0.04,0.04,0.28,3.2000000000000006,0.16,0.049999999999999975,0.04,0.28,0.04,0.04,0.0,0.0,0.8999999999999999,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,23.04,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04
#la-nuit,0.04,0.04,0.04,1.8514285714285712,0.20000000000000004,0.16,0.049999999999999975,0.04,0.28,0.04,0.04,0.0,0.0,0.4000000000000001,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04,23.04,23.04,23.04,0.04,0.08,0.04,0.04,0.04,0.04
#la-nuit,0.04,0.04,0.04,1.8514285714285712,0.20000000000000004,0.16,0.049999999999999975,0.04,0.28,0.04,0.04,0.0,0.0,0.4000000000000001,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04,23.04,23.04,23.04,0.04,0.08,0.04,0.04,0.04,0.04
#la-nuit,0.04,0.04,0.04,1.8514285714285712,0.20000000000000004,0.16,0.049999999999999975,0.04,0.28,0.04,0.04,0.0,0.0,0.4000000000000001,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04,23.04,23.04,23.04,0.04,0.08,0.04,0.04,0.04,0.04
#les-furies,0.04,0.04,0.04,0.28,0.20000000000000004,0.16,0.049999999999999975,0.04,0.28,0.04,0.04,0.0,0.0,0.4000000000000001,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.04,0.04,23.04,0.08,0.04,0.04,0.04,0.04
#picus #canente,0.08,0.08,0.08,3.7028571428571424,0.4000000000000001,0.32,0.09999999999999995,0.08,0.34571428571428564,0.08,0.08,0.0,0.0,0.049999999999999975,0.08,0.08,0.08,0.08,4.409999999999999,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,21.16,10.58,10.58,10.58,10.58
#l-hymen,0.04,0.04,0.04,1.8514285714285712,0.20000000000000004,0.16,0.049999999999999975,0.04,1.8514285714285712,0.04,0.04,0.0,0.0,0.8999999999999999,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,10.58,23.04,23.04,23.04,23.04
#l-hymen,0.04,0.04,0.04,1.8514285714285712,0.20000000000000004,0.16,0.049999999999999975,0.04,1.8514285714285712,0.04,0.04,0.0,0.0,0.8999999999999999,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,10.58,23.04,23.04,23.04,23.04
#l-hymen,0.04,0.04,0.04,1.8514285714285712,0.20000000000000004,0.16,0.049999999999999975,0.04,1.8514285714285712,0.04,0.04,0.0,0.0,0.8999999999999999,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,10.58,23.04,23.04,23.04,23.04
#l-hymen,0.04,0.04,0.04,1.8514285714285712,0.20000000000000004,0.16,0.049999999999999975,0.04,1.8514285714285712,0.04,0.04,0.0,0.0,0.8999999999999999,0.04,0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,10.58,23.04,23.04,23.04,23.04
Successions,#l-aurore,#choeur-des-sylvains,#vertumne,#le-choeur,#le-tibre,#nerine,#circe,#choeurs-des-peuples,#picus,#picus #circe #nerine,#saturne,#choeur-de-l-age-de-fer,#choeur-des-peuples,#canente,#circe #canente,#un-dieu-de-la-troupe,#un-ruisseau,#choeur,#le-tibre #circe,#choeur-des-ministres,#choeur-d-amours-et-de-graces,#choeur-des-graces,#circe #le-tibre #canente,#la-nuit,#circe #la-nuit,#l-amour,#les-furies,#picus #canente,#l-hymen,#le-tibre #picus,#le-tibre #picus #canente,#tous
#l-aurore,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#choeur-des-sylvains,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#vertumne,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-choeur,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.3333333333333333,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0
#le-tibre,0.0,0.0,0.0,0.11764705882352941,0.0,0.0,0.5882352941176471,0.0,0.0,0.0,0.0,0.0,0.0,0.23529411764705882,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#nerine,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#circe,0.0,0.0,0.0,0.03278688524590164,0.14754098360655737,0.09836065573770492,0.06557377049180328,0.0,0.29508196721311475,0.0,0.0,0.0,0.01639344262295082,0.22950819672131148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01639344262295082,0.0,0.03278688524590164,0.01639344262295082,0.01639344262295082,0.03278688524590164,0.0,0.0,0.0,0.0,0.0
#choeurs-des-peuples,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#picus,0.0,0.0,0.0,0.07407407407407407,0.0,0.0,0.5555555555555556,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.0,0.0,0.0,0.18518518518518517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.037037037037037035,0.0
#picus #circe #nerine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#picus #circe #nerine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#choeur-de-l-age-de-fer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#choeur-des-peuples,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#canente,0.0,0.0,0.0,0.07142857142857142,0.21428571428571427,0.0,0.39285714285714285,0.0,0.10714285714285714,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.03571428571428571,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.03571428571428571,0.0,0.03571428571428571
#choeurs-des-peuples,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#choeurs-des-peuples,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#choeurs-des-peuples,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#choeur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#choeurs-des-peuples,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#choeur-des-ministres,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#choeur-d-amours-et-de-graces,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#choeur-d-amours-et-de-graces,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#choeurs-des-peuples,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-nuit,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#circe #la-nuit,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#choeurs-des-peuples,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#choeurs-des-peuples,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#picus #canente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#l-hymen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#le-tibre #picus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-tibre #picus #canente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#choeurs-des-peuples,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
