VALEUR,#manilie,#cassie,#premier-capitaine,#second-capitaine,#cleodore,#crisante,#marcie,#orante,#antioche,#crates,#euphorbe,#premier-chef-de-guerre,#deuxieme-chef-de-guerre
#cassie,0.045454545454545456,0.0,0.0,0.0,0.3333333333333333,0.3181818181818182,0.030303030303030304,0.22727272727272727,0.015151515151515152,0.0,0.0,0.015151515151515152,0.015151515151515152
#premier-capitaine,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#second-capitaine,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#cleodore,0.04,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#crisante,0.06779661016949153,0.3220338983050847,0.0,0.0,0.01694915254237288,0.01694915254237288,0.13559322033898305,0.2542372881355932,0.1694915254237288,0.0,0.0,0.0,0.01694915254237288
#marcie,0.0,0.0,0.0,0.0,0.0,0.6875,0.0,0.0,0.125,0.125,0.0625,0.0,0.0
#orante,0.0,0.5333333333333333,0.0,0.0,0.0,0.4666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#antioche,0.037037037037037035,0.07407407407407407,0.0,0.0,0.0,0.2962962962962963,0.07407407407407407,0.0,0.0,0.37037037037037035,0.14814814814814814,0.0,0.0
#crates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.16666666666666666,0.0,0.0
#euphorbe,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.5714285714285714,0.0,0.0,0.0,0.0
#premier-chef-de-guerre,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#deuxieme-chef-de-guerre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
