VALEUR,#la-baguenaudiere,#madame-bouvillon,#blaise-bouvillon,#isabelle,#le-destin,#ragotin,#le-charretier,#la-rancune,#l-olive,#mademoiselle-la-caverne,#mademoiselle-l-etoile,#premier-porteur,#second-porteur,#troisieme-porteur,#l-etoile,#de-preraze,#des-lentilles,#de-boiscoupe,#de-mousseverte,#le-decorateur,#tous-ensemble,#cleopatre,#charmion,#antoine,#eros,#le-page,#le-laquais
#le-decorateur,0.7188034188034187,0.13675213675213677,0.27692307692307694,0.6923076923076923,0.017273954116059382,0.006410256410256401,0.09230769230769231,0.017273954116059382,0.18461538461538463,0.09230769230769231,0.046153846153846156,0.046153846153846156,0.046153846153846156,0.046153846153846156,0.4153846153846154,3.601282051282051,3.601282051282051,3.601282051282051,3.601282051282051,59.13846153846154,0.046153846153846156,0.3230769230769231,0.18461538461538463,0.18461538461538463,0.13846153846153847,0.046153846153846156,0.046153846153846156
#tous-ensemble,1.0775641025641025,0.23076923076923078,0.09230769230769231,0.23076923076923078,0.2923076923076923,1.5576923076923075,0.03076923076923077,0.2923076923076923,0.06153846153846154,0.03076923076923077,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.13846153846153847,14.311538461538461,14.311538461538461,14.311538461538461,14.311538461538461,0.046153846153846156,63.01538461538462,0.10769230769230768,0.06153846153846154,0.06153846153846154,0.046153846153846156,0.015384615384615385,0.015384615384615385
#cleopatre,0.1322344322344323,1.6153846153846154,0.1937728937728937,1.6153846153846154,2.0461538461538464,0.6181318681318684,0.21538461538461537,2.0461538461538464,0.43076923076923074,0.21538461538461537,0.10769230769230768,0.10769230769230768,0.10769230769230768,0.10769230769230768,0.9692307692307693,0.43076923076923074,0.43076923076923074,0.43076923076923074,0.43076923076923074,0.3230769230769231,0.10769230769230768,51.753846153846155,15.32362637362637,15.32362637362637,1.4183150183150184,7.393406593406593,0.10769230769230768
#charmion,0.1540064102564103,0.9230769230769231,1.0775641025641025,0.9230769230769231,1.1692307692307693,1.2307692307692308,0.12307692307692308,1.1692307692307693,0.24615384615384617,0.12307692307692308,0.06153846153846154,0.06153846153846154,0.06153846153846154,0.06153846153846154,0.5538461538461539,0.24615384615384617,0.24615384615384617,0.24615384615384617,0.24615384615384617,0.18461538461538463,0.06153846153846154,15.32362637362637,57.246153846153845,0.24615384615384617,3.601282051282051,14.311538461538461,0.06153846153846154
#antoine,1.476923076923077,0.9230769230769231,0.36923076923076925,0.9230769230769231,1.1692307692307693,1.2307692307692308,0.12307692307692308,1.1692307692307693,0.24615384615384617,0.12307692307692308,0.06153846153846154,0.06153846153846154,0.06153846153846154,0.06153846153846154,0.5538461538461539,0.24615384615384617,0.24615384615384617,0.24615384615384617,0.24615384615384617,0.18461538461538463,0.06153846153846154,15.32362637362637,0.24615384615384617,57.246153846153845,17.85128205128205,0.06153846153846154,0.06153846153846154
#eros,1.1076923076923078,0.6923076923076923,0.27692307692307694,0.6923076923076923,0.8769230769230769,0.9230769230769231,0.09230769230769231,0.8769230769230769,0.18461538461538463,0.09230769230769231,0.046153846153846156,0.046153846153846156,0.046153846153846156,0.046153846153846156,0.4153846153846154,0.18461538461538463,0.18461538461538463,0.18461538461538463,0.18461538461538463,0.13846153846153847,0.046153846153846156,1.4183150183150184,3.601282051282051,17.85128205128205,59.13846153846154,0.046153846153846156,0.046153846153846156
#le-page,1.0775641025641025,0.23076923076923078,8.925641025641024,0.23076923076923078,0.2923076923076923,0.3076923076923077,0.03076923076923077,0.2923076923076923,0.06153846153846154,0.03076923076923077,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.13846153846153847,0.06153846153846154,0.06153846153846154,0.06153846153846154,0.06153846153846154,0.046153846153846156,0.015384615384615385,7.393406593406593,14.311538461538461,0.06153846153846154,0.046153846153846156,63.01538461538462,0.015384615384615385
#le-laquais,0.36923076923076925,0.23076923076923078,0.09230769230769231,0.23076923076923078,0.2923076923076923,1.5576923076923075,0.03076923076923077,0.2923076923076923,0.06153846153846154,0.03076923076923077,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.13846153846153847,0.06153846153846154,0.06153846153846154,0.06153846153846154,0.06153846153846154,0.046153846153846156,0.015384615384615385,0.10769230769230768,0.06153846153846154,0.06153846153846154,0.046153846153846156,0.015384615384615385,63.01538461538462
Successions,#la-baguenaudiere,#madame-bouvillon,#blaise-bouvillon,#isabelle,#le-destin,#ragotin,#le-charretier,#la-rancune,#l-olive,#mademoiselle-la-caverne,#mademoiselle-l-etoile,#premier-porteur,#second-porteur,#troisieme-porteur,#l-etoile,#de-preraze,#des-lentilles,#de-boiscoupe,#de-mousseverte,#le-decorateur,#tous-ensemble,#cleopatre,#charmion,#antoine,#eros,#le-page,#le-laquais
#la-baguenaudiere,0.011111111111111112,0.18888888888888888,0.08888888888888889,0.022222222222222223,0.05555555555555555,0.25555555555555554,0.022222222222222223,0.2111111111111111,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.022222222222222223,0.03333333333333333,0.011111111111111112,0.0,0.0,0.0,0.0,0.0,0.011111111111111112,0.0
#madame-bouvillon,0.2857142857142857,0.03571428571428571,0.0,0.08928571428571429,0.19642857142857142,0.14285714285714285,0.0,0.125,0.03571428571428571,0.0,0.0,0.0,0.017857142857142856,0.017857142857142856,0.05357142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#blaise-bouvillon,0.19444444444444445,0.0,0.0,0.08333333333333333,0.1388888888888889,0.08333333333333333,0.0,0.3611111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0
#isabelle,0.05555555555555555,0.05555555555555555,0.08333333333333333,0.027777777777777776,0.4166666666666667,0.05555555555555555,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0
