VALEUR,#monsieur-de-mont-meny,#la-ville,#la-folie,#monsieur-poisson,#madame-dangeville,#monsieur-de-la-thorilliere,#mademoiselle-grandval,#monsieur-fierville,#monsieur-fleury,#le-petit-garçon,#la-petite-fille,#lucas,#lisette,#dorante,#monsieur-mondor,#madame-mondor,#lucile,#le-marquis,#l-elu,#doris,#menelas,#leda,#un-autre,#mademoiselle-dangeville
#madame-dangeville,10.58,0.12,6.453333333333333,10.58,23.04,23.04,23.04,23.04,23.04,10.58,10.58,0.44,0.56,0.16,0.20000000000000004,0.20000000000000004,0.4000000000000001,0.12,0.08,0.08,0.20000000000000004,0.04,0.04,0.04
#madame-dangeville,10.58,0.12,6.453333333333333,10.58,23.04,23.04,23.04,23.04,23.04,10.58,10.58,0.44,0.56,0.16,0.20000000000000004,0.20000000000000004,0.4000000000000001,0.12,0.08,0.08,0.20000000000000004,0.04,0.04,0.04
#monsieur-poisson,4.409999999999999,0.24,2.4066666666666667,21.16,10.58,10.58,10.58,10.58,10.58,21.16,21.16,0.88,1.12,0.32,0.4000000000000001,0.4000000000000001,0.8000000000000002,0.24,0.16,0.16,0.4000000000000001,0.08,10.58,10.58
#monsieur-poisson,4.409999999999999,0.24,2.4066666666666667,21.16,10.58,10.58,10.58,10.58,10.58,21.16,21.16,0.88,1.12,0.32,0.4000000000000001,0.4000000000000001,0.8000000000000002,0.24,0.16,0.16,0.4000000000000001,0.08,10.58,10.58
#lucas,0.88,1.3199999999999998,1.3199999999999998,0.88,0.44,0.44,0.44,0.44,0.44,0.88,0.88,7.84,2.3937662337662338,0.8736363636363637,0.29090909090909073,0.29090909090909073,2.9454545454545444,2.1381818181818186,1.4254545454545458,0.88,2.2,0.44,0.44,0.44
#lisette,1.12,1.6800000000000002,1.6800000000000002,1.12,0.56,0.56,0.56,0.56,0.56,1.12,1.12,2.393766233766232,4.839999999999996,1.3828571428571426,0.5142857142857136,0.5142857142857136,2.064285714285712,1.0371428571428567,0.6914285714285713,1.12,2.8000000000000007,0.56,0.56,0.56
#dorante,0.32,0.48,0.48,0.32,0.16,0.16,0.16,0.16,0.16,0.32,0.32,0.8736363636363637,1.3828571428571426,17.639999999999997,1.7999999999999998,1.7999999999999998,0.09999999999999995,0.5633333333333335,1.4449999999999996,0.32,0.8000000000000002,0.16,0.16,0.16
#monsieur-mondor,0.4000000000000001,0.6,0.6,0.4000000000000001,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.4000000000000001,0.4000000000000001,0.29090909090909073,0.514285714285714,1.7999999999999998,16.0,16.0,0.5,0.2666666666666667,0.8999999999999999,0.4000000000000001,1.0,0.20000000000000004,0.20000000000000004,0.20000000000000004
#monsieur-mondor,0.4000000000000001,0.6,0.6,0.4000000000000001,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.4000000000000001,0.4000000000000001,0.29090909090909073,0.514285714285714,1.7999999999999998,16.0,16.0,0.5,0.2666666666666667,0.8999999999999999,0.4000000000000001,1.0,0.20000000000000004,0.20000000000000004,0.20000000000000004
#lucile,0.8000000000000002,1.2,1.2,0.8000000000000002,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.8000000000000002,0.8000000000000002,2.9454545454545444,2.0642857142857136,0.09999999999999995,0.5,0.5,9.0,2.7,1.7999999999999998,0.8000000000000002,2.0,0.4000000000000001,0.4000000000000001,0.4000000000000001
#le-marquis,0.24,0.36,0.36,0.24,0.12,0.12,0.12,0.12,0.12,0.24,0.24,2.1381818181818177,1.0371428571428567,0.5633333333333335,0.2666666666666665,0.2666666666666665,2.699999999999999,19.360000000000003,12.906666666666666,0.24,0.6000000000000001,0.12,0.12,0.12
#l-elu,0.16,0.24,0.24,0.16,0.08,0.08,0.08,0.08,0.08,0.16,0.16,1.4254545454545458,0.6914285714285713,1.4449999999999996,0.8999999999999999,0.8999999999999999,1.7999999999999998,12.906666666666666,21.16,0.16,0.4000000000000001,0.08,0.08,0.08
#doris,0.16,0.24,0.24,0.16,0.08,0.08,0.08,0.08,0.08,0.16,0.16,0.88,1.12,0.32,0.4000000000000001,0.4000000000000001,0.8000000000000002,0.24,0.16,21.16,6.400000000000001,0.08,0.08,0.08
#menelas,0.4000000000000001,0.6,0.6,0.4000000000000001,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.4000000000000001,0.4000000000000001,2.2,2.8000000000000003,0.8000000000000002,1.0,1.0,2.0,0.6,0.4000000000000001,6.400000000000001,16.0,3.2000000000000006,0.20000000000000004,0.20000000000000004
#leda,0.08,0.12,0.12,0.08,0.04,0.04,0.04,0.04,0.04,0.08,0.08,0.44,0.56,0.16,0.20000000000000004,0.20000000000000004,0.4000000000000001,0.12,0.08,0.08,3.2000000000000006,23.04,0.04,0.04
#un-autre,0.08,0.12,0.12,10.58,0.04,0.04,0.04,0.04,0.04,10.58,10.58,0.44,0.56,0.16,0.20000000000000004,0.20000000000000004,0.4000000000000001,0.12,0.08,0.08,0.20000000000000004,0.04,23.04,23.04
#un-autre,0.08,0.12,0.12,10.58,0.04,0.04,0.04,0.04,0.04,10.58,10.58,0.44,0.56,0.16,0.20000000000000004,0.20000000000000004,0.4000000000000001,0.12,0.08,0.08,0.20000000000000004,0.04,23.04,23.04
Successions,#monsieur-de-mont-meny,#la-ville,#la-folie,#monsieur-poisson,#madame-dangeville,#monsieur-de-la-thorilliere,#mademoiselle-grandval,#monsieur-fierville,#monsieur-fleury,#le-petit-garçon,#la-petite-fille,#lucas,#lisette,#dorante,#monsieur-mondor,#madame-mondor,#lucile,#le-marquis,#l-elu,#doris,#menelas,#leda,#un-autre,#mademoiselle-dangeville
#monsieur-de-mont-meny,0.0,0.46153846153846156,0.3076923076923077,0.0,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-ville,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-folie,0.125,0.28125,0.0625,0.0,0.0625,0.0625,0.09375,0.15625,0.0,0.0,0.15625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#monsieur-poisson,0.0,0.0,0.2222222222222222,0.0,0.2222222222222222,0.0,0.2222222222222222,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#madame-dangeville,0.25,0.0,0.25,0.125,0.0,0.0,0.0,0.25,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#monsieur-de-la-thorilliere,0.0,0.0,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#mademoiselle-grandval,0.0,0.0,0.4166666666666667,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#monsieur-fierville,0.09090909090909091,0.0,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#monsieur-fleury,0.4,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-petit-garçon,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.42857142857142855,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285
#la-petite-fille,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#lucas,0.0,0.0,0.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015625,0.484375,0.0625,0.0625,0.0,0.171875,0.078125,0.109375,0.0,0.0,0.0,0.0,0.0
#lisette,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44871794871794873,0.0,0.15384615384615385,0.05128205128205128,0.10256410256410256,0.10256410256410256,0.0641025641025641,0.07692307692307693,0.0,0.0,0.0,0.0,0.0
#dorante,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.42857142857142855,0.0,0.14285714285714285,0.0,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.0,0.0,0.0,0.0,0.0
#monsieur-mondor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3103448275862069,0.034482758620689655,0.0,0.5172413793103449,0.06896551724137931,0.06896551724137931,0.0,0.0,0.0,0.0,0.0,0.0
#madame-mondor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.041666666666666664,0.6666666666666666,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#lucile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.4,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.0,0.06666666666666667,0.03333333333333333,0.0,0.0,0.0,0.0,0.0
#le-marquis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.38095238095238093,0.0,0.0,0.0,0.09523809523809523,0.0,0.19047619047619047,0.0,0.047619047619047616,0.0,0.0,0.0
#l-elu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2631578947368421,0.2631578947368421,0.0,0.0,0.0,0.15789473684210525,0.3157894736842105,0.0,0.0,0.0,0.0,0.0,0.0
#doris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.0,0.0
#menelas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.0,0.0
#leda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#un-autre,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
#mademoiselle-dangeville,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
