VALEUR,#trophime,#argante,#armide,#gerberne,#premier-larron,#second-larron,#dipne,#ambrokele,#gelase,#nearque,#antelme,#indulphe,#lugtace,#le-roi,#mogale
#dipne,4.321428571428571,1.5714285714285714,1.5714285714285714,0.11688311688311691,0.39285714285714285,0.39285714285714285,10.321428571428573,1.2987012987012987,0.5725108225108224,1.9642857142857144,1.5714285714285714,1.9642857142857144,1.5714285714285714,0.23376623376623382,1.1136363636363635
#ambrokele,1.5714285714285714,0.5714285714285714,0.5714285714285714,0.3214285714285715,0.14285714285714285,0.14285714285714285,1.2987012987012987,20.571428571428577,5.761904761904762,0.7142857142857143,0.5714285714285714,0.7142857142857143,0.5714285714285714,0.017857142857142842,0.0
#gelase,1.1785714285714286,0.42857142857142855,0.42857142857142855,0.7619047619047619,0.10714285714285714,0.10714285714285714,0.5725108225108224,5.761904761904762,22.321428571428577,0.5357142857142857,0.42857142857142855,0.5357142857142857,0.42857142857142855,0.023809523809523826,0.08333333333333333
#nearque,0.5461038961038962,0.7142857142857142,0.11428571428571437,0.7142857142857142,0.17857142857142855,0.17857142857142855,1.9642857142857142,0.7142857142857142,0.5357142857142857,18.89285714285714,0.11428571428571437,0.012857142857142845,0.11428571428571437,0.22857142857142873,0.45
#antelme,3.753246753246754,0.5714285714285714,0.3214285714285715,0.5714285714285714,0.14285714285714285,0.14285714285714285,1.5714285714285714,0.5714285714285714,0.42857142857142855,0.11428571428571427,20.571428571428577,2.3142857142857136,0.3214285714285715,1.1428571428571428,1.0
#indulphe,0.5461038961038962,0.11428571428571437,0.7142857142857142,0.7142857142857142,0.17857142857142855,0.17857142857142855,1.9642857142857142,0.7142857142857142,0.5357142857142857,0.012857142857142845,2.314285714285715,18.89285714285714,15.114285714285714,0.12857142857142848,2.45
#lugtace,0.11688311688311691,0.3214285714285715,0.5714285714285714,0.5714285714285714,0.14285714285714285,0.14285714285714285,1.5714285714285714,0.5714285714285714,0.42857142857142855,0.11428571428571427,0.3214285714285715,15.114285714285712,20.571428571428577,0.017857142857142842,4.0
#le-roi,3.142857142857143,1.1428571428571428,1.1428571428571428,0.017857142857142842,0.2857142857142857,0.2857142857142857,0.23376623376623382,0.017857142857142842,0.023809523809523826,0.22857142857142854,1.1428571428571428,0.1285714285714286,0.017857142857142842,14.285714285714286,4.5
#mogale,1.1136363636363635,0.0,1.0,1.0,0.25,0.25,1.1136363636363635,0.0,0.08333333333333333,0.45,1.0,2.45,4.0,4.5,15.75
Successions,#trophime,#argante,#armide,#gerberne,#premier-larron,#second-larron,#dipne,#ambrokele,#gelase,#nearque,#antelme,#indulphe,#lugtace,#le-roi,#mogale
#trophime,0.0125,0.225,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.2125,0.05,0.0,0.0375
#argante,0.5483870967741935,0.0,0.25806451612903225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1935483870967742
#armide,0.21428571428571427,0.21428571428571427,0.0,0.25,0.0,0.10714285714285714,0.0,0.0,0.0,0.21428571428571427,0.0,0.0,0.0,0.0,0.0
#gerberne,0.0,0.0,0.26666666666666666,0.0,0.06666666666666667,0.0,0.3,0.03333333333333333,0.1,0.0,0.0,0.0,0.0,0.23333333333333334,0.0
#premier-larron,0.0,0.0,0.25,0.375,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#second-larron,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#dipne,0.008928571428571428,0.0,0.0,0.0625,0.0,0.0,0.017857142857142856,0.2857142857142857,0.07142857142857142,0.0,0.0,0.0,0.0,0.5,0.05357142857142857
#ambrokele,0.0,0.0,0.0,0.05128205128205128,0.0,0.0,0.8205128205128205,0.0,0.05128205128205128,0.0,0.0,0.0,0.0,0.07692307692307693,0.0
#gelase,0.0,0.0,0.0,0.2,0.0,0.0,0.5333333333333333,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#nearque,0.5135135135135135,0.0,0.13513513513513514,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.02702702702702703,0.10810810810810811,0.02702702702702703,0.0,0.16216216216216217,0.0
#antelme,0.7894736842105263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15789473684210525,0.0,0.05263157894736842,0.0,0.0,0.0
#indulphe,0.4666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.1,0.03333333333333333,0.1,0.13333333333333333,0.13333333333333333
#lugtace,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.1111111111111111,0.4444444444444444
#le-roi,0.010752688172043012,0.0,0.0,0.08602150537634409,0.0,0.0,0.6021505376344086,0.010752688172043012,0.021505376344086023,0.06451612903225806,0.0,0.043010752688172046,0.010752688172043012,0.021505376344086023,0.12903225806451613
#mogale,0.07692307692307693,0.1794871794871795,0.0,0.0,0.0,0.0,0.1282051282051282,0.0,0.0,0.0,0.0,0.05128205128205128,0.2564102564102564,0.3076923076923077,0.0
