VALEUR,#olympie,#philenie,#ergazile,#haegee,#pseudole,#celie,#tyndare,#philocrate,#crisimant,#arbax,#crisophore,#erimand,#stalagme,#cuisinier
#arbax,0.14285714285714285,0.20000000000000004,0.22857142857142856,0.6446428571428574,0.7619047619047619,0.20000000000000004,1.7857142857142858,0.2571428571428571,9.752380952380951,33.02857142857143,0.11428571428571428,0.08571428571428572,0.05714285714285714,0.02857142857142857
#crisophore,0.3214285714285715,0.8000000000000002,0.9142857142857143,2.5785714285714296,0.29761904761904756,0.8000000000000002,0.642857142857143,8.584126984126986,0.34285714285714286,0.11428571428571428,27.457142857142856,8.009523809523808,2.6035714285714286,0.11428571428571428
#erimand,5.761904761904762,0.2666666666666665,0.6857142857142857,1.9339285714285712,1.2857142857142856,0.6000000000000001,1.5238095238095237,6.438095238095239,0.2571428571428571,0.08571428571428572,8.009523809523808,29.257142857142863,19.504761904761903,0.08571428571428572
#stalagme,1.7857142857142858,0.8999999999999999,0.45714285714285713,1.2892857142857148,0.8571428571428571,0.4000000000000001,0.3214285714285715,4.292063492063493,0.17142857142857143,0.05714285714285714,2.6035714285714286,19.504761904761903,31.114285714285714,0.05714285714285714
#cuisinier,0.14285714285714285,0.20000000000000004,0.22857142857142856,0.6446428571428574,0.42857142857142855,3.2000000000000006,0.2857142857142857,0.2571428571428571,0.08571428571428572,0.02857142857142857,0.11428571428571428,0.08571428571428572,0.05714285714285714,33.02857142857143
Successions,#olympie,#philenie,#ergazile,#haegee,#pseudole,#celie,#tyndare,#philocrate,#crisimant,#arbax,#crisophore,#erimand,#stalagme,#cuisinier
#olympie,0.0,0.8,0.0,0.17142857142857143,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#philenie,0.6363636363636364,0.0,0.0,0.13636363636363635,0.045454545454545456,0.06818181818181818,0.11363636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#ergazile,0.0,0.02040816326530612,0.0,0.9183673469387755,0.0,0.04081632653061224,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0
#haegee,0.03937007874015748,0.023622047244094488,0.3700787401574803,0.015748031496062992,0.031496062992125984,0.0,0.1968503937007874,0.11811023622047244,0.09448818897637795,0.007874015748031496,0.03937007874015748,0.007874015748031496,0.047244094488188976,0.007874015748031496
#pseudole,0.0,0.05714285714285714,0.02857142857142857,0.08571428571428572,0.0,0.42857142857142855,0.3142857142857143,0.08571428571428572,0.0,0.0,0.0,0.0,0.0,0.0
#celie,0.0,0.09090909090909091,0.045454545454545456,0.09090909090909091,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0
#tyndare,0.015873015873015872,0.1111111111111111,0.0,0.3968253968253968,0.1111111111111111,0.0,0.0,0.1111111111111111,0.23809523809523808,0.0,0.0,0.015873015873015872,0.0,0.0
#philocrate,0.03225806451612903,0.03225806451612903,0.0,0.4838709677419355,0.12903225806451613,0.0,0.22580645161290322,0.0,0.0,0.0,0.0,0.03225806451612903,0.06451612903225806,0.0
#crisimant,0.0,0.0,0.0,0.42857142857142855,0.07142857142857142,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#arbax,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#crisophore,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.16666666666666666,0.0
#erimand,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0
#stalagme,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.1,0.0,0.0
#cuisinier,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
