VALEUR,#pancrace,#floridon,#polydas,#lidiane,#amarille,#pysandre,#cleanide,#luciane,#echo,#la-fortune,#premier-pecheur,#second-pecheur,#le-juge,#le-procureur,#le-greffier
#cleanide,0.022222222222222265,1.2249999999999999,0.5,1.2249999999999999,2.7,5.688888888888891,16.0,1.2249999999999999,3.2000000000000006,3.2000000000000006,0.4000000000000001,0.20000000000000004,0.8999999999999999,0.20000000000000004,0.20000000000000004
#luciane,3.3800000000000003,0.12250000000000001,0.012500000000000022,0.12250000000000001,0.0033333333333333396,1.560555555555556,1.2249999999999999,11.559999999999997,0.32,0.32,0.64,0.32,0.20249999999999999,0.32,0.32
#echo,0.36,1.4449999999999996,0.8999999999999999,1.4449999999999996,2.4066666666666667,1.1377777777777778,3.2000000000000006,0.32,23.04,23.04,0.08,0.04,0.08,0.04,0.04
#echo,0.36,1.4449999999999996,0.8999999999999999,1.4449999999999996,2.4066666666666667,1.1377777777777778,3.2000000000000006,0.32,23.04,23.04,0.08,0.04,0.08,0.04,0.04
#premier-pecheur,0.72,2.8899999999999992,0.8000000000000002,0.20249999999999999,0.5633333333333335,0.72,0.4000000000000001,0.64,0.08,0.08,21.16,10.58,0.16,0.08,0.08
#second-pecheur,0.36,1.4449999999999996,0.4000000000000001,1.4449999999999996,0.24,0.36,0.20000000000000004,0.32,0.04,0.04,10.58,23.04,0.08,0.04,0.04
#le-juge,0.10888888888888891,2.8899999999999992,0.049999999999999975,2.8899999999999992,0.5633333333333335,0.10888888888888891,0.8999999999999999,0.20249999999999999,0.08,0.08,0.16,0.08,21.16,10.58,10.58
#le-procureur,0.36,1.4449999999999996,0.4000000000000001,1.4449999999999996,0.24,0.36,0.20000000000000004,0.32,0.04,0.04,0.08,0.04,10.58,23.04,23.04
#le-procureur,0.36,1.4449999999999996,0.4000000000000001,1.4449999999999996,0.24,0.36,0.20000000000000004,0.32,0.04,0.04,0.08,0.04,10.58,23.04,23.04
Successions,#pancrace,#floridon,#polydas,#lidiane,#amarille,#pysandre,#cleanide,#luciane,#echo,#la-fortune,#premier-pecheur,#second-pecheur,#le-juge,#le-procureur,#le-greffier
#pancrace,0.0,0.1643835616438356,0.2465753424657534,0.0410958904109589,0.0,0.0273972602739726,0.0,0.4931506849315068,0.0,0.0,0.0,0.0,0.0273972602739726,0.0,0.0
#floridon,0.15789473684210525,0.0,0.05263157894736842,0.09210526315789473,0.4342105263157895,0.02631578947368421,0.02631578947368421,0.013157894736842105,0.17105263157894737,0.0,0.013157894736842105,0.0,0.013157894736842105,0.0,0.0
#polydas,0.24468085106382978,0.031914893617021274,0.0,0.24468085106382978,0.19148936170212766,0.1702127659574468,0.0425531914893617,0.0425531914893617,0.0,0.031914893617021274,0.0,0.0,0.0,0.0,0.0
#lidiane,0.018518518518518517,0.09259259259259259,0.42592592592592593,0.0,0.018518518518518517,0.18518518518518517,0.037037037037037035,0.05555555555555555,0.0,0.0,0.018518518518518517,0.037037037037037035,0.1111111111111111,0.0,0.0
#amarille,0.0,0.6,0.2833333333333333,0.016666666666666666,0.016666666666666666,0.03333333333333333,0.016666666666666666,0.016666666666666666,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.0
#pysandre,0.05063291139240506,0.012658227848101266,0.25316455696202533,0.10126582278481013,0.0379746835443038,0.0,0.3670886075949367,0.0379746835443038,0.12658227848101267,0.0,0.0,0.0,0.0,0.012658227848101266,0.0
#cleanide,0.0,0.0,0.14634146341463414,0.024390243902439025,0.024390243902439025,0.7804878048780488,0.0,0.0,0.0,0.024390243902439025,0.0,0.0,0.0,0.0,0.0
#luciane,0.64,0.04,0.1,0.04,0.02,0.08,0.02,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0
#echo,0.0,0.5652173913043478,0.0,0.0,0.0,0.43478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
