VALEUR,#gregoire,#une-suivante,#prestine,#gregoire #prestine,#glycere,#les-deux-peres,#daphnis,#le-pere-de-glycere #le-pere-de-daphnis #daphnis #glycere,#phebe,#le-pere-de-daphnis,#le-pere-de-glycere,#les-deux-peres #prestine #daphnis,#tous-ensemble,#gregoire #daphnis,#les-deux-peres #glycere,#ensemble,#prestine #les-deux-peres #glycere #daphnis
#daphnis,0.010989010989011035,0.5384615384615385,0.1831501831501831,0.5384615384615385,0.014128728414442708,0.09157509157509156,2.7692307692307696,0.3956043956043954,0.3956043956043954,0.01648351648351649,0.4688644688644689,0.3956043956043954,0.3956043956043954,0.3956043956043954,0.3956043956043954,0.5384615384615385,0.3956043956043954
#le-pere-de-glycere #le-pere-de-daphnis #daphnis #glycere,0.3076923076923077,0.07692307692307693,0.6282051282051281,0.07692307692307693,0.3956043956043957,2.5641025641025634,0.3956043956043957,11.076923076923078,0.07692307692307693,0.46153846153846156,0.46153846153846156,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693
#phebe,0.3076923076923077,0.07692307692307693,0.6282051282051281,0.07692307692307693,0.3956043956043957,0.23076923076923078,0.3956043956043957,0.07692307692307693,11.076923076923078,0.46153846153846156,0.46153846153846156,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693
#le-pere-de-daphnis,0.38782051282051294,0.46153846153846156,0.019230769230769242,0.46153846153846156,0.1831501831501831,0.10683760683760682,0.01648351648351649,0.46153846153846156,0.46153846153846156,3.7692307692307696,1.797008547008547,0.6282051282051281,0.6282051282051281,0.46153846153846156,0.6282051282051281,0.46153846153846156,0.46153846153846156
#le-pere-de-glycere,0.38782051282051294,0.46153846153846156,0.019230769230769242,0.46153846153846156,0.1831501831501831,0.27350427350427353,0.4688644688644689,0.46153846153846156,0.46153846153846156,1.797008547008547,3.7692307692307696,0.6282051282051281,0.6282051282051281,0.46153846153846156,0.46153846153846156,0.6282051282051281,0.46153846153846156
#les-deux-peres #prestine #daphnis,1.5576923076923075,0.07692307692307693,0.6282051282051281,0.07692307692307693,0.3956043956043957,2.5641025641025634,0.3956043956043957,0.07692307692307693,0.07692307692307693,0.6282051282051281,0.6282051282051281,11.076923076923078,11.076923076923078,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693
#les-deux-peres #prestine #daphnis,1.5576923076923075,0.07692307692307693,0.6282051282051281,0.07692307692307693,0.3956043956043957,2.5641025641025634,0.3956043956043957,0.07692307692307693,0.07692307692307693,0.6282051282051281,0.6282051282051281,11.076923076923078,11.076923076923078,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693
#gregoire #daphnis,1.5576923076923075,0.07692307692307693,0.46153846153846156,0.07692307692307693,0.5384615384615384,0.23076923076923078,0.3956043956043957,0.07692307692307693,0.07692307692307693,0.46153846153846156,0.46153846153846156,0.07692307692307693,0.07692307692307693,11.076923076923078,0.07692307692307693,0.07692307692307693,0.07692307692307693
#les-deux-peres #glycere,0.3076923076923077,0.07692307692307693,0.46153846153846156,0.07692307692307693,0.3956043956043957,0.23076923076923078,0.3956043956043957,0.07692307692307693,0.07692307692307693,0.6282051282051281,0.46153846153846156,0.07692307692307693,0.07692307692307693,0.07692307692307693,11.076923076923078,0.07692307692307693,0.07692307692307693
#ensemble,0.3076923076923077,0.07692307692307693,0.46153846153846156,0.07692307692307693,0.3956043956043957,2.5641025641025634,0.5384615384615384,0.07692307692307693,0.07692307692307693,0.46153846153846156,0.6282051282051281,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,11.076923076923078,0.07692307692307693
#prestine #les-deux-peres #glycere #daphnis,0.3076923076923077,0.07692307692307693,0.46153846153846156,0.07692307692307693,0.5384615384615384,0.23076923076923078,0.3956043956043957,0.07692307692307693,0.07692307692307693,0.46153846153846156,0.46153846153846156,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,11.076923076923078
Successions,#gregoire,#une-suivante,#prestine,#gregoire #prestine,#glycere,#les-deux-peres,#daphnis,#le-pere-de-glycere #le-pere-de-daphnis #daphnis #glycere,#phebe,#le-pere-de-daphnis,#le-pere-de-glycere,#les-deux-peres #prestine #daphnis,#tous-ensemble,#gregoire #daphnis,#les-deux-peres #glycere,#ensemble,#prestine #les-deux-peres #glycere #daphnis
#gregoire,0.0,0.3448275862068966,0.13793103448275862,0.034482758620689655,0.034482758620689655,0.0,0.3448275862068966,0.0,0.0,0.0,0.06896551724137931,0.0,0.034482758620689655,0.0,0.0,0.0,0.0
#une-suivante,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#prestine,0.2857142857142857,0.0,0.0,0.0,0.14285714285714285,0.09523809523809523,0.0,0.047619047619047616,0.0,0.2857142857142857,0.047619047619047616,0.047619047619047616,0.0,0.0,0.0,0.047619047619047616,0.0
#gregoire #prestine,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#glycere,0.125,0.0,0.375,0.0,0.0,0.0,0.25,0.0,0.0625,0.125,0.0625,0.0,0.0,0.0,0.0,0.0,0.0
#les-deux-peres,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#daphnis,0.36,0.0,0.12,0.0,0.24,0.0,0.04,0.0,0.04,0.16,0.0,0.0,0.0,0.0,0.04,0.0,0.0
#le-pere-de-glycere #le-pere-de-daphnis #daphnis #glycere,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#phebe,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-pere-de-daphnis,0.1111111111111111,0.0,0.2777777777777778,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.1111111111111111,0.3888888888888889,0.0,0.0,0.0,0.0,0.0,0.0
#le-pere-de-glycere,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.45454545454545453,0.0,0.0,0.36363636363636365,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0
#les-deux-peres #prestine #daphnis,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#gregoire #prestine,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#une-suivante,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-pere-de-glycere #le-pere-de-daphnis #daphnis #glycere,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#ensemble,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-pere-de-glycere #le-pere-de-daphnis #daphnis #glycere,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
