VALEUR,#le-diable,#monsieur-simon,#sanchette,#therese,#lisette,#bertrand,#madame-simon,#vivarez,#la-presidente,#le-major,#le-chevalier,#un-laquais,#le-president,#la-major,#tous-ensemble
#le-president,0.35714285714285715,0.2857142857142857,0.2857142857142857,0.35714285714285715,0.19841269841269835,0.07142857142857142,0.3214285714285715,0.2857142857142857,0.7619047619047619,0.7619047619047619,1.1571428571428568,0.14285714285714285,12.071428571428573,12.071428571428573,0.07142857142857142
#tous-ensemble,1.1571428571428568,1.7857142857142858,0.2857142857142857,1.1571428571428568,0.19841269841269835,0.07142857142857142,0.3214285714285715,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.35714285714285715,0.14285714285714285,0.07142857142857142,0.07142857142857142,12.071428571428573
Successions,#le-diable,#monsieur-simon,#sanchette,#therese,#lisette,#bertrand,#madame-simon,#vivarez,#la-presidente,#le-major,#le-chevalier,#un-laquais,#le-president,#la-major,#tous-ensemble
#le-diable,0.0,0.6727272727272727,0.14545454545454545,0.07272727272727272,0.07272727272727272,0.0,0.01818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01818181818181818
#monsieur-simon,0.8536585365853658,0.0,0.0,0.07317073170731707,0.07317073170731707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#sanchette,0.42857142857142855,0.0,0.0,0.07142857142857142,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#therese,0.2727272727272727,0.0,0.0,0.0,0.12121212121212122,0.0,0.12121212121212122,0.0,0.15151515151515152,0.21212121212121213,0.06060606060606061,0.030303030303030304,0.030303030303030304,0.0,0.0
#lisette,0.09090909090909091,0.06818181818181818,0.13636363636363635,0.022727272727272728,0.0,0.36363636363636365,0.13636363636363635,0.022727272727272728,0.045454545454545456,0.06818181818181818,0.045454545454545456,0.0,0.0,0.0,0.0
#bertrand,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#madame-simon,0.05,0.025,0.0,0.2,0.1,0.0,0.0,0.125,0.175,0.15,0.125,0.025,0.025,0.0,0.0
#vivarez,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.5454545454545454,0.0,0.09090909090909091,0.18181818181818182,0.0,0.0,0.0,0.0,0.0
#la-presidente,0.0,0.0,0.0,0.14285714285714285,0.07142857142857142,0.0,0.32142857142857145,0.07142857142857142,0.0,0.07142857142857142,0.17857142857142858,0.0,0.10714285714285714,0.03571428571428571,0.0
#le-major,0.0,0.0,0.0,0.38461538461538464,0.0,0.0,0.19230769230769232,0.038461538461538464,0.23076923076923078,0.0,0.07692307692307693,0.0,0.038461538461538464,0.038461538461538464,0.0
#le-chevalier,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.5294117647058824,0.0,0.23529411764705882,0.11764705882352941,0.0,0.0,0.058823529411764705,0.0,0.0
#un-laquais,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-president,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.375,0.375,0.125,0.0,0.0,0.0,0.0
#la-major,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0
#bertrand,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
