VALEUR,#marie,#kenede,#le-duc,#elisabeth,#le-comte-de-moray,#le-comte-de-kent,#le-duc-de-norfolk,#le-capitaine-des-gardes,#le-comte,#killegre,#les-etats,#le-vicomte-de-herrin,#le-marechal-de-sherobery,#melvin,#amias-paulet,#l-ambassadeur-d-ecosse,#l-ambassadeur-de-france
#le-duc-de-norfolk,0.7857142857142857,0.5714285714285714,2.3142857142857136,0.3214285714285715,0.5,0.5714285714285714,24.142857142857146,1.7857142857142858,12.071428571428573,0.07142857142857142,0.14285714285714285,0.35714285714285715,0.2857142857142857,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.14285714285714285
#le-capitaine-des-gardes,1.5714285714285714,1.1428571428571428,1.7285714285714284,0.017857142857142842,1.0,1.1428571428571428,1.7857142857142858,20.571428571428577,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.7142857142857143,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.2857142857142857
#le-comte,0.39285714285714285,0.2857142857142857,1.1571428571428568,1.7857142857142858,0.25,0.2857142857142857,12.071428571428573,0.14285714285714285,26.03571428571429,0.03571428571428571,0.07142857142857142,0.17857142857142858,0.14285714285714285,0.07142857142857142,0.03571428571428571,0.07142857142857142,0.07142857142857142
#killegre,0.9383116883116885,0.2857142857142857,1.1571428571428568,0.2857142857142857,2.25,0.2857142857142857,0.07142857142857142,0.14285714285714285,0.03571428571428571,26.03571428571429,0.07142857142857142,0.17857142857142858,0.14285714285714285,0.07142857142857142,0.03571428571428571,0.07142857142857142,0.07142857142857142
#les-etats,0.7857142857142857,0.5714285714285714,0.11428571428571427,0.5714285714285714,4.5,0.3214285714285715,0.14285714285714285,0.2857142857142857,0.07142857142857142,0.07142857142857142,24.142857142857146,7.557142857142856,10.285714285714288,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.14285714285714285
#le-vicomte-de-herrin,0.47337662337662334,0.22857142857142873,0.3457142857142858,0.12857142857142848,0.45,0.22857142857142873,0.3571428571428571,0.7142857142857142,0.17857142857142855,0.17857142857142855,7.557142857142857,18.89285714285714,7.314285714285715,7.557142857142857,0.17857142857142855,1.1571428571428575,1.1571428571428575
#le-marechal-de-sherobery,0.20779220779220778,0.017857142857142842,0.1285714285714286,0.017857142857142842,1.0,3.0178571428571432,0.2857142857142857,0.5714285714285714,0.14285714285714285,0.14285714285714285,10.285714285714288,7.314285714285713,20.571428571428577,1.7857142857142858,0.14285714285714285,1.7857142857142858,1.7857142857142858
#melvin,0.7857142857142857,0.3214285714285715,0.7142857142857143,0.3214285714285715,0.5,0.3214285714285715,0.14285714285714285,0.2857142857142857,0.07142857142857142,0.07142857142857142,0.14285714285714285,7.557142857142856,1.7857142857142858,24.142857142857146,0.07142857142857142,5.142857142857144,5.142857142857144
#amias-paulet,0.9383116883116885,1.7857142857142858,0.35714285714285715,0.2857142857142857,0.25,0.2857142857142857,0.07142857142857142,0.14285714285714285,0.03571428571428571,0.03571428571428571,0.07142857142857142,0.17857142857142858,0.14285714285714285,0.07142857142857142,26.03571428571429,0.07142857142857142,0.07142857142857142
#l-ambassadeur-d-ecosse,0.7857142857142857,0.3214285714285715,0.7142857142857143,3.5714285714285716,0.5,0.3214285714285715,0.14285714285714285,0.2857142857142857,0.07142857142857142,0.07142857142857142,0.14285714285714285,1.1571428571428568,1.7857142857142858,5.142857142857144,0.07142857142857142,24.142857142857146,24.142857142857146
#l-ambassadeur-d-ecosse,0.7857142857142857,0.3214285714285715,0.7142857142857143,3.5714285714285716,0.5,0.3214285714285715,0.14285714285714285,0.2857142857142857,0.07142857142857142,0.07142857142857142,0.14285714285714285,1.1571428571428568,1.7857142857142858,5.142857142857144,0.07142857142857142,24.142857142857146,24.142857142857146
Successions,#marie,#kenede,#le-duc,#elisabeth,#le-comte-de-moray,#le-comte-de-kent,#le-duc-de-norfolk,#le-capitaine-des-gardes,#le-comte,#killegre,#les-etats,#le-vicomte-de-herrin,#le-marechal-de-sherobery,#melvin,#amias-paulet,#l-ambassadeur-d-ecosse,#l-ambassadeur-de-france
#marie,0.0,0.2,0.42857142857142855,0.0,0.14285714285714285,0.08571428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.08571428571428572,0.0,0.05714285714285714,0.0,0.0
#kenede,0.5714285714285714,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.14285714285714285,0.07142857142857142,0.0,0.0
#le-duc,0.3076923076923077,0.038461538461538464,0.019230769230769232,0.28846153846153844,0.15384615384615385,0.0,0.0,0.09615384615384616,0.0,0.038461538461538464,0.019230769230769232,0.038461538461538464,0.0,0.0,0.0,0.0,0.0
#elisabeth,0.04878048780487805,0.04878048780487805,0.3902439024390244,0.0,0.0975609756097561,0.21951219512195122,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.0,0.0,0.0,0.0,0.024390243902439025,0.0,0.024390243902439025,0.07317073170731707
#le-comte-de-moray,0.1,0.0,0.3,0.23333333333333334,0.0,0.23333333333333334,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.0,0.0,0.0,0.0,0.0
