VALEUR,#don-lope,#cardenie,#dorotee,#barbero,#sancho,#don-quichotte,#reine-de-miconmicon,#don-fernande,#lucinde,#le-valet,#l-ecuyer,#la-reine,#fernande,#le-barbier,#un-archer,#autre-archer,#premier-archer,#les-archers,#le-tambour,#la-comtesse-trifalde,#un-des-demons,#le-demon,#dame-de-la-comtesse
#l-ecuyer,0.9473684210526315,1.1578947368421053,0.42105263157894735,0.21052631578947367,0.05482456140350875,0.4298245614035089,0.10526315789473684,1.0526315789473684,0.7368421052631579,0.10526315789473684,15.210526315789474,0.7368421052631579,0.10526315789473684,0.21052631578947367,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.21052631578947367,0.21052631578947367,0.10526315789473684,0.10526315789473684,0.10526315789473684
#la-reine,0.14118629908103608,0.2214627477785374,1.4736842105263157,0.7368421052631579,1.5043859649122813,1.5043859649122813,0.3684210526315789,1.455639097744361,0.7830290010741139,0.3684210526315789,0.7368421052631579,7.57894736842105,0.3684210526315789,0.09398496240601507,1.0827067669172932,1.0827067669172932,1.0827067669172932,1.0827067669172932,2.1654135338345863,2.1654135338345863,1.0827067669172932,1.0827067669172932,1.0827067669172932
#fernande,0.47368421052631576,0.30622009569377984,2.960526315789474,0.10526315789473684,0.631578947368421,0.631578947368421,0.05263157894736842,0.42631578947368426,1.0827067669172932,0.05263157894736842,0.10526315789473684,0.3684210526315789,17.05263157894737,0.10526315789473684,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.10526315789473684,0.10526315789473684,0.05263157894736842,0.05263157894736842,0.05263157894736842
#le-barbier,0.0029239766081871404,0.02153110047846891,0.42105263157894735,0.21052631578947367,0.4298245614035089,0.4298245614035089,0.10526315789473684,0.8526315789473685,0.09398496240601507,0.10526315789473684,0.21052631578947367,0.09398496240601507,0.10526315789473684,15.210526315789474,7.605263157894737,7.605263157894737,7.605263157894737,7.605263157894737,0.21052631578947367,0.21052631578947367,0.10526315789473684,0.10526315789473684,0.10526315789473684
#un-archer,0.5847953216374271,0.30622009569377984,0.21052631578947367,0.10526315789473684,0.21491228070175444,0.21491228070175444,0.05263157894736842,0.42631578947368426,1.0827067669172932,0.05263157894736842,0.10526315789473684,1.0827067669172932,0.05263157894736842,7.605263157894737,17.05263157894737,17.05263157894737,17.05263157894737,17.05263157894737,0.10526315789473684,0.10526315789473684,0.05263157894736842,0.05263157894736842,0.05263157894736842
#un-archer,0.5847953216374271,0.30622009569377984,0.21052631578947367,0.10526315789473684,0.21491228070175444,0.21491228070175444,0.05263157894736842,0.42631578947368426,1.0827067669172932,0.05263157894736842,0.10526315789473684,1.0827067669172932,0.05263157894736842,7.605263157894737,17.05263157894737,17.05263157894737,17.05263157894737,17.05263157894737,0.10526315789473684,0.10526315789473684,0.05263157894736842,0.05263157894736842,0.05263157894736842
#un-archer,0.5847953216374271,0.30622009569377984,0.21052631578947367,0.10526315789473684,0.21491228070175444,0.21491228070175444,0.05263157894736842,0.42631578947368426,1.0827067669172932,0.05263157894736842,0.10526315789473684,1.0827067669172932,0.05263157894736842,7.605263157894737,17.05263157894737,17.05263157894737,17.05263157894737,17.05263157894737,0.10526315789473684,0.10526315789473684,0.05263157894736842,0.05263157894736842,0.05263157894736842
#un-archer,0.5847953216374271,0.30622009569377984,0.21052631578947367,0.10526315789473684,0.21491228070175444,0.21491228070175444,0.05263157894736842,0.42631578947368426,1.0827067669172932,0.05263157894736842,0.10526315789473684,1.0827067669172932,0.05263157894736842,7.605263157894737,17.05263157894737,17.05263157894737,17.05263157894737,17.05263157894737,0.10526315789473684,0.10526315789473684,0.05263157894736842,0.05263157894736842,0.05263157894736842
#le-tambour,0.9473684210526315,0.02153110047846891,0.42105263157894735,0.21052631578947367,0.4298245614035089,0.4298245614035089,0.10526315789473684,0.8526315789473685,0.09398496240601507,0.10526315789473684,0.21052631578947367,2.1654135338345863,0.10526315789473684,0.21052631578947367,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.10526315789473684,15.210526315789474,2.960526315789474,0.10526315789473684,0.10526315789473684,0.10526315789473684
#la-comtesse-trifalde,0.0029239766081871404,0.6124401913875597,0.42105263157894735,0.21052631578947367,0.4298245614035089,0.4298245614035089,0.10526315789473684,0.8526315789473685,2.1654135338345863,0.10526315789473684,0.21052631578947367,2.1654135338345863,0.10526315789473684,0.21052631578947367,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.10526315789473684,2.960526315789474,15.210526315789474,7.605263157894737,7.605263157894737,7.605263157894737
#un-des-demons,0.5847953216374271,0.30622009569377984,0.21052631578947367,0.10526315789473684,0.21491228070175444,0.21491228070175444,0.05263157894736842,0.42631578947368426,1.0827067669172932,0.05263157894736842,0.10526315789473684,1.0827067669172932,0.05263157894736842,0.10526315789473684,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.10526315789473684,7.605263157894737,17.05263157894737,17.05263157894737,17.05263157894737
#un-des-demons,0.5847953216374271,0.30622009569377984,0.21052631578947367,0.10526315789473684,0.21491228070175444,0.21491228070175444,0.05263157894736842,0.42631578947368426,1.0827067669172932,0.05263157894736842,0.10526315789473684,1.0827067669172932,0.05263157894736842,0.10526315789473684,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.10526315789473684,7.605263157894737,17.05263157894737,17.05263157894737,17.05263157894737
#un-des-demons,0.5847953216374271,0.30622009569377984,0.21052631578947367,0.10526315789473684,0.21491228070175444,0.21491228070175444,0.05263157894736842,0.42631578947368426,1.0827067669172932,0.05263157894736842,0.10526315789473684,1.0827067669172932,0.05263157894736842,0.10526315789473684,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.10526315789473684,7.605263157894737,17.05263157894737,17.05263157894737,17.05263157894737
Successions,#don-lope,#cardenie,#dorotee,#barbero,#sancho,#don-quichotte,#reine-de-miconmicon,#don-fernande,#lucinde,#le-valet,#l-ecuyer,#la-reine,#fernande,#le-barbier,#un-archer,#autre-archer,#premier-archer,#les-archers,#le-tambour,#la-comtesse-trifalde,#un-des-demons,#le-demon,#dame-de-la-comtesse
#don-lope,0.0,0.2,0.2222222222222222,0.06666666666666667,0.28888888888888886,0.06666666666666667,0.044444444444444446,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#cardenie,0.24444444444444444,0.0,0.3333333333333333,0.0,0.06666666666666667,0.044444444444444446,0.044444444444444446,0.15555555555555556,0.022222222222222223,0.0,0.0,0.044444444444444446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044444444444444446,0.0,0.0,0.0
#dorotee,0.23333333333333334,0.6,0.0,0.03333333333333333,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#barbero,0.6,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#sancho,0.0743801652892562,0.03305785123966942,0.0,0.008264462809917356,0.0,0.48760330578512395,0.03305785123966942,0.05785123966942149,0.008264462809917356,0.0,0.04132231404958678,0.06611570247933884,0.0,0.04132231404958678,0.0,0.0,0.0,0.0,0.008264462809917356,0.11570247933884298,0.01652892561983471,0.008264462809917356,0.0
#don-quichotte,0.016260162601626018,0.032520325203252036,0.008130081300813009,0.0,0.45528455284552843,0.0,0.10569105691056911,0.04878048780487805,0.016260162601626018,0.0,0.024390243902439025,0.08943089430894309,0.0,0.04878048780487805,0.032520325203252036,0.0,0.008130081300813009,0.0,0.008130081300813009,0.08943089430894309,0.0,0.008130081300813009,0.008130081300813009
#reine-de-miconmicon,0.19047619047619047,0.047619047619047616,0.0,0.0,0.19047619047619047,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#don-fernande,0.0684931506849315,0.0410958904109589,0.0410958904109589,0.0,0.1095890410958904,0.1506849315068493,0.0,0.0136986301369863,0.3972602739726027,0.0547945205479452,0.0,0.0821917808219178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0410958904109589,0.0,0.0,0.0
#lucinde,0.05,0.075,0.0,0.0,0.0,0.05,0.0,0.75,0.0,0.05,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-valet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#l-ecuyer,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-reine,0.06666666666666667,0.0,0.0,0.0,0.23333333333333334,0.4666666666666667,0.0,0.1,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0
#fernande,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-barbier,0.0,0.08333333333333333,0.0,0.0,0.08333333333333333,0.4166666666666667,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0
#un-archer,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#autre-archer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#premier-archer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#les-archers,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-tambour,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-comtesse-trifalde,0.0,0.0,0.0,0.0,0.48484848484848486,0.24242424242424243,0.0,0.12121212121212122,0.06060606060606061,0.0,0.0,0.06060606060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.0
#un-des-demons,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#un-des-demons,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#dame-de-la-comtesse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
