VALEUR,#herode,#thare,#pherore,#salome,#mariane,#dina,#l-echanson,#huissier,#premier-juge,#second-juge,#le-grand-prevot,#soesme,#l-eunuque,#le-concierge,#alexandra,#le-chevalier-d-honneur,#narbal
#huissier,0.1666666666666667,2.25,0.2916666666666667,0.8166666666666664,0.2916666666666667,0.08333333333333333,6.125,22.04166666666667,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.125
#premier-juge,0.1666666666666667,0.25,1.720238095238095,0.8166666666666664,1.720238095238095,0.08333333333333333,6.125,0.041666666666666664,22.04166666666667,22.04166666666667,10.083333333333332,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.125
#premier-juge,0.1666666666666667,0.25,1.720238095238095,0.8166666666666664,1.720238095238095,0.08333333333333333,6.125,0.041666666666666664,22.04166666666667,22.04166666666667,10.083333333333332,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.125
#le-grand-prevot,0.3333333333333334,0.5,0.29761904761904756,0.03333333333333332,0.29761904761904756,0.16666666666666666,2.25,0.08333333333333333,10.083333333333332,10.083333333333332,20.166666666666664,10.083333333333332,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.25
#soesme,0.1666666666666667,0.25,0.2916666666666667,0.4166666666666667,0.2916666666666667,0.08333333333333333,0.125,0.041666666666666664,0.041666666666666664,0.041666666666666664,10.083333333333332,22.04166666666667,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.125
#l-eunuque,0.1666666666666667,0.25,0.2916666666666667,0.4166666666666667,0.2916666666666667,0.08333333333333333,0.125,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.041666666666666664,22.04166666666667,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.125
#le-concierge,0.6666666666666666,0.25,0.2916666666666667,0.4166666666666667,1.720238095238095,0.08333333333333333,0.125,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.041666666666666664,22.04166666666667,0.08333333333333333,0.041666666666666664,0.125
#alexandra,1.3333333333333333,0.5,0.5833333333333334,0.8333333333333334,0.29761904761904756,4.166666666666668,0.25,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,20.166666666666664,10.083333333333332,0.25
#le-chevalier-d-honneur,0.6666666666666666,0.25,0.2916666666666667,0.4166666666666667,0.2916666666666667,0.08333333333333333,0.125,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.041666666666666664,10.083333333333332,22.04166666666667,0.125
#narbal,0.5,2.0833333333333335,1.4464285714285714,0.45,0.875,0.25,0.375,0.125,0.125,0.125,0.25,0.125,0.125,0.125,0.25,0.125,18.375
Successions,#herode,#thare,#pherore,#salome,#mariane,#dina,#l-echanson,#huissier,#premier-juge,#second-juge,#le-grand-prevot,#soesme,#l-eunuque,#le-concierge,#alexandra,#le-chevalier-d-honneur,#narbal
#herode,0.05319148936170213,0.031914893617021274,0.1702127659574468,0.2765957446808511,0.1702127659574468,0.0,0.031914893617021274,0.010638297872340425,0.0,0.010638297872340425,0.02127659574468085,0.06382978723404255,0.010638297872340425,0.0,0.010638297872340425,0.0,0.13829787234042554
#thare,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.2222222222222222
#pherore,0.5357142857142857,0.03571428571428571,0.0,0.39285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571
#salome,0.4307692307692308,0.0,0.18461538461538463,0.0,0.3076923076923077,0.0,0.06153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015384615384615385
#mariane,0.3148148148148148,0.05555555555555555,0.0,0.35185185185185186,0.0,0.18518518518518517,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.018518518518518517,0.0,0.0
#dina,0.0,0.09090909090909091,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#l-echanson,0.3333333333333333,0.0,0.0,0.5555555555555556,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#huissier,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#huissier,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#second-juge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-grand-prevot,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-grand-prevot,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-grand-prevot,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-concierge,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#alexandra,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
#le-chevalier-d-honneur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#narbal,0.8333333333333334,0.05555555555555555,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
