VALEUR,#le-medecin,#la-comtesse,#le-chirurgien,#vambeunin,#zelande #la-frise,#amsterdam,#la-zelande,#la-frise,#l-apothicaire,#le-laquais,#uvic,#vambeunin #uvic,#le-ministre,#l-avocat,#le-notaire
#la-zelande,0.06666666666666678,0.2909090909090912,0.0,0.049999999999999975,0.20000000000000004,2.699999999999999,9.599999999999998,9.599999999999998,1.0,0.6000000000000001,0.6000000000000001,0.20000000000000004,0.20000000000000004,6.400000000000001,6.400000000000001
#l-apothicaire,0.25,0.12121212121212116,1.0666666666666669,1.3333333333333333,0.3333333333333333,0.5,1.0,1.0,6.666666666666668,0.0,1.0,1.3333333333333337,0.3333333333333333,0.1666666666666667,0.1666666666666667
#le-laquais,0.816666666666667,0.018181818181818136,0.0,1.7999999999999998,0.20000000000000004,0.533333333333333,0.6000000000000001,0.6000000000000001,0.0,9.599999999999998,3.2666666666666657,3.2000000000000006,0.20000000000000004,0.4000000000000001,0.4000000000000001
#uvic,0.816666666666667,0.018181818181818136,1.0,1.7999999999999998,0.20000000000000004,0.03333333333333339,0.6000000000000001,0.6000000000000001,1.0,3.2666666666666657,9.599999999999998,0.20000000000000004,0.20000000000000004,0.4000000000000001,0.4000000000000001
#vambeunin #uvic,0.049999999999999975,0.09696969696969701,1.3333333333333337,0.26666666666666666,0.06666666666666667,0.8999999999999999,0.20000000000000004,0.20000000000000004,1.3333333333333337,3.2000000000000006,0.20000000000000004,13.066666666666668,0.06666666666666667,0.13333333333333333,0.13333333333333333
#le-ministre,0.049999999999999975,0.09696969696969701,0.3333333333333333,0.26666666666666666,0.06666666666666667,0.8999999999999999,0.20000000000000004,0.20000000000000004,0.3333333333333333,0.20000000000000004,0.20000000000000004,0.06666666666666667,13.066666666666668,0.13333333333333333,0.13333333333333333
#l-avocat,0.22500000000000006,0.19393939393939402,0.1666666666666667,0.4083333333333334,0.13333333333333333,1.7999999999999998,6.400000000000001,6.400000000000001,0.1666666666666667,0.4000000000000001,0.4000000000000001,0.13333333333333333,0.13333333333333333,11.266666666666667,11.266666666666667
#l-avocat,0.22500000000000006,0.19393939393939402,0.1666666666666667,0.4083333333333334,0.13333333333333333,1.7999999999999998,6.400000000000001,6.400000000000001,0.1666666666666667,0.4000000000000001,0.4000000000000001,0.13333333333333333,0.13333333333333333,11.266666666666667,11.266666666666667
Successions,#le-medecin,#la-comtesse,#le-chirurgien,#vambeunin,#zelande #la-frise,#amsterdam,#la-zelande,#la-frise,#l-apothicaire,#le-laquais,#uvic,#vambeunin #uvic,#le-ministre,#l-avocat,#le-notaire
#le-medecin,0.09090909090909091,0.2909090909090909,0.07272727272727272,0.07272727272727272,0.0,0.2545454545454545,0.0,0.0,0.10909090909090909,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.05454545454545454,0.0,0.0
#la-comtesse,0.34782608695652173,0.0,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.32608695652173914,0.0,0.0,0.0,0.08695652173913043,0.06521739130434782,0.0,0.021739130434782608,0.06521739130434782,0.021739130434782608
#le-chirurgien,0.5714285714285714,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285
#vambeunin,0.4444444444444444,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.4444444444444444,0.0,0.0,0.0,0.0
#zelande #la-frise,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#amsterdam,0.1935483870967742,0.25806451612903225,0.016129032258064516,0.016129032258064516,0.0,0.0,0.016129032258064516,0.04838709677419355,0.06451612903225806,0.04838709677419355,0.016129032258064516,0.0,0.08064516129032258,0.22580645161290322,0.016129032258064516
#la-zelande,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-frise,0.25,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#l-apothicaire,0.6,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
#le-laquais,0.0,0.25,0.125,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0
#uvic,0.1,0.4,0.0,0.3,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#vambeunin #uvic,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-ministre,0.3,0.3,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#l-avocat,0.10526315789473684,0.10526315789473684,0.0,0.0,0.0,0.6842105263157895,0.05263157894736842,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-notaire,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
