VALEUR,#kilacare,#la-marquise,#jusitne,#mademoiselle-de-lesbosie,#justine,#le-comte,#l-abbe,#le-chevalier,#brochure,#necelle,#eglante,#le-president,#le-baron,#le-vicomte,#germon,#pamene,#la-verdure,#le-chevalier #le-president #le-vicomte,#ensemble,#adeline,#necelle #adeline #eglante,#le-marquis,#l-exempt,#chanteurs-du-cantique
#l-abbe,0.04,0.20249999999999999,0.04,0.16,0.12,0.04,23.04,0.4000000000000001,0.08,0.28,0.28,0.20000000000000004,0.20000000000000004,0.28,0.12,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
#le-chevalier,0.4000000000000001,1.0562499999999997,0.4000000000000001,1.6000000000000003,0.5333333333333334,0.4000000000000001,0.4000000000000001,9.0,1.7999999999999998,1.728571428571428,1.728571428571428,2.0,4.5,0.514285714285714,0.5333333333333334,0.8999999999999999,0.4000000000000001,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.4000000000000001,0.4000000000000001,0.4000000000000001
#brochure,0.08,0.40499999999999997,0.08,0.32,2.4066666666666667,0.08,0.08,1.7999999999999998,21.16,0.56,0.56,0.4000000000000001,0.4000000000000001,0.56,0.24,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
#necelle,0.28,0.05142857142857152,0.28,1.12,0.8400000000000001,0.28,0.28,1.728571428571427,0.56,12.959999999999992,8.327346938775506,4.828571428571426,9.257142857142853,8.327346938775506,1.6019047619047617,1.8514285714285712,0.28,1.8514285714285712,1.8514285714285712,1.8514285714285712,1.8514285714285712,0.28,0.28,0.28
#eglante,0.28,0.05142857142857152,0.28,1.12,0.8400000000000001,0.28,0.28,1.728571428571427,0.56,8.327346938775506,12.959999999999992,4.828571428571426,9.257142857142853,8.327346938775506,1.6019047619047617,1.8514285714285712,0.28,1.8514285714285712,1.8514285714285712,1.8514285714285712,1.8514285714285712,0.28,0.28,0.28
#le-president,0.20000000000000004,1.0124999999999997,0.20000000000000004,0.8000000000000002,0.6,0.20000000000000004,0.20000000000000004,2.0,0.4000000000000001,4.8285714285714265,4.8285714285714265,16.0,9.0,4.8285714285714265,3.266666666666666,3.2000000000000006,0.20000000000000004,3.2000000000000006,3.2000000000000006,3.2000000000000006,3.2000000000000006,3.2000000000000006,3.2000000000000006,0.20000000000000004
#le-baron,0.20000000000000004,0.1999999999999999,0.20000000000000004,0.8000000000000002,0.6,0.20000000000000004,0.20000000000000004,4.5,0.4000000000000001,9.257142857142854,9.257142857142854,9.0,16.0,4.8285714285714265,3.266666666666666,3.2000000000000006,0.20000000000000004,3.2000000000000006,3.2000000000000006,3.2000000000000006,3.2000000000000006,0.20000000000000004,0.20000000000000004,0.20000000000000004
#le-vicomte,0.28,0.05142857142857152,0.28,1.12,0.8400000000000001,0.28,0.28,0.5142857142857136,0.56,8.327346938775506,8.327346938775506,4.828571428571426,4.828571428571426,12.959999999999992,1.6019047619047617,1.8514285714285712,0.28,1.8514285714285712,1.8514285714285712,1.8514285714285712,1.8514285714285712,0.28,0.28,0.28
#germon,0.12,0.0033333333333333396,0.12,0.48,0.36,0.12,0.12,0.533333333333333,0.24,1.6019047619047617,1.6019047619047617,3.2666666666666657,3.2666666666666657,1.6019047619047617,19.360000000000003,6.453333333333333,6.453333333333333,6.453333333333333,6.453333333333333,0.12,0.12,0.12,0.12,0.12
#pamene,0.04,0.20249999999999999,0.04,0.16,0.12,0.04,0.04,0.8999999999999999,0.08,1.8514285714285712,1.8514285714285712,3.2000000000000006,3.2000000000000006,1.8514285714285712,6.453333333333333,23.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
#la-verdure,0.04,0.64,0.04,0.16,0.12,0.04,0.04,0.4000000000000001,0.08,0.28,0.28,0.20000000000000004,0.20000000000000004,0.28,6.453333333333333,0.04,23.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
#le-chevalier #le-president #le-vicomte,0.04,0.20249999999999999,0.04,0.16,0.12,0.04,0.04,0.8999999999999999,0.08,1.8514285714285712,1.8514285714285712,3.2000000000000006,3.2000000000000006,1.8514285714285712,6.453333333333333,0.04,0.04,23.04,23.04,0.04,0.04,0.04,0.04,0.04
#le-chevalier #le-president #le-vicomte,0.04,0.20249999999999999,0.04,0.16,0.12,0.04,0.04,0.8999999999999999,0.08,1.8514285714285712,1.8514285714285712,3.2000000000000006,3.2000000000000006,1.8514285714285712,6.453333333333333,0.04,0.04,23.04,23.04,0.04,0.04,0.04,0.04,0.04
#adeline,0.04,0.20249999999999999,0.04,0.16,0.12,0.04,0.04,0.8999999999999999,0.08,1.8514285714285712,1.8514285714285712,3.2000000000000006,3.2000000000000006,1.8514285714285712,0.12,0.04,0.04,0.04,0.04,23.04,23.04,0.04,0.04,0.04
#adeline,0.04,0.20249999999999999,0.04,0.16,0.12,0.04,0.04,0.8999999999999999,0.08,1.8514285714285712,1.8514285714285712,3.2000000000000006,3.2000000000000006,1.8514285714285712,0.12,0.04,0.04,0.04,0.04,23.04,23.04,0.04,0.04,0.04
#le-marquis,0.04,0.20249999999999999,0.04,0.16,0.12,0.04,0.04,0.4000000000000001,0.08,0.28,0.28,3.2000000000000006,0.20000000000000004,0.28,0.12,0.04,0.04,0.04,0.04,0.04,0.04,23.04,23.04,0.04
#le-marquis,0.04,0.20249999999999999,0.04,0.16,0.12,0.04,0.04,0.4000000000000001,0.08,0.28,0.28,3.2000000000000006,0.20000000000000004,0.28,0.12,0.04,0.04,0.04,0.04,0.04,0.04,23.04,23.04,0.04
#chanteurs-du-cantique,0.04,0.64,0.04,0.16,0.12,0.04,0.04,0.4000000000000001,0.08,0.28,0.28,0.20000000000000004,0.20000000000000004,0.28,0.12,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,23.04
Successions,#kilacare,#la-marquise,#jusitne,#mademoiselle-de-lesbosie,#justine,#le-comte,#l-abbe,#le-chevalier,#brochure,#necelle,#eglante,#le-president,#le-baron,#le-vicomte,#germon,#pamene,#la-verdure,#le-chevalier #le-president #le-vicomte,#ensemble,#adeline,#necelle #adeline #eglante,#le-marquis,#l-exempt,#chanteurs-du-cantique
#kilacare,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-marquise,0.11538461538461539,0.005494505494505495,0.0,0.21978021978021978,0.01098901098901099,0.12637362637362637,0.06593406593406594,0.2032967032967033,0.06593406593406594,0.027472527472527472,0.03296703296703297,0.03296703296703297,0.038461538461538464,0.02197802197802198,0.0,0.0,0.0,0.0,0.0,0.005494505494505495,0.0,0.02197802197802198,0.005494505494505495,0.0
#kilacare,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#mademoiselle-de-lesbosie,0.0,0.9512195121951219,0.024390243902439025,0.0,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#justine,0.0,0.6,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#kilacare,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#kilacare,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-chevalier,0.0,0.4691358024691358,0.0,0.0,0.024691358024691357,0.0,0.0,0.012345679012345678,0.12345679012345678,0.16049382716049382,0.024691358024691357,0.07407407407407407,0.012345679012345678,0.04938271604938271,0.012345679012345678,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0
#brochure,0.0,0.5909090909090909,0.0,0.0,0.0,0.0,0.0,0.4090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#necelle,0.0,0.1323529411764706,0.0,0.0,0.0,0.0,0.0,0.16176470588235295,0.0,0.014705882352941176,0.16176470588235295,0.08823529411764706,0.10294117647058823,0.3235294117647059,0.0,0.0,0.0,0.0,0.0,0.014705882352941176,0.0,0.0,0.0,0.0
#eglante,0.0,0.08771929824561403,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.2631578947368421,0.03508771929824561,0.12280701754385964,0.12280701754385964,0.2631578947368421,0.0,0.017543859649122806,0.0,0.0,0.017543859649122806,0.017543859649122806,0.0,0.0,0.0,0.0
#le-president,0.0,0.11904761904761904,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.14285714285714285,0.09523809523809523,0.0,0.11904761904761904,0.14285714285714285,0.07142857142857142,0.0,0.0,0.0,0.0,0.11904761904761904,0.0,0.0,0.023809523809523808,0.0
#le-baron,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.10256410256410256,0.0,0.1794871794871795,0.3333333333333333,0.1794871794871795,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.05128205128205128,0.0,0.0,0.0,0.0
#le-vicomte,0.0,0.05172413793103448,0.0,0.0,0.0,0.0,0.0,0.06896551724137931,0.0,0.3275862068965517,0.3103448275862069,0.034482758620689655,0.1206896551724138,0.034482758620689655,0.0,0.0,0.0,0.017241379310344827,0.0,0.034482758620689655,0.0,0.0,0.0,0.0
#germon,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.038461538461538464,0.038461538461538464,0.0,0.0,0.0,0.8461538461538461,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#pamene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-verdure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9565217391304348,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-chevalier #le-president #le-vicomte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#ensemble,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#adeline,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.26666666666666666,0.0,0.0,0.06666666666666667,0.2,0.2,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0
#ensemble,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-marquis,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#l-exempt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#kilacare,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
