VALEUR,#eristene,#oloodeme,#licogene,#poliarque,#gelanore,#meleandre,#eurimede,#selenisse,#argenis,#florice,#soldats-1,#soldats-2,#soldats,#sacrificateur,#timonide,#menocrite,#anaximandre
#soldats-2,0.15789473684210525,0.21052631578947367,0.3684210526315789,0.30622009569377984,0.21052631578947367,1.4824561403508774,0.15789473684210525,0.2631578947368421,0.21052631578947367,0.05263157894736842,0.05263157894736842,17.05263157894737,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842
#soldats,0.15789473684210525,0.21052631578947367,0.3684210526315789,0.30622009569377984,0.21052631578947367,1.4824561403508774,0.15789473684210525,2.0631578947368427,2.960526315789474,0.05263157894736842,0.05263157894736842,0.05263157894736842,17.05263157894737,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842
#sacrificateur,0.15789473684210525,0.21052631578947367,0.3684210526315789,0.30622009569377984,0.21052631578947367,1.4824561403508774,0.15789473684210525,0.2631578947368421,2.960526315789474,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,17.05263157894737,17.05263157894737,0.05263157894736842,0.05263157894736842
#sacrificateur,0.15789473684210525,0.21052631578947367,0.3684210526315789,0.30622009569377984,0.21052631578947367,1.4824561403508774,0.15789473684210525,0.2631578947368421,2.960526315789474,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,17.05263157894737,17.05263157894737,0.05263157894736842,0.05263157894736842
#menocrite,0.15789473684210525,0.21052631578947367,1.0827067669172932,0.5789473684210527,0.21052631578947367,0.3157894736842105,0.15789473684210525,0.2631578947368421,0.21052631578947367,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,17.05263157894737,17.05263157894737
#menocrite,0.15789473684210525,0.21052631578947367,1.0827067669172932,0.5789473684210527,0.21052631578947367,0.3157894736842105,0.15789473684210525,0.2631578947368421,0.21052631578947367,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,17.05263157894737,17.05263157894737
Successions,#eristene,#oloodeme,#licogene,#poliarque,#gelanore,#meleandre,#eurimede,#selenisse,#argenis,#florice,#soldats-1,#soldats-2,#soldats,#sacrificateur,#timonide,#menocrite,#anaximandre
#eristene,0.0,0.6,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#oloodeme,0.2857142857142857,0.0,0.5714285714285714,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#licogene,0.12,0.04,0.0,0.2,0.0,0.12,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.16
#poliarque,0.0,0.014492753623188406,0.10144927536231885,0.0,0.391304347826087,0.08695652173913043,0.0,0.15942028985507245,0.2028985507246377,0.0,0.014492753623188406,0.028985507246376812,0.0,0.0,0.0,0.0,0.0
#gelanore,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#meleandre,0.037037037037037035,0.07407407407407407,0.0,0.25925925925925924,0.0,0.0,0.2222222222222222,0.1111111111111111,0.18518518518518517,0.0,0.0,0.0,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.0,0.0
#eurimede,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#selenisse,0.0,0.0,0.0,0.5172413793103449,0.0,0.06896551724137931,0.0,0.0,0.3793103448275862,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#argenis,0.0,0.0,0.0,0.4375,0.0,0.09375,0.0,0.40625,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0
#florice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#soldats-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#soldats-2,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#eurimede,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#sacrificateur,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#eurimede,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#menocrite,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#menocrite,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
