VALEUR,#le-tibre,#la-seine,#brute,#cassie,#porcie,#lepide,#antoine,#calphurnie,#cesar,#philippus,#labeo,#quintus,#albin,#artemidore,#emilie,#un-citoyen,#un-autre-citoyen
#antoine,0.3076923076923077,0.3076923076923077,1.9631410256410258,1.8461538461538463,1.5384615384615385,9.346153846153843,12.46153846153846,0.38782051282051294,0.11778846153846148,0.24038461538461534,0.3076923076923077,0.3076923076923077,0.24038461538461534,0.6153846153846154,0.3076923076923077,1.5576923076923075,1.5576923076923075
#calphurnie,0.23076923076923078,0.23076923076923078,1.1303418803418803,1.3846153846153846,0.020512820512820544,1.3846153846153846,0.38782051282051294,15.384615384615381,0.012820512820512803,0.6282051282051281,0.23076923076923078,0.23076923076923078,0.46153846153846156,0.46153846153846156,2.5641025641025634,2.5641025641025634,0.23076923076923078
#cesar,0.3076923076923077,0.3076923076923077,0.46314102564102544,0.38782051282051294,1.5384615384615385,0.7211538461538459,0.11778846153846148,0.012820512820512803,12.46153846153846,0.24038461538461534,0.3076923076923077,0.3076923076923077,0.6153846153846154,0.24038461538461534,0.3076923076923077,0.3076923076923077,0.3076923076923077
#philippus,0.07692307692307693,0.07692307692307693,0.9230769230769231,0.46153846153846156,0.38461538461538464,0.6282051282051281,0.24038461538461534,0.6282051282051281,0.24038461538461534,22.153846153846157,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.07692307692307693
#labeo,0.038461538461538464,0.038461538461538464,0.6282051282051281,2.5641025641025634,0.19230769230769232,0.23076923076923078,0.3076923076923077,0.23076923076923078,0.3076923076923077,0.07692307692307693,24.038461538461537,24.038461538461537,11.076923076923078,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.038461538461538464
#labeo,0.038461538461538464,0.038461538461538464,0.6282051282051281,2.5641025641025634,0.19230769230769232,0.23076923076923078,0.3076923076923077,0.23076923076923078,0.3076923076923077,0.07692307692307693,24.038461538461537,24.038461538461537,11.076923076923078,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.038461538461538464
#albin,0.07692307692307693,0.07692307692307693,0.006410256410256401,0.6282051282051281,0.38461538461538464,0.6282051282051281,0.24038461538461534,0.46153846153846156,0.6153846153846154,0.15384615384615385,11.076923076923078,11.076923076923078,22.153846153846157,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.07692307692307693
#artemidore,0.07692307692307693,0.07692307692307693,0.006410256410256401,0.46153846153846156,0.38461538461538464,0.46153846153846156,0.6153846153846154,0.46153846153846156,0.24038461538461534,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.15384615384615385,22.153846153846157,0.07692307692307693,0.07692307692307693,0.07692307692307693
#emilie,0.038461538461538464,0.038461538461538464,0.46153846153846156,0.23076923076923078,0.19230769230769232,0.23076923076923078,0.3076923076923077,2.5641025641025634,0.3076923076923077,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.07692307692307693,0.07692307692307693,24.038461538461537,0.038461538461538464,0.038461538461538464
#un-citoyen,0.038461538461538464,0.038461538461538464,0.46153846153846156,0.23076923076923078,0.19230769230769232,0.23076923076923078,1.5576923076923075,2.5641025641025634,0.3076923076923077,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.07692307692307693,0.07692307692307693,0.038461538461538464,24.038461538461537,0.038461538461538464
#un-autre-citoyen,0.038461538461538464,0.038461538461538464,0.46153846153846156,0.23076923076923078,0.19230769230769232,0.23076923076923078,1.5576923076923075,0.23076923076923078,0.3076923076923077,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.07692307692307693,0.07692307692307693,0.038461538461538464,0.038461538461538464,24.038461538461537
Successions,#le-tibre,#la-seine,#brute,#cassie,#porcie,#lepide,#antoine,#calphurnie,#cesar,#philippus,#labeo,#quintus,#albin,#artemidore,#emilie,#un-citoyen,#un-autre-citoyen
#le-tibre,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-seine,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#brute,0.0,0.022727272727272728,0.022727272727272728,0.3181818181818182,0.3181818181818182,0.045454545454545456,0.022727272727272728,0.045454545454545456,0.13636363636363635,0.0,0.0,0.0,0.045454545454545456,0.022727272727272728,0.0,0.0,0.0
#cassie,0.0,0.0,0.7,0.0,0.15,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#porcie,0.0,0.0,0.6842105263157895,0.15789473684210525,0.0,0.0,0.0,0.15789473684210525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#lepide,0.0,0.0,0.25,0.0,0.0,0.0,0.5,0.0,0.125,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0
#antoine,0.0,0.0,0.25,0.0,0.0,0.3125,0.0,0.0,0.3125,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0625
#calphurnie,0.0,0.0,0.0,0.0,0.0625,0.0,0.125,0.0,0.5,0.0625,0.0,0.0,0.0,0.0625,0.1875,0.0,0.0
#cesar,0.0,0.0,0.2608695652173913,0.08695652173913043,0.043478260869565216,0.043478260869565216,0.17391304347826086,0.30434782608695654,0.0,0.043478260869565216,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0
#philippus,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#labeo,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#quintus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#albin,0.0,0.0,0.4,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
#artemidore,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#emilie,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#un-citoyen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#un-autre-citoyen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
