VALEUR,#momus,#thalie,#sosie,#lelie,#tartuffe,#madame-pernelle,#harpagon,#trissotin,#alceste,#angelique,#claudine,#clitandre,#george-dandin,#monsieur-jourdain,#tous-les-acteurs,#monsieur-le-kain,#monsieur-brizard,#choeur,#momus #monsieur-jourdain
#harpagon,0.15157894736842104,0.8000000000000002,0.40499999999999997,0.32,0.16,0.08,21.16,1.4449999999999996,0.16,0.24,0.16,0.08,0.08,0.16,0.08,0.08,0.08,0.08,0.0
#trissotin,0.30315789473684207,0.22500000000000006,0.8099999999999999,0.64,1.4449999999999996,0.16,1.4449999999999996,17.639999999999997,1.4449999999999996,0.48,0.32,0.16,0.16,1.4449999999999996,0.16,0.16,0.16,0.16,0.0
#alceste,0.15157894736842104,0.8000000000000002,0.40499999999999997,0.32,0.16,0.08,0.16,1.4449999999999996,21.16,0.24,0.16,0.08,0.08,0.16,0.08,0.08,0.08,0.08,0.0
#angelique,0.2273684210526314,1.2000000000000002,0.44083333333333324,0.48,0.24,0.12,0.24,0.48,0.24,19.360000000000003,12.906666666666666,6.453333333333333,6.453333333333333,2.4066666666666667,0.12,0.12,0.12,0.12,0.0
#claudine,0.15157894736842104,0.8000000000000002,1.28,0.32,0.16,0.08,0.16,0.32,0.16,12.906666666666666,21.16,10.58,10.58,0.16,0.08,0.08,0.08,0.08,0.0
#clitandre,0.07578947368421052,0.4000000000000001,0.64,0.16,0.08,0.04,0.08,0.16,0.08,6.453333333333333,10.58,23.04,0.04,0.08,0.04,0.04,0.04,0.04,0.0
#george-dandin,0.07578947368421052,0.4000000000000001,0.64,0.16,0.08,0.04,0.08,0.16,0.08,6.453333333333333,10.58,0.04,23.04,0.08,0.04,0.04,0.04,0.04,0.0
#monsieur-jourdain,0.15157894736842104,0.049999999999999975,0.40499999999999997,0.32,4.409999999999999,0.08,0.16,1.4449999999999996,0.16,2.4066666666666667,0.16,0.08,0.08,21.16,0.08,0.08,0.08,0.08,0.0
#tous-les-acteurs,0.07578947368421052,0.8999999999999999,0.20249999999999999,4.409999999999999,0.08,0.04,0.08,0.16,0.08,0.12,0.08,0.04,0.04,0.08,23.04,0.04,0.04,0.04,0.0
#monsieur-le-kain,0.76,0.8999999999999999,0.64,0.16,0.08,0.04,0.08,0.16,0.08,0.12,0.08,0.04,0.04,0.08,0.04,23.04,23.04,23.04,0.0
#monsieur-le-kain,0.76,0.8999999999999999,0.64,0.16,0.08,0.04,0.08,0.16,0.08,0.12,0.08,0.04,0.04,0.08,0.04,23.04,23.04,23.04,0.0
#monsieur-le-kain,0.76,0.8999999999999999,0.64,0.16,0.08,0.04,0.08,0.16,0.08,0.12,0.08,0.04,0.04,0.08,0.04,23.04,23.04,23.04,0.0
#momus #monsieur-jourdain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Successions,#momus,#thalie,#sosie,#lelie,#tartuffe,#madame-pernelle,#harpagon,#trissotin,#alceste,#angelique,#claudine,#clitandre,#george-dandin,#monsieur-jourdain,#tous-les-acteurs,#monsieur-le-kain,#monsieur-brizard,#choeur,#momus #monsieur-jourdain
#momus,0.0,0.27835051546391754,0.16494845360824742,0.041237113402061855,0.08247422680412371,0.05154639175257732,0.10309278350515463,0.05154639175257732,0.05154639175257732,0.030927835051546393,0.010309278350515464,0.010309278350515464,0.010309278350515464,0.10309278350515463,0.0,0.0,0.0,0.010309278350515464,0.0
#thalie,0.2755102040816326,0.02040816326530612,0.4387755102040816,0.1836734693877551,0.030612244897959183,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.0
#sosie,0.15,0.5375,0.0,0.075,0.0125,0.025,0.05,0.05,0.0125,0.0125,0.0,0.0,0.0,0.0375,0.0125,0.0,0.0,0.025,0.0
#lelie,0.16666666666666666,0.6,0.16666666666666666,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#tartuffe,0.5333333333333333,0.13333333333333333,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#madame-pernelle,0.75,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0
#harpagon,0.6875,0.0,0.125,0.0,0.0,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#trissotin,0.2413793103448276,0.10344827586206896,0.1724137931034483,0.0,0.034482758620689655,0.0,0.06896551724137931,0.0,0.3793103448275862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#alceste,0.25,0.0,0.05,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.05
#angelique,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.2,0.1,0.0,0.0,0.0,0.1,0.0
#claudine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
#clitandre,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#george-dandin,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#monsieur-jourdain,0.6666666666666666,0.0,0.13333333333333333,0.0,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#tous-les-acteurs,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#monsieur-le-kain,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#monsieur-brizard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0
#choeur,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0
#momus #monsieur-jourdain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
