VALEUR,#theandre,#rosilee,#lucidan,#policrane,#androphile,#glacitide,#lindorante,#philidaspe,#rosimar,#un-citoyen,#artesie,#alcaste,#palinonde,#perintor,#menocrite,#orchomene,#lucidame
#artesie,0.013913043478260851,1.533913043478261,1.1799331103678927,0.21739130434782608,0.43478260869565216,1.0869565217391304,0.6521739130434783,0.8695652173913043,0.6521739130434783,0.21739130434782608,14.08695652173913,2.8173913043478267,0.21739130434782608,2.785507246376812,0.21739130434782608,0.21739130434782608,0.21739130434782608
#alcaste,0.43478260869565216,0.7347826086956523,0.5652173913043478,0.043478260869565216,0.08695652173913043,0.21739130434782608,0.13043478260869565,0.17391304347826086,0.13043478260869565,0.043478260869565216,2.8173913043478267,21.043478260869566,0.043478260869565216,0.13043478260869565,0.043478260869565216,0.043478260869565216,0.043478260869565216
#palinonde,0.43478260869565216,0.43478260869565216,0.3344481605351171,0.043478260869565216,0.08695652173913043,0.21739130434782608,0.13043478260869565,0.17391304347826086,0.13043478260869565,0.043478260869565216,0.21739130434782608,0.043478260869565216,21.043478260869566,0.13043478260869565,0.043478260869565216,0.043478260869565216,0.043478260869565216
#perintor,2.2043478260869565,0.07101449275362319,0.2853957636566332,0.13043478260869565,0.2608695652173913,0.6521739130434783,0.3913043478260869,0.5217391304347826,0.3913043478260869,0.13043478260869565,2.785507246376812,0.13043478260869565,0.13043478260869565,17.39130434782609,0.13043478260869565,0.13043478260869565,0.13043478260869565
#menocrite,0.7347826086956523,0.43478260869565216,0.5652173913043478,0.043478260869565216,0.08695652173913043,0.21739130434782608,0.13043478260869565,0.17391304347826086,5.797101449275362,0.043478260869565216,0.21739130434782608,0.043478260869565216,0.043478260869565216,0.13043478260869565,21.043478260869566,21.043478260869566,21.043478260869566
#menocrite,0.7347826086956523,0.43478260869565216,0.5652173913043478,0.043478260869565216,0.08695652173913043,0.21739130434782608,0.13043478260869565,0.17391304347826086,5.797101449275362,0.043478260869565216,0.21739130434782608,0.043478260869565216,0.043478260869565216,0.13043478260869565,21.043478260869566,21.043478260869566,21.043478260869566
#menocrite,0.7347826086956523,0.43478260869565216,0.5652173913043478,0.043478260869565216,0.08695652173913043,0.21739130434782608,0.13043478260869565,0.17391304347826086,5.797101449275362,0.043478260869565216,0.21739130434782608,0.043478260869565216,0.043478260869565216,0.13043478260869565,21.043478260869566,21.043478260869566,21.043478260869566
Successions,#theandre,#rosilee,#lucidan,#policrane,#androphile,#glacitide,#lindorante,#philidaspe,#rosimar,#un-citoyen,#artesie,#alcaste,#palinonde,#perintor,#menocrite,#orchomene,#lucidame
#theandre,0.021739130434782608,0.1956521739130435,0.32608695652173914,0.0,0.08695652173913043,0.13043478260869565,0.0,0.0,0.10869565217391304,0.0,0.043478260869565216,0.0,0.0,0.043478260869565216,0.0,0.0,0.043478260869565216
#rosilee,0.4,0.05714285714285714,0.2857142857142857,0.0,0.0,0.08571428571428572,0.0,0.0,0.02857142857142857,0.0,0.11428571428571428,0.02857142857142857,0.0,0.0,0.0,0.0,0.0
#lucidan,0.29545454545454547,0.29545454545454547,0.045454545454545456,0.022727272727272728,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.045454545454545456,0.0,0.022727272727272728,0.0,0.0,0.0,0.0
#policrane,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#androphile,0.375,0.125,0.375,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#glacitide,0.3,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#lindorante,0.125,0.0,0.25,0.0,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#philidaspe,0.1111111111111111,0.0,0.4444444444444444,0.0,0.0,0.0,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#rosimar,0.5833333333333334,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333
#un-citoyen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#artesie,0.1,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.0
#alcaste,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#policrane,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#perintor,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
#un-citoyen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#orchomene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0
#lucidame,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
