VALEUR,#melpomene,#thalie,#euterpe,#apollon,#les-heures,#aurore,#semele,#dirce,#dimas,#alcmeon,#le-roi,#la-reine,#l-amour,#jupiter,#momus,#junon,#venus,#la-jeunesse,#un-des-amours,#hymenee,#jalousie,#atys
#alcmeon,1.1,0.825,0.55,0.275,0.275,0.275,0.1823232323232324,1.1,3.8227272727272723,21.024999999999995,0.29090909090909073,2.2090909090909094,0.275,0.018181818181818212,1.65,0.07424242424242429,0.275,0.275,0.275,1.9113636363636362,0.275,0.275
#le-roi,0.8000000000000002,0.6,0.4000000000000001,0.20000000000000004,0.20000000000000004,0.20000000000000004,1.877777777777778,0.8000000000000002,0.4000000000000001,0.29090909090909073,25.600000000000005,13.066666666666665,0.20000000000000004,0.09999999999999995,1.2,1.2,0.20000000000000004,0.20000000000000004,0.20000000000000004,3.2000000000000006,0.20000000000000004,3.2000000000000006
#la-reine,1.2000000000000002,0.8999999999999999,0.6000000000000001,0.30000000000000004,0.30000000000000004,0.30000000000000004,2.140740740740741,0.03333333333333339,0.6000000000000001,2.2090909090909085,13.066666666666663,19.6,1.6333333333333329,0.06666666666666678,1.7999999999999998,0.3555555555555554,0.30000000000000004,0.30000000000000004,0.30000000000000004,1.6333333333333329,0.30000000000000004,1.6333333333333329
#l-amour,0.10000000000000002,0.075,0.05000000000000001,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.45,8.1,0.05000000000000001,0.275,0.20000000000000004,1.633333333333333,38.025,0.20000000000000004,0.15,0.15,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005
#jupiter,0.8000000000000002,0.6,0.4000000000000001,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.04444444444444442,0.8000000000000002,0.4000000000000001,0.018181818181818212,0.09999999999999995,0.06666666666666664,0.20000000000000004,25.600000000000005,2.7,1.2,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004
#momus,0.6000000000000001,0.44999999999999996,0.30000000000000004,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.18148148148148158,0.6000000000000001,0.30000000000000004,1.6500000000000001,1.2000000000000002,1.7999999999999998,0.15000000000000002,2.699999999999999,28.900000000000002,0.011111111111111132,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.15000000000000002
#junon,0.6000000000000001,0.44999999999999996,0.30000000000000004,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.18148148148148158,0.6000000000000001,0.30000000000000004,0.07424242424242418,1.2000000000000002,0.3555555555555554,0.15000000000000002,1.2000000000000002,0.011111111111111132,28.900000000000002,0.15000000000000002,0.15000000000000002,4.8166666666666655,0.15000000000000002,0.15000000000000002,0.15000000000000002
#venus,0.10000000000000002,0.075,0.05000000000000001,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.6722222222222223,0.10000000000000002,0.05000000000000001,0.275,0.20000000000000004,0.3,0.025000000000000005,0.20000000000000004,0.15,0.15,38.025,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005
#la-jeunesse,0.10000000000000002,0.075,0.05000000000000001,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.6722222222222223,0.10000000000000002,0.05000000000000001,0.275,0.20000000000000004,0.3,0.025000000000000005,0.20000000000000004,0.15,0.15,0.025000000000000005,38.025,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005
#un-des-amours,0.10000000000000002,0.075,0.05000000000000001,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.6722222222222223,0.10000000000000002,0.05000000000000001,0.275,0.20000000000000004,0.3,0.025000000000000005,0.20000000000000004,0.15,4.816666666666666,0.025000000000000005,0.025000000000000005,38.025,0.025000000000000005,0.025000000000000005,0.025000000000000005
#hymenee,0.10000000000000002,0.075,0.05000000000000001,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.45,0.10000000000000002,0.05000000000000001,1.9113636363636362,3.2000000000000006,1.633333333333333,0.025000000000000005,0.20000000000000004,0.15,0.15,0.025000000000000005,0.025000000000000005,0.025000000000000005,38.025,0.025000000000000005,0.025000000000000005
#jalousie,0.10000000000000002,0.075,0.05000000000000001,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.45,0.10000000000000002,0.05000000000000001,0.275,0.20000000000000004,0.3,0.025000000000000005,0.20000000000000004,0.15,0.15,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,38.025,0.025000000000000005
#atys,0.10000000000000002,0.075,0.05000000000000001,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.45,0.10000000000000002,0.05000000000000001,0.275,3.2000000000000006,1.633333333333333,0.025000000000000005,0.20000000000000004,0.15,0.15,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,0.025000000000000005,38.025
Successions,#melpomene,#thalie,#euterpe,#apollon,#les-heures,#aurore,#semele,#dirce,#dimas,#alcmeon,#le-roi,#la-reine,#l-amour,#jupiter,#momus,#junon,#venus,#la-jeunesse,#un-des-amours,#hymenee,#jalousie,#atys
#melpomene,0.13333333333333333,0.5333333333333333,0.13333333333333333,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#thalie,0.8,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#euterpe,0.5,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#apollon,0.6,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#les-heures,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#aurore,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#semele,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.04597701149425287,0.10344827586206896,0.0,0.26436781609195403,0.011494252873563218,0.04597701149425287,0.0,0.3333333333333333,0.05747126436781609,0.05747126436781609,0.022988505747126436,0.011494252873563218,0.011494252873563218,0.0,0.0,0.0
#dirce,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.16666666666666666,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#dimas,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#alcmeon,0.0,0.0,0.0,0.0,0.0,0.0,0.36507936507936506,0.0,0.09523809523809523,0.015873015873015872,0.09523809523809523,0.09523809523809523,0.0,0.25396825396825395,0.0,0.07936507936507936,0.0,0.0,0.0,0.0,0.0,0.0
#le-roi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.391304347826087,0.043478260869565216,0.34782608695652173,0.0,0.13043478260869565,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.043478260869565216
#la-reine,0.0,0.0,0.0,0.0,0.0,0.0,0.21739130434782608,0.13043478260869565,0.0,0.21739130434782608,0.34782608695652173,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.043478260869565216,0.0
