VALEUR,#nicolas,#anna,#tyl,#le-comte,#les-hommes-d-armes,#la-comtesse,#van-bock,#un-homme-d-armes,#tous,#un-page,#les-docteurs,#docteur-1er,#docteur-2e,#docteur-3e,#docteur-4e,#docteur-5e,#docteur-6e,#docteur-7e,#docteur-8e,#docteur-9e,#docteur-10e,#docteur-11e,#docteur-12e
#les-docteurs,0.12857142857142861,0.12857142857142861,0.12857142857142861,0.2666666666666667,0.3,0.2666666666666667,0.4000000000000001,1.633333333333333,0.20000000000000004,0.10000000000000002,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1
#les-docteurs,0.12857142857142861,0.12857142857142861,0.12857142857142861,0.2666666666666667,0.3,0.2666666666666667,0.4000000000000001,1.633333333333333,0.20000000000000004,0.10000000000000002,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1
#les-docteurs,0.12857142857142861,0.12857142857142861,0.12857142857142861,0.2666666666666667,0.3,0.2666666666666667,0.4000000000000001,1.633333333333333,0.20000000000000004,0.10000000000000002,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1
#les-docteurs,0.12857142857142861,0.12857142857142861,0.12857142857142861,0.2666666666666667,0.3,0.2666666666666667,0.4000000000000001,1.633333333333333,0.20000000000000004,0.10000000000000002,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1
#les-docteurs,0.12857142857142861,0.12857142857142861,0.12857142857142861,0.2666666666666667,0.3,0.2666666666666667,0.4000000000000001,1.633333333333333,0.20000000000000004,0.10000000000000002,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1
#les-docteurs,0.12857142857142861,0.12857142857142861,0.12857142857142861,0.2666666666666667,0.3,0.2666666666666667,0.4000000000000001,1.633333333333333,0.20000000000000004,0.10000000000000002,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1
#les-docteurs,0.12857142857142861,0.12857142857142861,0.12857142857142861,0.2666666666666667,0.3,0.2666666666666667,0.4000000000000001,1.633333333333333,0.20000000000000004,0.10000000000000002,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1
#les-docteurs,0.12857142857142861,0.12857142857142861,0.12857142857142861,0.2666666666666667,0.3,0.2666666666666667,0.4000000000000001,1.633333333333333,0.20000000000000004,0.10000000000000002,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1
#les-docteurs,0.12857142857142861,0.12857142857142861,0.12857142857142861,0.2666666666666667,0.3,0.2666666666666667,0.4000000000000001,1.633333333333333,0.20000000000000004,0.10000000000000002,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1
#les-docteurs,0.12857142857142861,0.12857142857142861,0.12857142857142861,0.2666666666666667,0.3,0.2666666666666667,0.4000000000000001,1.633333333333333,0.20000000000000004,0.10000000000000002,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1
#les-docteurs,0.12857142857142861,0.12857142857142861,0.12857142857142861,0.2666666666666667,0.3,0.2666666666666667,0.4000000000000001,1.633333333333333,0.20000000000000004,0.10000000000000002,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1
#les-docteurs,0.12857142857142861,0.12857142857142861,0.12857142857142861,0.2666666666666667,0.3,0.2666666666666667,0.4000000000000001,1.633333333333333,0.20000000000000004,0.10000000000000002,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1
#les-docteurs,0.12857142857142861,0.12857142857142861,0.12857142857142861,0.2666666666666667,0.3,0.2666666666666667,0.4000000000000001,1.633333333333333,0.20000000000000004,0.10000000000000002,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1
Successions,#nicolas,#anna,#tyl,#le-comte,#les-hommes-d-armes,#la-comtesse,#van-bock,#un-homme-d-armes,#tous,#un-page,#les-docteurs,#docteur-1er,#docteur-2e,#docteur-3e,#docteur-4e,#docteur-5e,#docteur-6e,#docteur-7e,#docteur-8e,#docteur-9e,#docteur-10e,#docteur-11e,#docteur-12e
#nicolas,0.0,0.45,0.4,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#anna,0.55,0.0,0.25,0.15,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#tyl,0.0380952380952381,0.06666666666666667,0.0,0.12380952380952381,0.01904761904761905,0.06666666666666667,0.6,0.009523809523809525,0.009523809523809525,0.0,0.01904761904761905,0.0,0.02857142857142857,0.0,0.009523809523809525,0.009523809523809525,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-comte,0.06896551724137931,0.034482758620689655,0.41379310344827586,0.0,0.034482758620689655,0.1724137931034483,0.10344827586206896,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#les-hommes-d-armes,0.2,0.2,0.0,0.2,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-comtesse,0.0,0.0,0.4444444444444444,0.1111111111111111,0.05555555555555555,0.0,0.16666666666666666,0.05555555555555555,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#van-bock,0.0,0.014084507042253521,0.9014084507042254,0.04225352112676056,0.0,0.028169014084507043,0.0,0.0,0.014084507042253521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#un-homme-d-armes,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#tous,0.0,0.0,0.3333333333333333,0.16666666666666666,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#un-page,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#les-docteurs,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
#docteur-1er,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#docteur-2e,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#docteur-3e,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#docteur-4e,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#docteur-5e,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#docteur-6e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#docteur-7e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#docteur-8e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#docteur-9e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#docteur-10e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#docteur-11e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#docteur-12e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
