VALEUR,#maugin,#monsieur-de-villarceaux,#monsieur-villarceaux,#ninon,#ensemble,#mademoiselle-d-aubigne,#menage,#scarron,#girault,#babet,#monsieur-de-villarceaux #menage,#tous,#le-notaire,#choeur
#girault,0.020512820512820544,0.006410256410256401,0.11538461538461539,1.2564102564102562,0.11538461538461539,1.0384615384615383,0.8903133903133906,0.5497737556561084,20.346153846153843,2.5641025641025634,0.11538461538461539,7.901709401709401,13.564102564102562,0.11538461538461539
#babet,0.0692307692307692,0.24038461538461534,0.07692307692307693,0.24038461538461534,0.07692307692307693,0.6923076923076923,0.13675213675213677,0.3665158371040724,2.5641025641025634,22.153846153846157,0.07692307692307693,2.5641025641025634,4.653846153846153,0.07692307692307693
#monsieur-de-villarceaux #menage,0.38461538461538464,1.5576923076923075,0.038461538461538464,0.3076923076923077,0.038461538461538464,0.34615384615384615,1.235042735042735,0.1832579185520362,0.11538461538461539,0.07692307692307693,24.038461538461537,0.11538461538461539,0.07692307692307693,0.038461538461538464
#tous,0.020512820512820544,1.2564102564102562,0.11538461538461539,4.673076923076922,0.11538461538461539,0.0014245014245014146,3.705128205128206,0.5497737556561084,7.901709401709401,2.5641025641025634,0.11538461538461539,20.346153846153843,13.564102564102562,0.11538461538461539
#le-notaire,0.0692307692307692,0.24038461538461534,0.07692307692307693,3.115384615384615,0.07692307692307693,0.6923076923076923,2.47008547008547,0.3665158371040724,13.564102564102562,4.653846153846153,0.07692307692307693,13.564102564102562,22.153846153846157,0.07692307692307693
#choeur,0.9846153846153847,0.3076923076923077,0.038461538461538464,1.5576923076923075,0.038461538461538464,1.235042735042735,1.235042735042735,0.1832579185520362,0.11538461538461539,0.07692307692307693,0.038461538461538464,0.11538461538461539,0.07692307692307693,24.038461538461537
Successions,#maugin,#monsieur-de-villarceaux,#monsieur-villarceaux,#ninon,#ensemble,#mademoiselle-d-aubigne,#menage,#scarron,#girault,#babet,#monsieur-de-villarceaux #menage,#tous,#le-notaire,#choeur
#maugin,0.02040816326530612,0.6530612244897959,0.02040816326530612,0.02040816326530612,0.0,0.12244897959183673,0.0,0.16326530612244897,0.0,0.0,0.0,0.0,0.0,0.0
#monsieur-de-villarceaux,0.5151515151515151,0.0,0.0,0.30303030303030304,0.0,0.030303030303030304,0.030303030303030304,0.12121212121212122,0.0,0.0,0.0,0.0,0.0,0.0
#monsieur-villarceaux,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#ninon,0.0196078431372549,0.43137254901960786,0.0,0.0196078431372549,0.0392156862745098,0.3137254901960784,0.0196078431372549,0.058823529411764705,0.0196078431372549,0.0,0.0,0.058823529411764705,0.0,0.0196078431372549
#ensemble,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#mademoiselle-d-aubigne,0.05263157894736842,0.05263157894736842,0.0,0.3508771929824561,0.0,0.0,0.017543859649122806,0.5263157894736842,0.0,0.0,0.0,0.0,0.0,0.0
#menage,0.05555555555555555,0.027777777777777776,0.0,0.05555555555555555,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.027777777777777776,0.0,0.0,0.0
#scarron,0.05555555555555555,0.04861111111111111,0.0,0.027777777777777776,0.0,0.2222222222222222,0.19444444444444445,0.041666666666666664,0.25,0.09722222222222222,0.0,0.006944444444444444,0.034722222222222224,0.020833333333333332
#girault,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.02702702702702703,0.9459459459459459,0.0,0.0,0.0,0.0,0.0,0.0
#babet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#babet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#tous,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0
#babet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#choeur,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0
