VALEUR,#poliarque,#dorimante,#climene,#pamphilie,#le-roi,#melistee,#uranie,#cleonte,#philamon,#le-page,#doristene,#doraste,#un-soldat
#uranie,1.3333333333333333,0.12121212121212122,0.9696969696969697,4.454545454545454,1.6969696969696972,0.12121212121212122,25.484848484848484,0.48484848484848486,0.48484848484848486,6.371212121212121,0.12121212121212122,0.12121212121212122,0.12121212121212122
#cleonte,1.3333333333333333,0.12121212121212122,0.9696969696969697,1.6420454545454544,0.28625541125541126,0.12121212121212122,0.48484848484848486,25.484848484848484,0.48484848484848486,0.12121212121212122,0.12121212121212122,0.12121212121212122,0.12121212121212122
#philamon,0.0833333333333333,0.12121212121212122,0.9696969696969697,0.2045454545454545,0.05411255411255409,0.12121212121212122,0.48484848484848486,0.48484848484848486,25.484848484848484,0.12121212121212122,0.12121212121212122,0.12121212121212122,0.12121212121212122
#le-page,0.3333333333333333,0.030303030303030304,0.24242424242424243,1.1136363636363635,0.4242424242424243,0.030303030303030304,6.371212121212121,0.12121212121212122,0.12121212121212122,31.03030303030303,0.030303030303030304,0.030303030303030304,0.030303030303030304
#doristene,0.3333333333333333,0.030303030303030304,2.367424242424242,0.36363636363636365,0.4242424242424243,0.030303030303030304,0.12121212121212122,0.12121212121212122,0.12121212121212122,0.030303030303030304,31.03030303030303,0.030303030303030304,0.030303030303030304
#doraste,0.3333333333333333,0.030303030303030304,0.24242424242424243,0.36363636363636365,0.4242424242424243,0.030303030303030304,0.12121212121212122,0.12121212121212122,0.12121212121212122,0.030303030303030304,0.030303030303030304,31.03030303030303,0.030303030303030304
#un-soldat,0.3333333333333333,0.030303030303030304,0.24242424242424243,0.36363636363636365,0.7813852813852812,0.030303030303030304,0.12121212121212122,0.12121212121212122,0.12121212121212122,0.030303030303030304,0.030303030303030304,0.030303030303030304,31.03030303030303
Successions,#poliarque,#dorimante,#climene,#pamphilie,#le-roi,#melistee,#uranie,#cleonte,#philamon,#le-page,#doristene,#doraste,#un-soldat
#poliarque,0.017543859649122806,0.14035087719298245,0.47368421052631576,0.12280701754385964,0.22807017543859648,0.017543859649122806,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#dorimante,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#climene,0.4411764705882353,0.0,0.0,0.11764705882352941,0.35294117647058826,0.0,0.0,0.014705882352941176,0.0,0.0,0.07352941176470588,0.0,0.0
#pamphilie,0.12121212121212122,0.0,0.13636363636363635,0.045454545454545456,0.10606060606060606,0.0,0.4393939393939394,0.09090909090909091,0.045454545454545456,0.015151515151515152,0.0,0.0,0.0
#le-roi,0.18867924528301888,0.0,0.49056603773584906,0.1509433962264151,0.05660377358490566,0.0,0.0,0.03773584905660377,0.03773584905660377,0.0,0.0,0.018867924528301886,0.018867924528301886
#melistee,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#uranie,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#cleonte,0.1111111111111111,0.0,0.0,0.5555555555555556,0.1111111111111111,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0
#philamon,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#uranie,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#melistee,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#uranie,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#un-soldat,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
