VALEUR,#cassandre,#belcar,#meliane,#almodice,#araxe,#soldat,#zorote,#soldats,#pharnabaze,#phulter,#timadon,#thamys,#abdolomin,#balorte,#l-amiral,#premier-pecheur,#deuxieme-pecheur,#les-juges,#l-archer,#messager,#archer,#archers
#timadon,0.10000000000000002,0.26666666666666666,0.3333333333333333,0.20000000000000004,0.03333333333333333,0.06666666666666667,0.13333333333333333,0.16666666666666666,0.23333333333333334,0.20000000000000004,28.03333333333333,4.166666666666668,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333
#thamys,0.5,2.083333333333334,0.26666666666666655,1.0,0.16666666666666666,0.3333333333333333,0.6666666666666666,0.8333333333333333,0.02380952380952383,0.0,4.166666666666668,20.83333333333334,1.3333333333333337,0.3333333333333333,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
#abdolomin,0.20000000000000004,0.5333333333333333,0.6666666666666666,0.4000000000000001,0.06666666666666667,0.13333333333333333,0.26666666666666666,0.3333333333333333,0.4666666666666667,0.4000000000000001,0.06666666666666667,1.3333333333333337,26.133333333333336,5.633333333333334,0.26666666666666666,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667
#balorte,0.20000000000000004,0.4083333333333334,0.1666666666666667,0.4000000000000001,0.06666666666666667,0.13333333333333333,2.016666666666667,0.3333333333333333,0.6095238095238095,0.8999999999999999,0.06666666666666667,0.3333333333333333,5.633333333333334,26.133333333333336,2.016666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,13.066666666666668,13.066666666666668
#l-amiral,0.4000000000000001,0.004166666666666665,0.0833333333333333,0.049999999999999975,0.13333333333333333,0.26666666666666666,0.4083333333333334,0.6666666666666666,4.576190476190475,0.049999999999999975,0.13333333333333333,0.6666666666666666,0.26666666666666666,2.016666666666667,22.533333333333335,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,5.633333333333334,5.633333333333334
#premier-pecheur,0.10000000000000002,0.26666666666666666,1.3333333333333337,0.20000000000000004,0.03333333333333333,0.06666666666666667,0.13333333333333333,0.16666666666666666,0.23333333333333334,0.20000000000000004,0.03333333333333333,0.16666666666666666,0.06666666666666667,0.06666666666666667,0.13333333333333333,28.03333333333333,28.03333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333
#premier-pecheur,0.10000000000000002,0.26666666666666666,1.3333333333333337,0.20000000000000004,0.03333333333333333,0.06666666666666667,0.13333333333333333,0.16666666666666666,0.23333333333333334,0.20000000000000004,0.03333333333333333,0.16666666666666666,0.06666666666666667,0.06666666666666667,0.13333333333333333,28.03333333333333,28.03333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333
#les-juges,0.10000000000000002,0.26666666666666666,1.3333333333333337,0.20000000000000004,0.03333333333333333,0.06666666666666667,0.13333333333333333,0.16666666666666666,2.519047619047619,3.2000000000000006,0.03333333333333333,0.16666666666666666,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.03333333333333333,0.03333333333333333,28.03333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333
#l-archer,0.10000000000000002,2.016666666666667,1.3333333333333337,0.20000000000000004,0.03333333333333333,13.066666666666668,0.13333333333333333,0.16666666666666666,0.23333333333333334,3.2000000000000006,0.03333333333333333,0.16666666666666666,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,28.03333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333
#messager,0.10000000000000002,0.26666666666666666,0.3333333333333333,0.20000000000000004,0.03333333333333333,0.06666666666666667,0.13333333333333333,4.166666666666668,0.23333333333333334,0.20000000000000004,0.03333333333333333,0.16666666666666666,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,28.03333333333333,0.03333333333333333,0.03333333333333333
#archer,0.10000000000000002,2.016666666666667,1.3333333333333337,0.20000000000000004,0.03333333333333333,0.06666666666666667,5.633333333333334,0.16666666666666666,2.519047619047619,3.2000000000000006,0.03333333333333333,0.16666666666666666,0.06666666666666667,13.066666666666668,5.633333333333334,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,28.03333333333333,28.03333333333333
#archer,0.10000000000000002,2.016666666666667,1.3333333333333337,0.20000000000000004,0.03333333333333333,0.06666666666666667,5.633333333333334,0.16666666666666666,2.519047619047619,3.2000000000000006,0.03333333333333333,0.16666666666666666,0.06666666666666667,13.066666666666668,5.633333333333334,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,28.03333333333333,28.03333333333333
