VALEUR,#leonte,#phulter,#le-herault,#abdolomin,#balorte,#belcar,#araxe,#soldats,#timadon,#pharnabaze,#le-courrier,#cassandre,#meliane,#zorote,#philoline,#tharside,#le-page,#almodice,#bagoas,#la-ruine,#la-debauche,#le-prevot,#archers,#soldat
#zorote,1.8064516129032258,0.6774193548387096,0.45161290322580644,0.45161290322580644,0.45161290322580644,0.6774193548387096,0.45161290322580644,0.45161290322580644,0.8864683703393381,0.45161290322580644,0.22580645161290322,0.45161290322580644,0.6774193548387096,18.580645161290327,0.6658986175115207,0.010368663594470051,1.3317972350230414,0.22580645161290322,2.654377880184332,0.45161290322580644,0.45161290322580644,0.22580645161290322,0.22580645161290322,0.45161290322580644
#philoline,0.45362903225806456,0.1935483870967742,0.12903225806451613,0.12903225806451613,0.12903225806451613,0.1935483870967742,0.12903225806451613,0.12903225806451613,0.11876832844574776,0.12903225806451613,0.06451612903225806,0.12903225806451613,0.1935483870967742,0.6658986175115207,27.12903225806452,2.1330645161290325,0.25806451612903225,0.06451612903225806,0.06451612903225806,0.12903225806451613,0.12903225806451613,0.06451612903225806,0.06451612903225806,0.12903225806451613
#tharside,0.0010080645161290305,0.3870967741935484,0.25806451612903225,0.25806451612903225,0.25806451612903225,0.3870967741935484,0.25806451612903225,0.25806451612903225,1.7602639296187683,0.25806451612903225,0.12903225806451613,0.25806451612903225,0.3870967741935484,0.010368663594470051,2.1330645161290325,23.516129032258064,0.5161290322580645,0.12903225806451613,0.12903225806451613,0.25806451612903225,0.25806451612903225,0.12903225806451613,0.12903225806451613,0.25806451612903225
#le-page,1.032258064516129,0.3870967741935484,0.25806451612903225,0.25806451612903225,0.25806451612903225,0.3870967741935484,0.25806451612903225,0.25806451612903225,0.23753665689149553,0.25806451612903225,0.12903225806451613,0.25806451612903225,0.3870967741935484,1.3317972350230414,0.25806451612903225,0.5161290322580645,23.516129032258064,0.12903225806451613,5.879032258064516,0.25806451612903225,0.25806451612903225,0.12903225806451613,0.12903225806451613,0.25806451612903225
#almodice,0.25806451612903225,0.0967741935483871,0.06451612903225806,0.06451612903225806,0.06451612903225806,0.0967741935483871,0.06451612903225806,0.06451612903225806,0.35483870967741943,0.06451612903225806,0.03225806451612903,0.06451612903225806,8.43010752688172,0.22580645161290322,0.06451612903225806,0.12903225806451613,0.12903225806451613,29.03225806451613,0.03225806451612903,0.06451612903225806,0.06451612903225806,0.03225806451612903,0.03225806451612903,0.06451612903225806
#bagoas,0.25806451612903225,0.0967741935483871,0.06451612903225806,0.06451612903225806,0.06451612903225806,0.0967741935483871,0.06451612903225806,0.06451612903225806,0.35483870967741943,0.06451612903225806,0.03225806451612903,0.06451612903225806,0.0967741935483871,2.654377880184332,0.06451612903225806,0.12903225806451613,5.879032258064516,0.03225806451612903,29.03225806451613,0.06451612903225806,0.06451612903225806,0.03225806451612903,0.03225806451612903,0.06451612903225806
#la-ruine,0.45362903225806456,0.1935483870967742,0.12903225806451613,0.12903225806451613,0.12903225806451613,0.1935483870967742,0.12903225806451613,0.12903225806451613,0.7096774193548389,0.12903225806451613,0.06451612903225806,0.12903225806451613,0.1935483870967742,0.45161290322580644,0.12903225806451613,0.25806451612903225,0.25806451612903225,0.06451612903225806,0.06451612903225806,27.12903225806452,27.12903225806452,0.06451612903225806,0.06451612903225806,0.12903225806451613
#la-ruine,0.45362903225806456,0.1935483870967742,0.12903225806451613,0.12903225806451613,0.12903225806451613,0.1935483870967742,0.12903225806451613,0.12903225806451613,0.7096774193548389,0.12903225806451613,0.06451612903225806,0.12903225806451613,0.1935483870967742,0.45161290322580644,0.12903225806451613,0.25806451612903225,0.25806451612903225,0.06451612903225806,0.06451612903225806,27.12903225806452,27.12903225806452,0.06451612903225806,0.06451612903225806,0.12903225806451613
#le-prevot,0.25806451612903225,0.0967741935483871,0.06451612903225806,0.06451612903225806,0.06451612903225806,0.0967741935483871,0.06451612903225806,0.06451612903225806,0.35483870967741943,0.06451612903225806,0.03225806451612903,0.06451612903225806,0.0967741935483871,0.22580645161290322,0.06451612903225806,0.12903225806451613,0.12903225806451613,0.03225806451612903,0.03225806451612903,0.06451612903225806,0.06451612903225806,29.03225806451613,29.03225806451613,13.56451612903226
#le-prevot,0.25806451612903225,0.0967741935483871,0.06451612903225806,0.06451612903225806,0.06451612903225806,0.0967741935483871,0.06451612903225806,0.06451612903225806,0.35483870967741943,0.06451612903225806,0.03225806451612903,0.06451612903225806,0.0967741935483871,0.22580645161290322,0.06451612903225806,0.12903225806451613,0.12903225806451613,0.03225806451612903,0.03225806451612903,0.06451612903225806,0.06451612903225806,29.03225806451613,29.03225806451613,13.56451612903226
