VALEUR,#frisette,#magali,#cendrillon,#magali #frisette,#le-portier,#la-fee-urgele,#le-crieur,#le-prince-charmant,#le-page,#un-autre-page,#une-dame-d-honneur,#deuxieme-dame-d-honneur,#troisieme-dame-d-honneur
#magali,0.7407407407407407,0.0,0.1111111111111111,0.0,0.07407407407407407,0.0,0.0,0.037037037037037035,0.037037037037037035,0.0,0.0,0.0,0.0
#cendrillon,0.125,0.125,0.020833333333333332,0.041666666666666664,0.3125,0.2916666666666667,0.0,0.0625,0.020833333333333332,0.0,0.0,0.0,0.0
#magali #frisette,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-portier,0.1,0.06,0.3,0.02,0.0,0.5,0.0,0.02,0.0,0.0,0.0,0.0,0.0
#la-fee-urgele,0.0,0.0,0.3170731707317073,0.0,0.6097560975609756,0.024390243902439025,0.0,0.04878048780487805,0.0,0.0,0.0,0.0,0.0
#le-crieur,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-prince-charmant,0.4444444444444444,0.0,0.2222222222222222,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.0
#le-page,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666
#un-autre-page,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#une-dame-d-honneur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#deuxieme-dame-d-honneur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#troisieme-dame-d-honneur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
