VALEUR,#du-croisy,#la-grange,#gorgibus,#marotte,#madelon,#cathos,#mascarille,#premier-porteur,#deuxieme-porteur,#jodelet,#lucile,#almanzor,#les-violons
#jodelet,2.3725490196078427,1.1911764705882355,1.1764705882352942,0.9411764705882353,0.17794117647058819,0.6636029411764707,1.1529411764705881,0.23529411764705882,0.23529411764705882,9.941176470588236,2.485294117647059,2.485294117647059,0.5955882352941178
#lucile,0.17647058823529413,0.23529411764705882,0.29411764705882354,0.23529411764705882,0.28823529411764703,0.5955882352941178,0.28823529411764703,0.058823529411764705,0.058823529411764705,2.485294117647059,15.058823529411764,15.058823529411764,0.11764705882352941
#lucile,0.17647058823529413,0.23529411764705882,0.29411764705882354,0.23529411764705882,0.28823529411764703,0.5955882352941178,0.28823529411764703,0.058823529411764705,0.058823529411764705,2.485294117647059,15.058823529411764,15.058823529411764,0.11764705882352941
#les-violons,1.1862745098039214,0.5955882352941178,0.28823529411764703,0.47058823529411764,0.026470588235294128,0.003676470588235296,0.026470588235294128,0.11764705882352941,0.11764705882352941,0.5955882352941178,0.11764705882352941,0.11764705882352941,13.235294117647058
Successions,#du-croisy,#la-grange,#gorgibus,#marotte,#madelon,#cathos,#mascarille,#premier-porteur,#deuxieme-porteur,#jodelet,#lucile,#almanzor,#les-violons
#du-croisy,0.0,0.7,0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
#la-grange,0.5333333333333333,0.0,0.06666666666666667,0.0,0.13333333333333333,0.0,0.2,0.0,0.0,0.06666666666666667,0.0,0.0,0.0
#gorgibus,0.0,0.10526315789473684,0.05263157894736842,0.21052631578947367,0.3684210526315789,0.15789473684210525,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.05263157894736842
#marotte,0.0,0.0,0.2857142857142857,0.0,0.35714285714285715,0.07142857142857142,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0
#madelon,0.02631578947368421,0.02631578947368421,0.11842105263157894,0.09210526315789473,0.0,0.17105263157894737,0.5131578947368421,0.0,0.0,0.05263157894736842,0.0,0.0,0.0
#cathos,0.0,0.02,0.06,0.02,0.4,0.0,0.44,0.0,0.0,0.04,0.0,0.02,0.0
#mascarille,0.009708737864077669,0.019417475728155338,0.0,0.019417475728155338,0.36893203883495146,0.3106796116504854,0.009708737864077669,0.04854368932038835,0.038834951456310676,0.1553398058252427,0.009708737864077669,0.0,0.009708737864077669
#premier-porteur,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#premier-porteur,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#jodelet,0.0,0.041666666666666664,0.0,0.0,0.041666666666666664,0.041666666666666664,0.875,0.0,0.0,0.0,0.0,0.0,0.0
#lucile,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#premier-porteur,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#les-violons,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
