VALEUR,#clitandre,#l-olive,#eraste,#madame-argante,#frosine,#cidalise,#monsieur-guillemin,#l-abbe,#le-chevalier,#le-notaire,#madame-guillemin,#chouchette,#mariane,#monsieur-griffard,#le-nourricier,#le-tabellion,#le-marinier,#tous
#le-tabellion,0.14285714285714285,0.9383116883116885,0.10714285714285714,0.35714285714285715,0.7142857142857143,0.618131868131868,0.14285714285714285,0.10714285714285714,0.10714285714285714,0.03571428571428571,0.03571428571428571,0.14285714285714285,0.21428571428571427,3.778571428571428,0.03571428571428571,26.03571428571429,0.03571428571428571,0.03571428571428571
#le-marinier,0.14285714285714285,0.9383116883116885,0.10714285714285714,0.35714285714285715,0.7142857142857143,0.4642857142857143,0.14285714285714285,0.10714285714285714,7.440476190476192,0.03571428571428571,0.03571428571428571,0.14285714285714285,0.21428571428571427,0.17857142857142858,0.03571428571428571,0.03571428571428571,26.03571428571429,26.03571428571429
#le-marinier,0.14285714285714285,0.9383116883116885,0.10714285714285714,0.35714285714285715,0.7142857142857143,0.4642857142857143,0.14285714285714285,0.10714285714285714,7.440476190476192,0.03571428571428571,0.03571428571428571,0.14285714285714285,0.21428571428571427,0.17857142857142858,0.03571428571428571,0.03571428571428571,26.03571428571429,26.03571428571429
Successions,#clitandre,#l-olive,#eraste,#madame-argante,#frosine,#cidalise,#monsieur-guillemin,#l-abbe,#le-chevalier,#le-notaire,#madame-guillemin,#chouchette,#mariane,#monsieur-griffard,#le-nourricier,#le-tabellion,#le-marinier,#tous
#clitandre,0.1,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
#l-olive,0.06756756756756757,0.05405405405405406,0.16216216216216217,0.12162162162162163,0.4189189189189189,0.06756756756756757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06756756756756757,0.0,0.013513513513513514,0.02702702702702703,0.0
#eraste,0.18181818181818182,0.5,0.0,0.13636363636363635,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#madame-argante,0.0,0.2,0.03636363636363636,0.0,0.34545454545454546,0.10909090909090909,0.05454545454545454,0.07272727272727272,0.05454545454545454,0.0,0.0,0.0,0.0,0.12727272727272726,0.0,0.0,0.0,0.0
#frosine,0.0,0.20863309352517986,0.02877697841726619,0.1223021582733813,0.0,0.08633093525179857,0.05755395683453238,0.014388489208633094,0.014388489208633094,0.0,0.0,0.1510791366906475,0.10071942446043165,0.2158273381294964,0.0,0.0,0.0,0.0
#cidalise,0.0,0.0784313725490196,0.0,0.19607843137254902,0.21568627450980393,0.0196078431372549,0.11764705882352941,0.0,0.0196078431372549,0.0,0.0,0.058823529411764705,0.0784313725490196,0.17647058823529413,0.0196078431372549,0.0196078431372549,0.0,0.0
#monsieur-guillemin,0.0,0.0,0.0,0.12,0.24,0.32,0.0,0.04,0.16,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#l-abbe,0.0,0.0,0.0,0.2727272727272727,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.0,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-chevalier,0.0,0.06666666666666667,0.0,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.3333333333333333,0.2,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-notaire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#madame-guillemin,0.0,0.0,0.0,0.25,0.0,0.0,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#chouchette,0.0,0.03125,0.0,0.0,0.53125,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.03125,0.0,0.0,0.0,0.0
#mariane,0.0,0.0,0.0,0.0,0.5294117647058824,0.17647058823529413,0.0,0.0,0.0,0.0,0.0,0.17647058823529413,0.029411764705882353,0.08823529411764706,0.0,0.0,0.0,0.0
#monsieur-griffard,0.017857142857142856,0.08928571428571429,0.0,0.125,0.5357142857142857,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.05357142857142857,0.0,0.0,0.0,0.0,0.0
#le-nourricier,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-tabellion,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-marinier,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
#tous,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
