VALEUR,#du-clos,#madame-jobin,#mademoiselle-du-buisson,#maturine,#la-comtesse,#le-marquis,#monsieur-gilet,#la-giraudiere,#madame-noblet,#monsieur-gosselin,#du-verdier,#madame-de-la-jubliniere,#la-paysanne,#le-chevalier,#dame-françoise,#la-marquise,#madame-des-roches,#le-financier,#mademoiselle-du-verdier,#monsieur-de-troufignac,#madame-de-clerimont,#la-tete,#picard
#monsieur-gilet,0.0,0.2154255319148936,0.375,1.625,1.25,1.625,42.875,0.5,0.375,0.625,0.25,0.125,0.125,0.017857142857142856,0.375,0.5,0.25,0.125,0.125,0.25,0.125,0.125,0.125
#la-giraudiere,0.5714285714285714,0.12310030395136776,0.21428571428571427,0.005494505494505489,0.11428571428571427,0.005494505494505489,0.5,48.28571428571429,2.880952380952381,1.1571428571428568,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.5,0.21428571428571427,0.2857142857142857,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.07142857142857142
#madame-noblet,0.42857142857142855,0.10650962512664637,0.1607142857142857,0.6964285714285714,0.4023809523809524,2.4400183150183152,0.375,2.880952380952381,50.16071428571429,2.0011904761904766,0.10714285714285714,0.05357142857142857,0.05357142857142857,0.375,0.1607142857142857,0.21428571428571427,0.10714285714285714,0.05357142857142857,0.05357142857142857,0.10714285714285714,0.05357142857142857,0.05357142857142857,0.05357142857142857
#monsieur-gosselin,0.7142857142857142,0.15387537993920983,0.26785714285714285,1.1607142857142858,0.012857142857142845,0.6068681318681317,0.625,1.1571428571428575,2.0011904761904766,46.44642857142858,0.17857142857142855,0.08928571428571427,0.08928571428571427,0.625,0.26785714285714285,0.3571428571428571,0.17857142857142855,0.08928571428571427,0.08928571428571427,0.17857142857142855,0.08928571428571427,0.08928571428571427,0.08928571428571427
#du-verdier,0.2857142857142857,0.06155015197568388,0.10714285714285714,0.4642857142857143,0.35714285714285715,0.4642857142857143,0.25,0.14285714285714285,0.10714285714285714,0.17857142857142858,52.07142857142858,26.03571428571429,0.03571428571428571,0.25,0.10714285714285714,0.14285714285714285,0.07142857142857142,0.03571428571428571,0.03571428571428571,0.07142857142857142,0.03571428571428571,0.03571428571428571,0.03571428571428571
#madame-de-la-jubliniere,0.14285714285714285,0.03077507598784194,0.05357142857142857,0.23214285714285715,0.17857142857142858,0.23214285714285715,0.125,0.07142857142857142,0.05357142857142857,0.08928571428571429,26.03571428571429,54.017857142857146,0.017857142857142856,0.125,0.05357142857142857,0.07142857142857142,0.03571428571428571,0.017857142857142856,0.017857142857142856,0.03571428571428571,0.017857142857142856,0.017857142857142856,0.017857142857142856
#la-paysanne,0.14285714285714285,0.03077507598784194,0.05357142857142857,0.23214285714285715,0.17857142857142858,0.23214285714285715,0.125,0.07142857142857142,0.05357142857142857,0.08928571428571429,0.03571428571428571,0.017857142857142856,54.017857142857146,0.125,0.05357142857142857,0.07142857142857142,0.03571428571428571,0.017857142857142856,0.017857142857142856,0.03571428571428571,0.017857142857142856,0.017857142857142856,0.017857142857142856
#le-chevalier,1.0,0.0026595744680851063,0.375,0.2403846153846154,1.25,0.2403846153846154,0.017857142857142856,0.5,0.375,0.625,0.25,0.125,0.125,42.875,0.375,0.5,0.25,0.125,0.125,0.25,0.125,0.125,0.125
#dame-françoise,0.7619047619047619,0.09232522796352587,0.1607142857142857,7.619505494505497,0.5357142857142857,0.6964285714285714,0.375,0.21428571428571427,0.1607142857142857,0.26785714285714285,0.10714285714285714,0.05357142857142857,0.05357142857142857,0.375,50.16071428571429,14.880952380952383,0.10714285714285714,0.05357142857142857,0.05357142857142857,0.10714285714285714,0.05357142857142857,0.05357142857142857,0.05357142857142857
#la-marquise,0.3214285714285715,0.12310030395136776,0.21428571428571427,10.159340659340659,0.7142857142857143,0.9285714285714286,0.5,0.2857142857142857,0.21428571428571427,0.35714285714285715,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.5,14.880952380952383,48.28571428571429,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.07142857142857142
#madame-des-roches,0.2857142857142857,0.06155015197568388,0.10714285714285714,0.618131868131868,0.35714285714285715,0.4642857142857143,0.25,0.14285714285714285,0.10714285714285714,0.17857142857142858,0.07142857142857142,0.03571428571428571,0.03571428571428571,0.25,0.10714285714285714,0.14285714285714285,52.07142857142858,0.03571428571428571,0.03571428571428571,0.07142857142857142,0.03571428571428571,0.03571428571428571,0.03571428571428571
#le-financier,0.14285714285714285,0.8392857142857143,0.05357142857142857,0.23214285714285715,0.17857142857142858,2.5398351648351647,0.125,0.07142857142857142,0.05357142857142857,0.08928571428571429,0.03571428571428571,0.017857142857142856,0.017857142857142856,0.125,0.05357142857142857,0.07142857142857142,0.03571428571428571,54.017857142857146,0.017857142857142856,0.03571428571428571,0.017857142857142856,0.017857142857142856,0.017857142857142856
#mademoiselle-du-verdier,0.14285714285714285,0.03077507598784194,0.05357142857142857,0.23214285714285715,0.17857142857142858,0.23214285714285715,0.125,0.07142857142857142,0.05357142857142857,0.08928571428571429,0.03571428571428571,0.017857142857142856,0.017857142857142856,0.125,0.05357142857142857,0.07142857142857142,0.03571428571428571,0.017857142857142856,54.017857142857146,0.03571428571428571,0.017857142857142856,0.017857142857142856,0.017857142857142856
#monsieur-de-troufignac,0.2857142857142857,0.06155015197568388,0.10714285714285714,0.4642857142857143,0.35714285714285715,0.4642857142857143,0.25,0.14285714285714285,0.10714285714285714,0.17857142857142858,0.07142857142857142,0.03571428571428571,0.03571428571428571,0.25,0.10714285714285714,0.14285714285714285,0.07142857142857142,0.03571428571428571,0.03571428571428571,52.07142857142858,0.03571428571428571,0.03571428571428571,0.03571428571428571
#madame-de-clerimont,5.142857142857144,0.03077507598784194,0.05357142857142857,0.23214285714285715,0.17857142857142858,0.23214285714285715,0.125,0.07142857142857142,0.05357142857142857,0.08928571428571429,0.03571428571428571,0.017857142857142856,0.017857142857142856,0.125,0.05357142857142857,0.07142857142857142,0.03571428571428571,0.017857142857142856,0.017857142857142856,0.03571428571428571,54.017857142857146,54.017857142857146,54.017857142857146
#madame-de-clerimont,5.142857142857144,0.03077507598784194,0.05357142857142857,0.23214285714285715,0.17857142857142858,0.23214285714285715,0.125,0.07142857142857142,0.05357142857142857,0.08928571428571429,0.03571428571428571,0.017857142857142856,0.017857142857142856,0.125,0.05357142857142857,0.07142857142857142,0.03571428571428571,0.017857142857142856,0.017857142857142856,0.03571428571428571,54.017857142857146,54.017857142857146,54.017857142857146
#madame-de-clerimont,5.142857142857144,0.03077507598784194,0.05357142857142857,0.23214285714285715,0.17857142857142858,0.23214285714285715,0.125,0.07142857142857142,0.05357142857142857,0.08928571428571429,0.03571428571428571,0.017857142857142856,0.017857142857142856,0.125,0.05357142857142857,0.07142857142857142,0.03571428571428571,0.017857142857142856,0.017857142857142856,0.03571428571428571,54.017857142857146,54.017857142857146,54.017857142857146
Successions,#du-clos,#madame-jobin,#mademoiselle-du-buisson,#maturine,#la-comtesse,#le-marquis,#monsieur-gilet,#la-giraudiere,#madame-noblet,#monsieur-gosselin,#du-verdier,#madame-de-la-jubliniere,#la-paysanne,#le-chevalier,#dame-françoise,#la-marquise,#madame-des-roches,#le-financier,#mademoiselle-du-verdier,#monsieur-de-troufignac,#madame-de-clerimont,#la-tete,#picard
#du-clos,0.015384615384615385,0.36923076923076925,0.015384615384615385,0.03076923076923077,0.0,0.0,0.09230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12307692307692308,0.015384615384615385,0.0,0.0,0.0,0.0,0.3384615384615385,0.0,0.0
#madame-jobin,0.07363420427553444,0.021377672209026127,0.023752969121140142,0.0166270783847981,0.07125890736342043,0.10926365795724466,0.10451306413301663,0.09738717339667459,0.0166270783847981,0.03800475059382423,0.009501187648456057,0.014251781472684086,0.06413301662707839,0.0498812351543943,0.0166270783847981,0.08076009501187649,0.052256532066508314,0.0,0.011876484560570071,0.0855106888361045,0.040380047505938245,0.0,0.0023752969121140144
#mademoiselle-du-buisson,0.0,0.9090909090909091,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#maturine,0.05714285714285714,0.2857142857142857,0.0,0.0,0.08571428571428572,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.11428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-comtesse,0.0,0.375,0.0,0.041666666666666664,0.013888888888888888,0.5416666666666666,0.0,0.013888888888888888,0.013888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-marquis,0.0,0.3310344827586207,0.0,0.10344827586206896,0.2620689655172414,0.013793103448275862,0.0,0.006896551724137931,0.12413793103448276,0.013793103448275862,0.0,0.0,0.0,0.04827586206896552,0.0,0.0,0.0,0.09655172413793103,0.0,0.0,0.0,0.0,0.0
#monsieur-gilet,0.15,0.7333333333333333,0.0,0.0,0.0,0.0,0.016666666666666666,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-giraudiere,0.0,0.9111111111111111,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#madame-noblet,0.0,0.2692307692307692,0.0,0.038461538461538464,0.0,0.6923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#monsieur-gosselin,0.0,0.8421052631578947,0.0,0.0,0.0,0.15789473684210525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#du-verdier,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#madame-de-la-jubliniere,0.0,0.6363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-paysanne,0.0,0.9629629629629629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-chevalier,0.0,0.5625,0.0,0.03125,0.0,0.25,0.15625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#dame-françoise,0.2857142857142857,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-marquise,0.022222222222222223,0.7777777777777778,0.0,0.08888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#madame-des-roches,0.0,0.9545454545454546,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-financier,0.0,0.07142857142857142,0.0,0.0,0.0,0.9285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#mademoiselle-du-verdier,0.0,0.8,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#monsieur-de-troufignac,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#madame-de-clerimont,0.38095238095238093,0.5238095238095238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09523809523809523,0.0
#la-tete,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0
#monsieur-de-troufignac,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
