VALEUR,#arlequin,#mercure,#jupiter,#aurelio,#mezzetin,#sotinet,#pierrot,#isabelle,#colombine,#un-laquais,#trotenville,#amilare,#le-chevalier,#le-laquais,#braillardet,#cornichon,#dieu-de-l-hymen
#mezzetin,0.8870967741935484,0.0,0.0,0.0967741935483871,0.0,0.0,0.0,0.016129032258064516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#sotinet,0.43478260869565216,0.0,0.0,0.0,0.06521739130434782,0.021739130434782608,0.13043478260869565,0.021739130434782608,0.1956521739130435,0.0,0.0,0.0,0.0,0.0,0.06521739130434782,0.043478260869565216,0.021739130434782608
#pierrot,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#isabelle,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.46153846153846156,0.02564102564102564,0.1794871794871795,0.0,0.10256410256410256,0.07692307692307693,0.0,0.0,0.0
#colombine,0.0425531914893617,0.0,0.0,0.0,0.0,0.1276595744680851,0.0,0.3829787234042553,0.0425531914893617,0.0,0.2978723404255319,0.0,0.10638297872340426,0.0,0.0,0.0,0.0
#un-laquais,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#trotenville,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25806451612903225,0.3870967741935484,0.0,0.03225806451612903,0.3225806451612903,0.0,0.0,0.0,0.0,0.0
#amilare,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
#le-chevalier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0
#le-laquais,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
#braillardet,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8235294117647058,0.0
#cornichon,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,0.0,0.0
#dieu-de-l-hymen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
