VALEUR,#un-paysan,#thersandre,#philis,#choeur,#bacchus,#la-folie,#eraste,#lucile,#nerine,#clitandre,#foret,#claudine,#l-amour,#kerpinot,#madame-pinterelle,#la-veuve,#le-chevalier,#silene,#philis #l-amour #thersandre,#tous
#eraste,0.25,0.25,0.25,0.25,0.6944444444444444,0.3333333333333333,11.25,6.05,6.05,4.0,1.75,0.25,0.05,0.5,0.25,0.5,0.25,0.75,0.0,0.0
#lucile,0.25,0.25,0.25,0.25,0.027777777777777776,0.0,6.05,11.25,6.05,4.0,0.32142857142857145,0.25,0.45,0.5,0.25,0.5,0.25,0.08333333333333333,0.0,0.0
#nerine,0.25,0.25,0.25,0.25,0.027777777777777776,0.0,6.05,6.05,11.25,9.0,0.32142857142857145,0.25,0.45,0.5,0.25,0.5,0.25,0.08333333333333333,0.0,0.0
#clitandre,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.02222222222222221,0.15000000000000005,4.0,4.0,9.0,12.800000000000002,0.11428571428571424,0.20000000000000004,1.0,0.4000000000000001,0.20000000000000004,0.4000000000000001,0.20000000000000004,0.2666666666666667,0.0,0.0
#foret,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.2293650793650794,0.3428571428571429,1.75,0.32142857142857145,0.32142857142857145,0.11428571428571435,8.450000000000005,1.2071428571428566,0.32142857142857145,0.7000000000000001,0.35000000000000003,0.7000000000000001,0.35000000000000003,3.621428571428571,0.0,0.0
#claudine,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.6722222222222223,0.6,0.25,0.25,0.25,0.20000000000000004,1.2071428571428573,18.049999999999997,0.25,0.10000000000000002,0.05000000000000001,0.10000000000000002,0.05000000000000001,0.15,0.0,0.0
#l-amour,0.25,0.25,0.25,0.25,3.361111111111111,1.3333333333333333,0.05,0.45,0.45,1.0,0.32142857142857145,0.25,11.25,0.5,0.25,0.5,0.25,0.08333333333333333,0.0,0.0
#kerpinot,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.011111111111111105,0.5333333333333334,0.5,0.5,0.5,0.4000000000000001,0.7,0.10000000000000002,0.5,16.2,8.1,0.20000000000000004,0.10000000000000002,0.3,0.0,0.0
#madame-pinterelle,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.45,0.2666666666666667,0.25,0.25,0.25,0.20000000000000004,0.35,0.05000000000000001,0.25,8.1,18.049999999999997,0.10000000000000002,0.05000000000000001,0.15,0.0,0.0
#la-veuve,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.9,0.5333333333333334,0.5,0.5,0.5,0.4000000000000001,0.7,0.10000000000000002,0.5,0.20000000000000004,0.10000000000000002,16.2,8.1,0.3,0.0,0.0
#le-chevalier,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.45,0.2666666666666667,0.25,0.25,0.25,0.20000000000000004,0.35,0.05000000000000001,0.25,0.10000000000000002,0.05000000000000001,8.1,18.049999999999997,0.15,0.0,0.0
#silene,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.09074074074074079,0.022222222222222265,0.75,0.08333333333333333,0.08333333333333333,0.2666666666666665,3.6214285714285728,0.15000000000000002,0.08333333333333333,0.30000000000000004,0.15000000000000002,0.30000000000000004,0.15000000000000002,14.450000000000001,0.0,0.0
#philis #l-amour #thersandre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#philis #l-amour #thersandre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Successions,#un-paysan,#thersandre,#philis,#choeur,#bacchus,#la-folie,#eraste,#lucile,#nerine,#clitandre,#foret,#claudine,#l-amour,#kerpinot,#madame-pinterelle,#la-veuve,#le-chevalier,#silene,#philis #l-amour #thersandre,#tous
#un-paysan,,,,,,,,,,,,,,,,,,,,
#thersandre,0.25,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#philis,0.0,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#choeur,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#bacchus,0.0,0.0,0.0,0.018518518518518517,0.0,0.4074074074074074,0.0,0.0,0.0,0.0,0.42592592592592593,0.018518518518518517,0.12962962962962962,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-folie,0.0,0.0,0.011904761904761904,0.0,0.2619047619047619,0.0,0.023809523809523808,0.03571428571428571,0.047619047619047616,0.011904761904761904,0.11904761904761904,0.0,0.11904761904761904,0.09523809523809523,0.03571428571428571,0.14285714285714285,0.08333333333333333,0.0,0.0,0.011904761904761904
#eraste,0.0,0.0,0.0,0.0,0.045454545454545456,0.045454545454545456,0.0,0.4090909090909091,0.2727272727272727,0.22727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#lucile,0.0,0.0,0.0,0.0,0.037037037037037035,0.1111111111111111,0.4444444444444444,0.0,0.4074074074074074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#nerine,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.18518518518518517,0.5185185185185185,0.0,0.14814814814814814,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#clitandre,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.25,0.0,0.5,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#foret,0.0,0.0,0.0,0.0,0.4423076923076923,0.19230769230769232,0.0,0.019230769230769232,0.0,0.019230769230769232,0.0,0.057692307692307696,0.038461538461538464,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0
#claudine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#l-amour,0.0,0.041666666666666664,0.0,0.0,0.2916666666666667,0.4166666666666667,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.041666666666666664,0.08333333333333333,0.0,0.0,0.0,0.0,0.041666666666666664,0.0
#kerpinot,0.0,0.0,0.0,0.0,0.0,0.5625,0.0,0.0,0.0,0.0625,0.0,0.0,0.0625,0.0,0.3125,0.0,0.0,0.0,0.0,0.0
#madame-pinterelle,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0
#la-veuve,0.0,0.0,0.0,0.0,0.0,0.6842105263157895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3157894736842105,0.0,0.0,0.0
#le-chevalier,0.0,0.0,0.0,0.0,0.0,0.46153846153846156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5384615384615384,0.0,0.0,0.0,0.0
#silene,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#philis #l-amour #thersandre,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#tous,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
