VALEUR,#le-denouement,#l-exposition,#semiramis,#le-remord,#la-cabale,#le-noeud,#l-interet,#la-langueur,#un-remord,#la-terreur,#la-pitie,#un-coup-de-tonnere,#la-fiction,#l-ombre-de-corneille
Successions,#le-denouement,#l-exposition,#semiramis,#le-remord,#la-cabale,#le-noeud,#l-interet,#la-langueur,#un-remord,#la-terreur,#la-pitie,#un-coup-de-tonnere,#la-fiction,#l-ombre-de-corneille
#le-denouement,0.125,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.125,0.0,0.0,0.0
#l-exposition,0.5714285714285714,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#semiramis,0.02127659574468085,0.06382978723404255,0.02127659574468085,0.06382978723404255,0.0425531914893617,0.02127659574468085,0.425531914893617,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.1702127659574468,0.02127659574468085,0.0,0.0851063829787234
#le-remord,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-cabale,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0
#le-remord,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#l-interet,0.08823529411764706,0.0,0.5,0.0,0.11764705882352941,0.029411764705882353,0.0,0.0,0.0,0.0,0.2647058823529412,0.0,0.0,0.0
#la-langueur,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-remord,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-terreur,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
#la-pitie,0.0,0.0,0.65,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#un-coup-de-tonnere,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#la-fiction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#l-ombre-de-corneille,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
