VALEUR,#moliere,#brecourt,#la-grange,#du-croisy,#mademoiselle-du-parc,#mademoiselle-bejart,#mademoiselle-de-brie,#mademoiselle-du-croisy,#mademoiselle-herve,#mademoiselle-moliere,#la-thorilliere,#bejart,#un-necessaire,#autre-necessaire
#un-necessaire,0.0,0.2727272727272727,0.36363636363636365,0.18181818181818182,0.36363636363636365,0.18181818181818182,0.2727272727272727,0.2727272727272727,0.18181818181818182,0.2727272727272727,0.09090909090909091,0.18181818181818182,9.09090909090909,0.2727272727272727
#autre-necessaire,0.0,0.8181818181818181,1.0909090909090908,0.5454545454545454,1.0909090909090908,0.5454545454545454,0.8181818181818181,0.8181818181818181,0.5454545454545454,0.8181818181818181,0.2727272727272727,0.5454545454545454,0.2727272727272727,5.8181818181818175
Successions,#moliere,#brecourt,#la-grange,#du-croisy,#mademoiselle-du-parc,#mademoiselle-bejart,#mademoiselle-de-brie,#mademoiselle-du-croisy,#mademoiselle-herve,#mademoiselle-moliere,#la-thorilliere,#bejart,#un-necessaire,#autre-necessaire
#moliere,0.020618556701030927,0.14432989690721648,0.17525773195876287,0.020618556701030927,0.05154639175257732,0.09278350515463918,0.14432989690721648,0.020618556701030927,0.020618556701030927,0.08247422680412371,0.16494845360824742,0.020618556701030927,0.010309278350515464,0.030927835051546393
#brecourt,0.8235294117647058,0.0,0.058823529411764705,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0
#la-grange,0.9047619047619048,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0
#du-croisy,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
#mademoiselle-du-parc,0.30434782608695654,0.0,0.08695652173913043,0.08695652173913043,0.0,0.08695652173913043,0.0,0.0,0.0,0.43478260869565216,0.0,0.0,0.0,0.0
#mademoiselle-bejart,0.8125,0.0,0.0,0.0,0.0,0.0,0.125,0.0625,0.0,0.0,0.0,0.0,0.0,0.0
#mademoiselle-de-brie,0.5238095238095238,0.0,0.0,0.0,0.2857142857142857,0.047619047619047616,0.0,0.0,0.0,0.047619047619047616,0.09523809523809523,0.0,0.0,0.0
#mademoiselle-du-croisy,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0
#mademoiselle-herve,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.5,0.0,0.0,0.0,0.0
#mademoiselle-moliere,0.24,0.08,0.0,0.04,0.48,0.12,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-thorilliere,0.7894736842105263,0.0,0.0,0.0,0.0,0.0,0.15789473684210525,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0
#bejart,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#bejart,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#bejart,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
