VALEUR,#l-oranger,#les-fleurs,#le-bluet,#la-paquerette,#le-myosotis,#la-pensee,#le-cyclamen,#la-violette,#l-eglantine,#la-marguerite,#l-oeillet,#la-giroflee,#le-liseron,#le-coquelicot,#l-aubepine,#monsieur-printemps,#la-rose,#le-papillon,#le-printemps,#le-rossignol,#le-zephir,#la-rosee,#le-ver-luisant
#le-bluet,3.681818181818181,3.681818181818181,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,3.681818181818181,3.681818181818181,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,3.681818181818181,0.5454545454545454,0.6363636363636364,0.36363636363636365,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091
#le-bluet,3.681818181818181,3.681818181818181,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,3.681818181818181,3.681818181818181,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,3.681818181818181,0.5454545454545454,0.6363636363636364,0.36363636363636365,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091
#l-eglantine,1.1136363636363635,1.1136363636363635,3.681818181818181,3.681818181818181,3.681818181818181,3.681818181818181,3.681818181818181,3.681818181818181,7.363636363636362,1.1136363636363635,3.681818181818181,3.681818181818181,3.681818181818181,3.681818181818181,1.1136363636363635,1.0909090909090908,0.05844155844155843,0.10227272727272725,0.5454545454545454,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182
#la-marguerite,1.1136363636363635,1.1136363636363635,3.681818181818181,3.681818181818181,3.681818181818181,3.681818181818181,3.681818181818181,3.681818181818181,1.1136363636363635,7.363636363636362,3.681818181818181,3.681818181818181,3.681818181818181,3.681818181818181,1.1136363636363635,1.0909090909090908,0.05844155844155843,0.10227272727272725,0.5454545454545454,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182
#le-bluet,3.681818181818181,3.681818181818181,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,3.681818181818181,3.681818181818181,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,3.681818181818181,0.5454545454545454,0.6363636363636364,0.36363636363636365,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091
#le-bluet,3.681818181818181,3.681818181818181,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,3.681818181818181,3.681818181818181,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,3.681818181818181,0.5454545454545454,0.6363636363636364,0.36363636363636365,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091
#le-bluet,3.681818181818181,3.681818181818181,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,3.681818181818181,3.681818181818181,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,3.681818181818181,0.5454545454545454,0.6363636363636364,0.36363636363636365,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091
#le-bluet,3.681818181818181,3.681818181818181,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,3.681818181818181,3.681818181818181,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,3.681818181818181,0.5454545454545454,0.6363636363636364,0.36363636363636365,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091
#l-oranger,7.363636363636362,1.1136363636363635,3.681818181818181,3.681818181818181,3.681818181818181,3.681818181818181,3.681818181818181,3.681818181818181,1.1136363636363635,1.1136363636363635,3.681818181818181,3.681818181818181,3.681818181818181,3.681818181818181,7.363636363636362,1.0909090909090908,0.05844155844155843,0.7272727272727273,0.3787878787878789,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182
#monsieur-printemps,1.0909090909090908,0.007575757575757562,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,1.0909090909090908,1.0909090909090908,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,1.0909090909090908,2.2727272727272734,0.17532467532467538,0.015151515151515124,0.2474747474747474,0.3787878787878789,0.3787878787878789,0.3787878787878789,0.3787878787878789
#la-rose,0.05844155844155843,0.05844155844155843,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.05844155844155843,0.05844155844155843,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.05844155844155843,0.17532467532467522,1.4545454545454553,0.8311688311688312,0.6233766233766236,0.2077922077922078,0.2077922077922078,0.2077922077922078,0.2077922077922078
#le-papillon,0.7272727272727273,0.10227272727272725,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.10227272727272725,0.10227272727272725,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.7272727272727273,0.015151515151515124,0.8311688311688312,4.454545454545454,0.007575757575757562,1.1136363636363635,1.1136363636363635,1.1136363636363635,1.1136363636363635
#le-printemps,0.3787878787878789,0.3787878787878789,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.5454545454545454,0.5454545454545454,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.3787878787878789,0.2474747474747474,0.6233766233766233,0.007575757575757562,5.8181818181818175,1.9393939393939397,1.9393939393939397,1.9393939393939397,1.9393939393939397
#le-rossignol,0.18181818181818182,3.681818181818181,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.3787878787878789,0.2077922077922078,1.1136363636363635,1.9393939393939397,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909
#le-rossignol,0.18181818181818182,3.681818181818181,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.3787878787878789,0.2077922077922078,1.1136363636363635,1.9393939393939397,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909
#le-rossignol,0.18181818181818182,3.681818181818181,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.3787878787878789,0.2077922077922078,1.1136363636363635,1.9393939393939397,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909
#le-rossignol,0.18181818181818182,3.681818181818181,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.3787878787878789,0.2077922077922078,1.1136363636363635,1.9393939393939397,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909
Successions,#l-oranger,#les-fleurs,#le-bluet,#la-paquerette,#le-myosotis,#la-pensee,#le-cyclamen,#la-violette,#l-eglantine,#la-marguerite,#l-oeillet,#la-giroflee,#le-liseron,#le-coquelicot,#l-aubepine,#monsieur-printemps,#la-rose,#le-papillon,#le-printemps,#le-rossignol,#le-zephir,#la-rosee,#le-ver-luisant
#l-oranger,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0
#les-fleurs,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
#le-bluet,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-paquerette,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-bluet,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-pensee,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-bluet,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-violette,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#l-eglantine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
#la-marguerite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.125,0.625,0.0,0.0,0.0,0.0,0.0
#le-bluet,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-giroflee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-liseron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-coquelicot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#l-aubepine,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
#monsieur-printemps,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.2,0.0,0.0,0.0,0.0,0.0
#la-rose,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.1794871794871795,0.05128205128205128,0.358974358974359,0.2564102564102564,0.02564102564102564,0.0,0.02564102564102564,0.02564102564102564
#le-papillon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17857142857142858,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.6785714285714286,0.0,0.07142857142857142,0.0,0.03571428571428571,0.0,0.0
#le-printemps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.8571428571428571,0.07142857142857142,0.0,0.0,0.0,0.0,0.0
#le-rossignol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#le-rossignol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#le-rossignol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#le-rossignol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
