VALEUR,#un-senateur,#un-autre-senateur,#sicinie,#coriolan,#sancine,#aufidie,#un-second-senateur,#verginie,#velumnie,#camille,#lieutenant-des-volques,#un-autre-lieutenant,#un-soldat-des-volques,#un-lieutenant,#un-volque
#velumnie,0.3333333333333333,0.2222222222222222,0.4444444444444444,0.06666666666666664,0.8888888888888888,1.0,0.1111111111111111,6.349206349206351,21.333333333333332,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
#camille,0.2222222222222222,0.14814814814814814,0.2962962962962963,1.1111111111111112,0.5925925925925926,0.6666666666666666,0.07407407407407407,4.232804232804233,0.2222222222222222,23.148148148148152,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407
#lieutenant-des-volques,0.1111111111111111,0.07407407407407407,0.14814814814814814,0.5555555555555556,0.2962962962962963,1.3333333333333337,0.037037037037037035,0.25925925925925924,0.1111111111111111,0.07407407407407407,25.03703703703704,25.03703703703704,25.03703703703704,0.037037037037037035,0.037037037037037035
#lieutenant-des-volques,0.1111111111111111,0.07407407407407407,0.14814814814814814,0.5555555555555556,0.2962962962962963,1.3333333333333337,0.037037037037037035,0.25925925925925924,0.1111111111111111,0.07407407407407407,25.03703703703704,25.03703703703704,25.03703703703704,0.037037037037037035,0.037037037037037035
#lieutenant-des-volques,0.1111111111111111,0.07407407407407407,0.14814814814814814,0.5555555555555556,0.2962962962962963,1.3333333333333337,0.037037037037037035,0.25925925925925924,0.1111111111111111,0.07407407407407407,25.03703703703704,25.03703703703704,25.03703703703704,0.037037037037037035,0.037037037037037035
#un-lieutenant,0.1111111111111111,0.07407407407407407,0.14814814814814814,0.3555555555555555,0.2962962962962963,0.3333333333333333,0.037037037037037035,0.25925925925925924,0.1111111111111111,0.07407407407407407,0.037037037037037035,0.037037037037037035,0.037037037037037035,25.03703703703704,25.03703703703704
#un-lieutenant,0.1111111111111111,0.07407407407407407,0.14814814814814814,0.3555555555555555,0.2962962962962963,0.3333333333333333,0.037037037037037035,0.25925925925925924,0.1111111111111111,0.07407407407407407,0.037037037037037035,0.037037037037037035,0.037037037037037035,25.03703703703704,25.03703703703704
Successions,#un-senateur,#un-autre-senateur,#sicinie,#coriolan,#sancine,#aufidie,#un-second-senateur,#verginie,#velumnie,#camille,#lieutenant-des-volques,#un-autre-lieutenant,#un-soldat-des-volques,#un-lieutenant,#un-volque
#un-senateur,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#un-autre-senateur,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#sicinie,0.09090909090909091,0.18181818181818182,0.0,0.36363636363636365,0.0,0.2727272727272727,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#coriolan,0.0,0.0,0.10526315789473684,0.05263157894736842,0.2631578947368421,0.34210526315789475,0.0,0.13157894736842105,0.07894736842105263,0.0,0.0,0.0,0.0,0.02631578947368421,0.0
#sancine,0.0,0.0,0.0,0.6153846153846154,0.0,0.3076923076923077,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#aufidie,0.043478260869565216,0.0,0.13043478260869565,0.43478260869565216,0.13043478260869565,0.0,0.0,0.08695652173913043,0.0,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.0,0.0
#un-second-senateur,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#verginie,0.0625,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.1875,0.1875,0.0,0.0,0.0,0.0,0.0625
#velumnie,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#camille,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#lieutenant-des-volques,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#lieutenant-des-volques,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#lieutenant-des-volques,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#un-lieutenant,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#un-lieutenant,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
