VALEUR,#le-chevalier,#frontin,#clitandre,#madame-pinuin,#guillaume,#madame-robin,#madame-valentin,#angelique,#monsieur-mouflard,#monsieur-valentin,#fuzillard,#monsieur-touvenel,#mademoiselle-gesmarres
#le-chevalier,0.028169014084507043,0.2676056338028169,0.18309859154929578,0.2112676056338028,0.028169014084507043,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.08450704225352113,0.1267605633802817,0.014084507042253521,0.0,0.014084507042253521
#frontin,0.2638888888888889,0.0,0.08333333333333333,0.2361111111111111,0.06944444444444445,0.1388888888888889,0.013888888888888888,0.0,0.0,0.19444444444444445,0.0,0.0,0.0
#clitandre,0.47368421052631576,0.2631578947368421,0.0,0.0,0.05263157894736842,0.0,0.05263157894736842,0.0,0.05263157894736842,0.10526315789473684,0.0,0.0,0.0
#madame-pinuin,0.18181818181818182,0.2159090909090909,0.0,0.011363636363636364,0.19318181818181818,0.125,0.19318181818181818,0.07954545454545454,0.0,0.0,0.0,0.0,0.0
#guillaume,0.1111111111111111,0.19444444444444445,0.0,0.5277777777777778,0.0,0.027777777777777776,0.027777777777777776,0.0,0.027777777777777776,0.05555555555555555,0.0,0.027777777777777776,0.0
#madame-robin,0.0,0.44,0.0,0.44,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.04,0.0
#madame-valentin,0.08163265306122448,0.061224489795918366,0.0,0.3673469387755102,0.04081632653061224,0.0,0.0,0.22448979591836735,0.14285714285714285,0.08163265306122448,0.0,0.0,0.0
#angelique,0.0,0.0,0.0,0.22580645161290322,0.03225806451612903,0.0,0.45161290322580644,0.0,0.2903225806451613,0.0,0.0,0.0,0.0
#monsieur-mouflard,0.2962962962962963,0.0,0.0,0.0,0.037037037037037035,0.037037037037037035,0.2962962962962963,0.2962962962962963,0.0,0.037037037037037035,0.0,0.0,0.0
#monsieur-valentin,0.21212121212121213,0.24242424242424243,0.0,0.0,0.09090909090909091,0.0,0.18181818181818182,0.12121212121212122,0.09090909090909091,0.030303030303030304,0.030303030303030304,0.0,0.0
#fuzillard,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#monsieur-touvenel,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#mademoiselle-gesmarres,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
