VALEUR,#fanchon,#margot,#jerome,#le-marchand,#genevieve,#marie-jeanne,#babet,#la-fermiere,#tous-trois,#belle-rose,#la-marchande,#manon,#le-perruquier,#la-bouquetiere,#le-petit-maitre,#le-violon,#la-marchande-de-citrons,#le-marchand-de-ratafia,#l-aveugle
#marie-jeanne,0.04102564102564109,0.21367521367521364,0.23443223443223446,0.46153846153846156,0.006410256410256401,7.692307692307691,7.692307692307691,0.6282051282051281,2.5641025641025634,0.020512820512820544,0.46153846153846156,0.23076923076923078,0.6282051282051281,0.13675213675213677,0.23076923076923078,2.5641025641025634,2.5641025641025634,2.5641025641025634,2.5641025641025634
#la-fermiere,0.1884615384615385,0.38782051282051294,1.0769230769230769,0.3076923076923077,0.6153846153846154,0.6282051282051281,0.6282051282051281,9.307692307692307,4.653846153846153,0.7692307692307693,0.3076923076923077,0.15384615384615385,0.3076923076923077,0.46153846153846156,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385
#tous-trois,0.7692307692307693,0.9230769230769231,0.5384615384615384,0.15384615384615385,0.3076923076923077,2.5641025641025634,2.5641025641025634,4.653846153846153,11.076923076923078,0.38461538461538464,0.15384615384615385,0.07692307692307693,0.15384615384615385,0.23076923076923078,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693
#belle-rose,0.006153846153846145,0.03205128205128197,0.6351648351648355,0.7692307692307693,0.1384615384615384,0.020512820512820544,0.020512820512820544,0.7692307692307693,0.38461538461538464,4.9230769230769225,0.0692307692307692,0.9846153846153847,0.0692307692307692,0.6205128205128202,0.9846153846153847,0.9846153846153847,0.9846153846153847,0.9846153846153847,0.9846153846153847
#la-marchande,0.1884615384615385,0.012820512820512803,1.0769230769230769,0.3076923076923077,0.6153846153846154,0.46153846153846156,0.46153846153846156,0.3076923076923077,0.15384615384615385,0.0692307692307692,9.307692307692307,4.653846153846153,1.5576923076923075,0.6282051282051281,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385
#manon,0.7692307692307693,0.006410256410256401,0.5384615384615384,0.15384615384615385,0.3076923076923077,0.23076923076923078,0.23076923076923078,0.15384615384615385,0.07692307692307693,0.9846153846153847,4.653846153846153,11.076923076923078,0.15384615384615385,0.23076923076923078,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693
#le-perruquier,0.1384615384615384,0.012820512820512803,0.005494505494505487,0.3076923076923077,0.24038461538461534,0.6282051282051281,0.6282051282051281,0.3076923076923077,0.15384615384615385,0.0692307692307692,1.5576923076923075,0.15384615384615385,9.307692307692307,5.128205128205127,0.15384615384615385,4.653846153846153,4.653846153846153,4.653846153846153,4.653846153846153
#la-bouquetiere,0.20769230769230754,0.019230769230769242,0.09157509157509156,0.46153846153846156,1.2564102564102562,0.13675213675213677,0.13675213675213677,0.46153846153846156,0.23076923076923078,0.6205128205128202,0.6282051282051281,0.23076923076923078,5.128205128205127,7.692307692307691,2.5641025641025634,2.5641025641025634,2.5641025641025634,2.5641025641025634,2.5641025641025634
#le-petit-maitre,0.0692307692307692,0.006410256410256401,0.3956043956043957,0.15384615384615385,1.5576923076923075,0.23076923076923078,0.23076923076923078,0.15384615384615385,0.07692307692307693,0.9846153846153847,0.15384615384615385,0.07692307692307693,0.15384615384615385,2.5641025641025634,11.076923076923078,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693
#le-violon,0.0692307692307692,0.006410256410256401,0.3956043956043957,0.15384615384615385,1.5576923076923075,2.5641025641025634,2.5641025641025634,0.15384615384615385,0.07692307692307693,0.9846153846153847,0.15384615384615385,0.07692307692307693,4.653846153846153,2.5641025641025634,0.07692307692307693,11.076923076923078,11.076923076923078,11.076923076923078,11.076923076923078
#le-violon,0.0692307692307692,0.006410256410256401,0.3956043956043957,0.15384615384615385,1.5576923076923075,2.5641025641025634,2.5641025641025634,0.15384615384615385,0.07692307692307693,0.9846153846153847,0.15384615384615385,0.07692307692307693,4.653846153846153,2.5641025641025634,0.07692307692307693,11.076923076923078,11.076923076923078,11.076923076923078,11.076923076923078
#le-violon,0.0692307692307692,0.006410256410256401,0.3956043956043957,0.15384615384615385,1.5576923076923075,2.5641025641025634,2.5641025641025634,0.15384615384615385,0.07692307692307693,0.9846153846153847,0.15384615384615385,0.07692307692307693,4.653846153846153,2.5641025641025634,0.07692307692307693,11.076923076923078,11.076923076923078,11.076923076923078,11.076923076923078
#le-violon,0.0692307692307692,0.006410256410256401,0.3956043956043957,0.15384615384615385,1.5576923076923075,2.5641025641025634,2.5641025641025634,0.15384615384615385,0.07692307692307693,0.9846153846153847,0.15384615384615385,0.07692307692307693,4.653846153846153,2.5641025641025634,0.07692307692307693,11.076923076923078,11.076923076923078,11.076923076923078,11.076923076923078
Successions,#fanchon,#margot,#jerome,#le-marchand,#genevieve,#marie-jeanne,#babet,#la-fermiere,#tous-trois,#belle-rose,#la-marchande,#manon,#le-perruquier,#la-bouquetiere,#le-petit-maitre,#le-violon,#la-marchande-de-citrons,#le-marchand-de-ratafia,#l-aveugle
#fanchon,0.0,0.2631578947368421,0.21052631578947367,0.07894736842105263,0.10526315789473684,0.02631578947368421,0.0,0.02631578947368421,0.0,0.07894736842105263,0.0,0.0,0.02631578947368421,0.02631578947368421,0.15789473684210525,0.0,0.0,0.0,0.0
#margot,0.34615384615384615,0.0,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.0,0.0,0.0,0.0,0.038461538461538464,0.038461538461538464,0.0,0.11538461538461539,0.0,0.07692307692307693,0.0,0.0,0.0,0.038461538461538464
#jerome,0.3333333333333333,0.09523809523809523,0.047619047619047616,0.047619047619047616,0.19047619047619047,0.0,0.0,0.047619047619047616,0.0,0.09523809523809523,0.0,0.0,0.0,0.0,0.047619047619047616,0.047619047619047616,0.0,0.047619047619047616,0.0
#le-marchand,0.625,0.125,0.125,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#genevieve,0.4666666666666667,0.26666666666666666,0.13333333333333333,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0
#marie-jeanne,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.6666666666666666,0.16666666666666666,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#babet,0.0,0.07692307692307693,0.0,0.0,0.0,0.8461538461538461,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-fermiere,0.0,0.25,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#tous-trois,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#belle-rose,0.0,0.15384615384615385,0.23076923076923078,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,0.0,0.07692307692307693,0.0,0.0
#la-marchande,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0
#manon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-perruquier,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0
#la-bouquetiere,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.5555555555555556,0.0,0.0,0.0,0.0
#le-petit-maitre,0.5333333333333333,0.0,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
#le-violon,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-marchande-de-citrons,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#manon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#l-aveugle,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
