VALEUR,#valentin,#rene,#fanny,#henriette,#madame-valentin,#rognelard,#bonhomme,#finot,#le-visiteur-anglais,#la-visiteuse-allemande,#le-visiteur-italien,#le-visiteur-espagnol,#la-visiteuse-anglaise
#finot,0.642857142857143,0.023809523809523826,0.04761904761904765,0.017857142857142842,0.3214285714285715,0.2857142857142857,0.2857142857142857,3.5714285714285716,3.5714285714285716,3.5714285714285716,3.5714285714285716,1.7857142857142858,3.5714285714285716
#finot,0.642857142857143,0.023809523809523826,0.04761904761904765,0.017857142857142842,0.3214285714285715,0.2857142857142857,0.2857142857142857,3.5714285714285716,3.5714285714285716,3.5714285714285716,3.5714285714285716,1.7857142857142858,3.5714285714285716
#finot,0.642857142857143,0.023809523809523826,0.04761904761904765,0.017857142857142842,0.3214285714285715,0.2857142857142857,0.2857142857142857,3.5714285714285716,3.5714285714285716,3.5714285714285716,3.5714285714285716,1.7857142857142858,3.5714285714285716
#finot,0.642857142857143,0.023809523809523826,0.04761904761904765,0.017857142857142842,0.3214285714285715,0.2857142857142857,0.2857142857142857,3.5714285714285716,3.5714285714285716,3.5714285714285716,3.5714285714285716,1.7857142857142858,3.5714285714285716
#le-visiteur-espagnol,0.3214285714285715,0.42857142857142855,0.023809523809523826,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.14285714285714285,1.7857142857142858,1.7857142857142858,1.7857142857142858,1.7857142857142858,5.142857142857144,1.7857142857142858
#finot,0.642857142857143,0.023809523809523826,0.04761904761904765,0.017857142857142842,0.3214285714285715,0.2857142857142857,0.2857142857142857,3.5714285714285716,3.5714285714285716,3.5714285714285716,3.5714285714285716,1.7857142857142858,3.5714285714285716
Successions,#valentin,#rene,#fanny,#henriette,#madame-valentin,#rognelard,#bonhomme,#finot,#le-visiteur-anglais,#la-visiteuse-allemande,#le-visiteur-italien,#le-visiteur-espagnol,#la-visiteuse-anglaise
#valentin,0.0,0.34615384615384615,0.38461538461538464,0.038461538461538464,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,0.0
#rene,0.45,0.0,0.15,0.2,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
#fanny,0.23076923076923078,0.07692307692307693,0.0,0.3076923076923077,0.10256410256410256,0.05128205128205128,0.0,0.15384615384615385,0.05128205128205128,0.02564102564102564,0.0,0.0,0.0
#henriette,0.04,0.16,0.68,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#madame-valentin,0.09090909090909091,0.18181818181818182,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0
#rognelard,0.0,0.0,0.0,0.125,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0
#bonhomme,0.0,0.0,0.0,0.14285714285714285,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#finot,0.29411764705882354,0.058823529411764705,0.23529411764705882,0.17647058823529413,0.0,0.0,0.0,0.0,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.0,0.058823529411764705
#le-visiteur-anglais,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.25
#la-visiteuse-allemande,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0
#le-visiteur-italien,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
#le-visiteur-espagnol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#la-visiteuse-anglaise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0
